Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;p;1;0.8668708000000152;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;BAUM;Natur;q;0;1;1;0;q;1;0.7338424000000714;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;0.6169912999999951;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;TIER;Natur;q;0;3;3;3;q;1;0.6837351000000353;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;WASSER;Natur;q;0;4;4;1;q;1;0.7003442000000177;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;BLUME;Natur;q;0;5;5;2;q;1;0.5837360999998964;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.6004586999999901;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.6837205000000495;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;GEBÄUDE;Gemacht;p;0;8;8;5;p;1;0.6002856000000065;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;STEIN;Natur;q;0;9;9;4;p;0;0.5169187000000193;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;KLEIDER;Gemacht;p;1;0;10;7;p;1;1.5501114999999572;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;STEIN;Natur;q;1;1;11;4;q;1;0.7670699999999897;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;STADT;Gemacht;p;1;2;12;6;p;1;0.5503638999999794;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;COMPUTER;Gemacht;p;1;3;13;8;p;1;0.5835937000000513;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;WASSER;Natur;q;1;4;14;1;q;1;0.6502474999999777;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;LAMPE;Gemacht;p;1;5;15;9;p;1;0.5860592000000224;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;GEBÄUDE;Gemacht;p;1;6;16;5;p;1;1.0629953000000114;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;TIER;Natur;q;1;7;17;3;q;1;0.5495335000000523;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;BLUME;Natur;q;1;8;18;2;q;1;0.552642100000071;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
1;BAUM;Natur;q;1;9;19;0;q;1;0.6187499999999773;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
;;;;;;;;;;;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;POSITIV;positiv;p;0;0;0;8;p;1;0.7456761999999344;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;EINWANDFREI;positiv;p;0;1;1;6;p;1;1.0322948000000451;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.5202843000000712;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.6006193999999141;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;SCHÄDLICH;negativ;q;0;4;4;3;q;1;0.6504075999999941;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.6163597000000891;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;GUT;positiv;p;0;6;6;9;p;1;0.6130805000000237;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;SCHLIMM;negativ;q;0;7;7;0;q;1;0.618301200000019;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.6816131000000496;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;HERVORRAGEND;positiv;p;0;9;9;7;p;1;0.593420300000048;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;HERVORRAGEND;positiv;p;1;0;10;7;p;1;0.7166965999999775;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;NEGATIV;negativ;q;1;1;11;2;q;1;0.5689148999999816;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.5927474000000075;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;GUT;positiv;p;1;3;13;9;p;1;0.8997841000000335;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;EINWANDFREI;positiv;p;1;4;14;6;p;1;0.5670759999999291;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.5673559000000523;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;SCHÄDLICH;negativ;q;1;6;16;3;q;1;0.7666148999999223;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;SCHLIMM;negativ;q;1;7;17;0;q;1;0.5186923999999635;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
2;POSITIV;positiv;p;1;8;18;8;p;1;0.5306580999999824;001;ARAR98;2019_Nov_26_0926;iat_vr;60.05562351849484;
