Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BAUM;Natur;q;0;0;0;0;q;1;1.71141660000103;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;STEIN;Natur;q;0;1;1;4;q;1;0.7405428999991273;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;WASSER;Natur;q;0;2;2;1;q;1;0.6254473999997572;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;KLEIDER;Gemacht;p;0;3;3;7;p;1;0.6423280999988492;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;COMPUTER;Gemacht;p;0;4;4;8;p;1;0.7884663000004366;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;TIER;Natur;q;0;5;5;3;q;1;0.565177099999346;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;LAMPE;Gemacht;p;0;6;6;9;p;1;0.7146673999995983;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;BLUME;Natur;q;0;7;7;2;q;1;0.7322425000002113;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;STADT;Gemacht;p;0;8;8;6;p;1;0.83150729999943;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;0.9894617999998445;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;TIER;Natur;q;1;0;10;3;q;1;0.6302300999996078;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;0.6261567999990802;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;BLUME;Natur;q;1;2;12;2;q;1;0.6152239999992162;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;WASSER;Natur;q;1;3;13;1;q;1;0.7317977999991854;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;BAUM;Natur;q;1;4;14;0;q;1;0.5653136999990238;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;0.6024815000000672;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.7488042999993922;001;ARAS94;2019_Nov_26_1139;iat_vr;60.02736047068742;
