Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;1.8979856000000837;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.8835239999998521;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;BAUM;Natur;q;0;2;2;0;q;1;0.6957354000001033;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;STEIN;Natur;q;0;3;3;4;q;1;0.8151115999999092;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;WASSER;Natur;q;0;4;4;1;q;1;0.6155729000001884;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.7497736000000259;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;TIER;Natur;q;0;6;6;3;q;1;0.750499199999922;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;1.0837013999998817;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;LAMPE;Gemacht;p;0;8;8;9;p;1;0.8180545000000166;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;STADT;Gemacht;p;0;9;9;6;p;1;0.886040100000173;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;STADT;Gemacht;p;1;0;10;6;p;1;0.7505137000002833;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;BAUM;Natur;q;1;1;11;0;q;1;0.8335627999999815;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.9320800000000418;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;STEIN;Natur;q;1;3;13;4;q;1;1.8129062999996677;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;TIER;Natur;q;1;4;14;3;q;1;0.834855300000072;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;GEBÄUDE;Gemacht;p;1;5;15;5;p;1;0.7143264999999701;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;BLUME;Natur;q;1;6;16;2;q;1;0.6843597000001864;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.91576939999959;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;WASSER;Natur;q;1;8;18;1;q;1;0.9684941000000435;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
1;KLEIDER;Gemacht;p;1;9;19;7;p;1;0.8157102999998642;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
;;;;;;;;;;;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
2;GUT;positiv;p;0;0;0;9;q;0;0.9816893000001983;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
2;SCHLECHT;negativ;q;0;1;1;1;q;1;0.9025858999998491;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
2;HERVORRAGEND;positiv;p;0;2;2;7;p;1;0.744882399999824;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
2;SCHLIMM;negativ;q;0;3;3;0;q;1;1.5637117999999646;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
2;NEGATIV;negativ;q;0;4;4;2;q;1;0.7838521999997283;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
2;SCHWACH;negativ;q;0;5;5;4;q;1;0.9800006000000394;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
2;SCHÄDLICH;negativ;q;0;6;6;3;q;1;0.784867899999881;002;ARDS53;2019_Nov_25_0946;iat_vr;59.9108047937921;
