Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;1.0433589000022039;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;BLUME;Natur;q;0;1;1;2;q;1;0.5202585000079125;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;STEIN;Natur;q;0;2;2;4;q;1;0.5563313000602648;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;0.6178071000613272;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;GEBÄUDE;Gemacht;p;0;4;4;5;p;1;0.6197354999603704;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.49543330003507435;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;KLEIDER;Gemacht;p;0;6;6;7;p;1;0.5410357000073418;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;BAUM;Natur;q;0;7;7;0;q;1;0.4658685000613332;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;WASSER;Natur;q;0;8;8;1;q;1;0.5929552000015974;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;STADT;Gemacht;p;0;9;9;6;p;1;0.5647483000066131;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;GEBÄUDE;Gemacht;p;1;0;10;5;p;1;0.6852892999304458;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;STADT;Gemacht;p;1;1;11;6;p;1;0.5318498000269756;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;WASSER;Natur;q;1;2;12;1;q;1;0.46583570004440844;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.5862903000088409;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;TIER;Natur;q;1;4;14;3;q;1;0.6149626999394968;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;0.5454094000160694;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;BLUME;Natur;q;1;6;16;2;q;1;0.5526191999670118;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;0.6142982000019401;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;BAUM;Natur;q;1;8;18;0;q;1;0.515491500031203;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
1;STEIN;Natur;q;1;9;19;4;q;1;0.6187599000986665;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
;;;;;;;;;;;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;0.8574489000020549;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHÄDLICH;negativ;q;0;1;1;3;q;1;0.6622816000599414;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHLIMM;negativ;q;0;2;2;0;q;1;0.4630981999216601;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;GUT;positiv;p;0;3;3;9;p;1;0.48015020007733256;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;NEGATIV;negativ;q;0;4;4;2;q;1;0.707666700007394;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;EINWANDFREI;positiv;p;0;5;5;6;p;1;0.7853956000180915;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.5771231000544503;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHWACH;negativ;q;0;7;7;4;q;1;0.8293200000189245;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;POSITIV;positiv;p;0;8;8;8;p;1;0.8458928000181913;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHLECHT;negativ;q;0;9;9;1;q;1;0.6497975999955088;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHWACH;negativ;q;1;0;10;4;q;1;0.5136475999606773;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;NEGATIV;negativ;q;1;1;11;2;q;1;0.4654448999790475;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;POSITIV;positiv;p;1;2;12;8;p;1;0.5635068999836221;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;HERVORRAGEND;positiv;p;1;3;13;7;p;1;0.4576074000215158;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;GUT;positiv;p;1;4;14;9;p;1;0.3987525999546051;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.5185499000363052;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;EINWANDFREI;positiv;p;1;6;16;6;p;1;0.7951833000406623;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHLIMM;negativ;q;1;7;17;0;q;1;0.5779403999913484;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;SCHÄDLICH;negativ;q;1;8;18;3;q;1;0.5606812000041828;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
2;AUSGEZEICHNET;positiv;p;1;9;19;5;p;1;0.5286522000096738;002;ARGZ94;2019_Dec_16_1425;iat_vr;60.081241830335856;
