Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;0.7332281999988481;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;BAUM;Natur;q;0;1;1;0;q;1;0.4741491999993741;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;STEIN;Natur;q;0;2;2;4;q;1;0.5735077999997884;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;STADT;Gemacht;p;0;3;3;6;p;1;0.49409360000208835;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;GEBÄUDE;Gemacht;p;0;4;4;5;p;1;0.5228129999995872;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.6282341000005545;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.470998699998745;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;0.5155737000022782;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;TIER;Natur;q;0;8;8;3;q;1;0.4825310999985959;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;BLUME;Natur;q;0;9;9;2;q;1;0.48210889999973006;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;TIER;Natur;q;1;0;10;3;q;1;0.614574299997912;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;BAUM;Natur;q;1;1;11;0;q;1;0.5650792000014917;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.6145161999993434;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;BLUME;Natur;q;1;3;13;2;q;1;0.5025210999992851;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;GEBÄUDE;Gemacht;p;1;4;14;5;p;1;0.546644500002003;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.6480420000007143;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.6693463000010524;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;STEIN;Natur;q;1;7;17;4;q;1;0.6649522000006982;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;WASSER;Natur;q;1;8;18;1;q;1;0.7808432999991055;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
1;STADT;Gemacht;p;1;9;19;6;p;1;0.5320308999980625;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
;;;;;;;;;;;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHWACH;negativ;q;0;0;0;4;q;1;0.8037609999992128;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;0.46647350000057486;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.6363138000015169;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;NEGATIV;negativ;q;0;3;3;2;q;1;0.5589211999977124;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;0.6435911999978998;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;POSITIV;positiv;p;0;5;5;8;p;1;0.44852950000131386;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.7301508999989892;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;GUT;positiv;p;0;7;7;9;p;1;0.5817798999996739;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;HERVORRAGEND;positiv;p;0;8;8;7;p;1;0.5949285999995482;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHÄDLICH;negativ;q;0;9;9;3;q;1;0.8021610999967379;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHWACH;negativ;q;1;0;10;4;q;1;0.44078839999929187;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;AUSGEZEICHNET;positiv;p;1;1;11;5;p;1;0.5756306000002951;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;POSITIV;positiv;p;1;2;12;8;p;1;0.5656010000020615;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHLIMM;negativ;q;1;3;13;0;q;1;0.5957749000008334;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHÄDLICH;negativ;q;1;4;14;3;q;1;0.7465665000017907;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;NEGATIV;negativ;q;1;5;15;2;q;1;0.5481785999982094;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;GUT;positiv;p;1;6;16;9;p;1;0.5022117000007711;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;HERVORRAGEND;positiv;p;1;7;17;7;p;1;0.5297419000016816;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;SCHLECHT;negativ;q;1;8;18;1;q;1;0.5139756999997189;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
2;EINWANDFREI;positiv;p;1;9;19;6;q;0;0.5780964999976277;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
;;;;;;;;;;;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;LAMPE;Gemacht;p;0;0;0;19;p;1;0.819024399999762;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;SCHÄDLICH;negativ;q;0;1;1;3;q;1;0.7946197999990545;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;TIER;Natur;q;0;2;2;13;q;1;0.8972505999990972;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;EINWANDFREI;positiv;p;0;3;3;6;p;1;1.178708600000391;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;GEBÄUDE;Gemacht;p;0;4;4;15;p;1;0.6639783999999054;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;SCHWACH;negativ;q;0;5;5;4;q;1;0.5476338000007672;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;STADT;Gemacht;p;0;6;6;16;p;1;0.9486480000014126;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;BAUM;Natur;q;0;7;7;10;q;1;0.6820889000009629;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;NEGATIV;negativ;q;0;8;8;2;q;1;1.6482371000020066;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;COMPUTER;Gemacht;p;0;9;9;18;p;1;0.5627434999987599;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;STEIN;Natur;q;0;10;10;14;q;1;0.6628873999979987;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;SCHLIMM;negativ;q;0;11;11;0;q;1;1.296478100000968;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;KLEIDER;Gemacht;p;0;12;12;17;p;1;0.7190690000024915;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;AUSGEZEICHNET;positiv;p;0;13;13;5;p;1;1.4285872000000381;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
3;HERVORRAGEND;positiv;p;0;14;14;7;p;1;0.5626922000010381;002;ARHL00;2019_Nov_25_1703;iat_vr;60.05079095949748;
