Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;p;1;0.9227107000006072;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;KLEIDER;Gemacht;p;0;1;1;7;p;1;0.7550704000022961;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.7349188000007416;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;BAUM;Natur;q;0;3;3;0;q;1;0.5985049999981129;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;STADT;Gemacht;p;0;4;4;6;p;1;0.5586454999975103;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;WASSER;Natur;q;0;5;5;1;q;1;0.6795849999980419;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;STEIN;Natur;q;0;6;6;4;q;1;0.5561503999997512;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;BLUME;Natur;q;0;7;7;2;q;1;0.5319101000022783;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;TIER;Natur;q;0;8;8;3;q;1;0.5484050000013667;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;COMPUTER;Gemacht;p;0;9;9;8;p;1;0.5559157000025152;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;BAUM;Natur;q;1;0;10;0;q;1;0.5127812999999151;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;LAMPE;Gemacht;p;1;1;11;9;p;1;0.9322613000003912;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.7788378999975976;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;GEBÄUDE;Gemacht;p;1;3;13;5;p;1;0.5646574999991572;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;STEIN;Natur;q;1;4;14;4;q;1;0.6284551000026113;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;TIER;Natur;q;1;5;15;3;q;1;0.582451399997808;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;STADT;Gemacht;p;1;6;16;6;p;1;0.5802426000009291;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;0.6476045999988855;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;BLUME;Natur;q;1;8;18;2;q;1;0.7457945000023756;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
1;WASSER;Natur;q;1;9;19;1;q;1;0.5998719000017445;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
;;;;;;;;;;;001;ARSF95;2019_Nov_25_1433;iat_vr;60.024658129085005;
