Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;KLEIDER;Gemacht;p;0;0;0;7;p;1;1.1168808999996145;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;0.7216514000001553;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;COMPUTER;Gemacht;p;0;2;2;8;p;1;0.6028205000002345;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;WASSER;Natur;q;0;3;3;1;q;1;0.5250395999996726;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;BLUME;Natur;q;0;4;4;2;q;1;0.7168639000001349;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;GEBÄUDE;Gemacht;p;0;5;5;5;p;1;0.5547900999999911;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;STEIN;Natur;q;0;6;6;4;q;1;0.5005774000001111;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.5674024999998437;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;TIER;Natur;q;0;8;8;3;q;1;0.6848439000000326;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;BAUM;Natur;q;0;9;9;0;q;1;0.6680224000001544;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.5478579000000536;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;0.5165093999999044;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;BLUME;Natur;q;1;2;12;2;q;1;0.5639240000000427;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;TIER;Natur;q;1;3;13;3;q;1;0.5998263000001316;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.5157066000001578;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;STEIN;Natur;q;1;5;15;4;p;0;0.5291434999999183;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;STADT;Gemacht;p;1;6;16;6;p;1;0.9134121000001869;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;WASSER;Natur;q;1;7;17;1;q;1;0.6642510000001494;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.5483688999997867;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
1;BAUM;Natur;q;1;9;19;0;q;1;0.5836788000001434;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
;;;;;;;;;;;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHLIMM;negativ;q;0;0;0;0;q;1;1.2317414000003737;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHWACH;negativ;q;0;1;1;4;q;1;0.6967695999996977;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.7278522000001431;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;NEGATIV;negativ;q;0;3;3;2;q;1;0.7984815999998318;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHÄDLICH;negativ;q;0;4;4;3;q;1;0.6601618999998209;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;EINWANDFREI;positiv;p;0;5;5;6;p;1;0.9335034999999152;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.7838926999997966;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;POSITIV;positiv;p;0;7;7;8;p;1;0.6174256999997851;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;HERVORRAGEND;positiv;p;0;8;8;7;p;1;0.6350965999999971;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;GUT;positiv;p;0;9;9;9;p;1;0.5338518999997177;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHLECHT;negativ;q;1;0;10;1;q;1;0.5631657999997515;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;NEGATIV;negativ;q;1;1;11;2;q;1;0.5804650999998557;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHWACH;negativ;q;1;2;12;4;q;1;0.606997500000034;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHÄDLICH;negativ;q;1;3;13;3;q;1;0.5112642000003689;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;HERVORRAGEND;positiv;p;1;4;14;7;p;1;0.5775259000001824;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;POSITIV;positiv;p;1;5;15;8;p;1;0.486021200000323;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;SCHLIMM;negativ;q;1;6;16;0;q;1;0.5454539999996086;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;EINWANDFREI;positiv;p;1;7;17;6;p;1;0.5671596999995927;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;GUT;positiv;p;1;8;18;9;p;1;0.4843110000001616;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
2;AUSGEZEICHNET;positiv;p;1;9;19;5;p;1;0.5475507999999536;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
;;;;;;;;;;;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
3;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;0.8075967999998284;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
3;SCHLECHT;negativ;q;0;1;1;1;q;1;0.7666156000000228;001;ARSW00;2019_Nov_26_1019;iat_vr;59.94391647169169;
