Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;0.861712300000363;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.560154999999213;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;BAUM;Natur;q;0;2;2;0;q;1;0.5245746000000509;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;BLUME;Natur;q;0;3;3;2;q;1;0.4336892999999691;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;STEIN;Natur;q;0;4;4;4;q;1;0.40150100000028033;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.6109787000023061;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;GEBÄUDE;Gemacht;p;0;6;6;5;q;0;0.5355988000083016;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;KLEIDER;Gemacht;p;0;7;7;7;p;1;1.1836468999972567;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;WASSER;Natur;q;0;8;8;1;q;1;0.6142354000039632;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;LAMPE;Gemacht;p;0;9;9;9;p;1;0.7665898999985075;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.6357786000007764;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;TIER;Natur;q;1;1;11;3;q;1;0.5313565999967977;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;BAUM;Natur;q;1;2;12;0;q;1;0.4343912000040291;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;BLUME;Natur;q;1;3;13;2;q;1;0.46426310000242665;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;STEIN;Natur;q;1;4;14;4;q;1;0.3960745000076713;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;WASSER;Natur;q;1;5;15;1;q;1;0.6003039000061108;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;STADT;Gemacht;p;1;6;16;6;p;1;0.5500016000005417;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;0.5617497999919578;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;GEBÄUDE;Gemacht;p;1;8;18;5;p;1;0.5000990999978967;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
1;LAMPE;Gemacht;p;1;9;19;9;p;1;0.6336647999996785;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
;;;;;;;;;;;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;SCHLIMM;negativ;q;0;0;0;0;q;1;1.3476311000122223;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;GUT;positiv;p;0;1;1;9;p;1;0.7487124000035692;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;SCHWACH;negativ;q;0;2;2;4;q;1;0.6983124999969732;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;AUSGEZEICHNET;positiv;p;0;3;3;5;p;1;0.6836719999992056;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;NEGATIV;negativ;q;0;4;4;2;q;1;0.8833940000040457;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;SCHLECHT;negativ;q;0;5;5;1;q;1;0.5024100000009639;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.6932798000052571;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;HERVORRAGEND;positiv;p;0;7;7;7;p;1;0.5502929000067525;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;SCHÄDLICH;negativ;q;0;8;8;3;q;1;0.5330549999926006;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;POSITIV;positiv;p;0;9;9;8;p;1;0.5113894000096479;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;GUT;positiv;p;1;0;10;9;p;1;0.41750550000870135;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;HERVORRAGEND;positiv;p;1;1;11;7;p;1;0.5689045000035549;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;NEGATIV;negativ;q;1;2;12;2;q;1;0.527647099996102;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
2;SCHLIMM;negativ;q;1;3;13;0;q;1;0.46610859999782406;002;ASFG97;2019_Nov_29_1603;iat_vr;60.06810521881308;
