Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BAUM;Natur;q;0;0;0;0;q;1;1.7437858000048436;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;STEIN;Natur;q;0;1;1;4;q;1;0.8501561000011861;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;1.166831499998807;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;TIER;Natur;q;0;3;3;3;q;1;0.8170205000060378;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;LAMPE;Gemacht;p;0;4;4;9;p;1;0.9666967999946792;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;1.8167947999900207;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;STADT;Gemacht;p;0;6;6;6;p;1;1.3169810000108555;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;WASSER;Natur;q;0;7;7;1;q;1;0.8502279999956954;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;1.800062499998603;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;BLUME;Natur;q;0;9;9;2;q;1;0.5336952999932691;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.8169035999890184;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;BLUME;Natur;q;1;1;11;2;q;1;0.7669266000011703;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;WASSER;Natur;q;1;2;12;1;q;1;1.0002452000044286;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;BAUM;Natur;q;1;3;13;0;q;1;1.3003008999949088;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;STEIN;Natur;q;1;4;14;4;q;1;0.650250100006815;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
1;GEBÄUDE;Gemacht;p;1;5;15;5;p;1;0.7669244999997318;001;ASJK92;2019_Nov_29_1453;iat_vr;60.01824554583567;
