Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STADT;Gemacht;p;0;0;0;6;p;1;1.1716294000070775;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;BAUM;Natur;q;0;1;1;0;q;1;0.6903151000005892;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.6225345999991987;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;0.686914899997646;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;BLUME;Natur;q;0;4;4;2;q;1;0.5298951000004308;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;LAMPE;Gemacht;p;0;5;5;9;q;0;0.43232890000217594;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;KLEIDER;Gemacht;p;0;6;6;7;q;0;0.926508599994122;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;TIER;Natur;q;0;7;7;3;q;1;0.7805796999891754;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;WASSER;Natur;q;0;8;8;1;q;1;0.5938605999981519;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;STEIN;Natur;q;0;9;9;4;q;1;0.4428641999984393;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;BAUM;Natur;q;1;0;10;0;q;1;0.5654299000016181;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;WASSER;Natur;q;1;1;11;1;q;1;0.6321217999939108;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.5503013000125065;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;GEBÄUDE;Gemacht;p;1;3;13;5;p;1;0.4860208000027342;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;TIER;Natur;q;1;4;14;3;q;1;0.680498899993836;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;BLUME;Natur;q;1;5;15;2;q;1;1.0651657999987947;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;KLEIDER;Gemacht;p;1;6;16;7;p;1;0.6799982999946224;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.7678640999947675;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;STEIN;Natur;q;1;8;18;4;q;1;0.8692592000006698;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
1;STADT;Gemacht;p;1;9;19;6;p;1;1.3811712000024272;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
;;;;;;;;;;;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;POSITIV;positiv;p;0;0;0;8;p;1;0.9107645999902161;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHLECHT;negativ;q;0;1;1;1;q;1;0.6275924000074156;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.6604356000025291;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.677460599996266;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;AUSGEZEICHNET;positiv;p;0;4;4;5;p;1;0.5169285000010859;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.6670709000027273;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.9526452999998583;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHLIMM;negativ;q;0;7;7;0;q;1;1.09663049998926;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;GUT;positiv;p;0;8;8;9;p;1;0.764907899996615;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHWACH;negativ;q;0;9;9;4;q;1;0.8780192999984138;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;HERVORRAGEND;positiv;p;1;0;10;7;q;0;0.5921123000007356;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHÄDLICH;negativ;q;1;1;11;3;q;1;0.6599923000030685;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHLECHT;negativ;q;1;2;12;1;q;1;0.7138951999950223;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;GUT;positiv;p;1;3;13;9;p;1;0.6008841000002576;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHLIMM;negativ;q;1;4;14;0;q;1;0.7462864999979502;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;NEGATIV;negativ;q;1;5;15;2;q;1;0.913415699993493;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;POSITIV;positiv;p;1;6;16;8;p;1;0.680836100000306;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;SCHWACH;negativ;q;1;7;17;4;q;1;0.7019364000007045;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;EINWANDFREI;positiv;p;1;8;18;6;p;1;0.6503945000004023;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
2;AUSGEZEICHNET;positiv;p;1;9;19;5;p;1;0.48360620001039933;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
;;;;;;;;;;;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;TIER;Natur;q;0;0;0;13;q;1;1.4142698999930872;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;SCHÄDLICH;negativ;q;0;1;1;3;p;0;0.7861390000034589;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;SCHWACH;negativ;q;0;2;2;4;q;1;2.8347956000070553;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;BAUM;Natur;q;0;3;3;10;q;1;0.6949649000016507;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;WASSER;Natur;q;0;4;4;11;q;1;0.5307349000067916;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;SCHLIMM;negativ;q;0;5;5;0;q;1;1.0025526999961585;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;SCHLECHT;negativ;q;0;6;6;1;q;1;0.6189947999955621;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;NEGATIV;negativ;q;0;7;7;2;q;1;0.5343482000025688;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;AUSGEZEICHNET;positiv;p;0;8;8;5;p;1;0.7242582999897422;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;BLUME;Natur;q;0;9;9;12;q;1;0.8965316000103485;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;COMPUTER;Gemacht;p;0;10;10;18;p;1;0.6955574000021443;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;EINWANDFREI;positiv;p;0;11;11;6;p;1;0.7480246999912197;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;LAMPE;Gemacht;p;0;12;12;19;p;1;0.5648810999991838;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;KLEIDER;Gemacht;p;0;13;13;17;p;1;0.5639476999931503;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;STEIN;Natur;q;0;14;14;14;p;0;0.5965924999909475;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;POSITIV;positiv;p;0;15;15;8;q;0;0.8680560999928275;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;GUT;positiv;p;0;16;16;9;p;1;0.8805330000031972;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;GEBÄUDE;Gemacht;p;0;17;17;15;p;1;1.3252081999962684;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;HERVORRAGEND;positiv;p;0;18;18;7;p;1;0.6625526999996509;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
3;STADT;Gemacht;p;0;19;19;16;q;0;1.0144325000001118;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
;;;;;;;;;;;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;TIER;Natur;q;0;0;0;13;q;1;1.0108686000021407;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;SCHLIMM;negativ;q;0;1;1;0;p;0;0.8458717000030447;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;EINWANDFREI;positiv;p;0;2;2;6;p;1;0.7825120000052266;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;NEGATIV;negativ;q;0;3;3;2;p;0;1.194911000013235;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;SCHWACH;negativ;q;0;4;4;4;q;1;1.0477038999961223;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;STEIN;Natur;q;0;5;5;14;q;1;1.0978452999988804;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;COMPUTER;Gemacht;p;0;6;6;18;q;0;1.0644144999969285;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;KLEIDER;Gemacht;p;0;7;7;17;p;1;0.7652250000101048;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;GEBÄUDE;Gemacht;p;0;8;8;15;p;1;0.5636432000028435;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;HERVORRAGEND;positiv;p;0;9;9;7;p;1;1.2959594999992987;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;LAMPE;Gemacht;p;0;10;10;19;p;1;0.6200174999976298;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
4;WASSER;Natur;q;0;11;11;11;p;0;0.4316502000001492;002;ASLH01;2019_Nov_29_1318;iat_vr;59.897383801673605;
