Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;COMPUTER;Gemacht;p;0;0;0;8;p;1;0.9601420999970287;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;BLUME;Natur;q;0;1;1;2;q;1;0.6574013999925228;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;TIER;Natur;q;0;2;2;3;q;1;0.6354983000055654;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;WASSER;Natur;q;0;3;3;1;q;1;0.66114209999796;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;STEIN;Natur;q;0;4;4;4;q;1;0.6302299000089988;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.6115492999961134;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;GEBÄUDE;Gemacht;p;0;6;6;5;p;1;0.6033810999942943;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;KLEIDER;Gemacht;p;0;7;7;7;p;1;0.5509002000035252;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;BAUM;Natur;q;0;8;8;0;q;1;0.5843783000018448;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;LAMPE;Gemacht;p;0;9;9;9;p;1;0.6317965000052936;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;BLUME;Natur;q;1;0;10;2;q;1;0.5351555999950506;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;TIER;Natur;q;1;1;11;3;q;1;0.6492913999973098;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;WASSER;Natur;q;1;2;12;1;q;1;0.6792309000011301;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
1;BAUM;Natur;q;1;3;13;0;q;1;0.5815877999993972;002;ASLK98;2019_Nov_29_1637;iat_vr;59.91773295053016;
