Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;2.0783513999995193;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;BAUM;Natur;q;0;1;1;0;q;1;0.9042367000001832;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;BLUME;Natur;q;0;2;2;2;q;1;1.1486133999997037;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;LAMPE;Gemacht;p;0;3;3;9;p;1;0.646662500000275;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;STEIN;Natur;q;0;4;4;4;q;1;0.7532357999998567;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.5961467999995875;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;STADT;Gemacht;p;0;6;6;6;p;1;0.9645203000000038;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;0.6890459000005649;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;GEBÄUDE;Gemacht;p;0;8;8;5;p;1;0.6770384999999806;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;WASSER;Natur;q;0;9;9;1;q;1;0.6834148999996614;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;STEIN;Natur;q;1;0;10;4;q;1;0.6679639999993014;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;WASSER;Natur;q;1;1;11;1;q;1;0.6147416000003432;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;TIER;Natur;q;1;2;12;3;q;1;0.6299713999997039;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;KLEIDER;Gemacht;p;1;3;13;7;p;1;0.7953247000004922;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;STADT;Gemacht;p;1;4;14;6;p;1;0.6948210000000472;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;GEBÄUDE;Gemacht;p;1;5;15;5;p;1;0.7175607999997737;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;0.7351384000003236;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;BAUM;Natur;q;1;7;17;0;q;1;0.7332874000003358;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.6466677999997046;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
1;BLUME;Natur;q;1;9;19;2;q;1;0.8986493000002156;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
;;;;;;;;;;;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;1.3752400000003036;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;0.573884000000362;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;NEGATIV;negativ;q;0;2;2;2;q;1;0.861464600000545;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHWACH;negativ;q;0;3;3;4;q;1;0.6811274000001504;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;GUT;positiv;p;0;4;4;9;p;1;0.6317595000000438;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHLECHT;negativ;q;0;5;5;1;q;1;1.6298518000003241;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.6163640000004307;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;POSITIV;positiv;p;0;7;7;8;p;1;0.6186054999998305;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHLIMM;negativ;q;0;8;8;0;q;1;0.679113099999995;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHÄDLICH;negativ;q;0;9;9;3;q;1;0.5792658000000301;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHÄDLICH;negativ;q;1;0;10;3;q;1;0.5852602000004481;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHLECHT;negativ;q;1;1;11;1;q;1;0.6814930999998978;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHLIMM;negativ;q;1;2;12;0;q;1;0.5797255999996196;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;NEGATIV;negativ;q;1;3;13;2;p;0;0.5171243999993749;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;EINWANDFREI;positiv;p;1;4;14;6;p;1;0.9509336000000985;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;AUSGEZEICHNET;positiv;p;1;5;15;5;p;1;0.8494898999997531;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;SCHWACH;negativ;q;1;6;16;4;q;1;1.2842583000001468;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;GUT;positiv;p;1;7;17;9;p;1;0.6834163000003173;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;POSITIV;positiv;p;1;8;18;8;p;1;0.7843535000001793;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
2;HERVORRAGEND;positiv;p;1;9;19;7;p;1;0.7916846999996778;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
;;;;;;;;;;;002;ASMS67;2019_Nov_28_1016;iat_vr;60.78306826846739;
