Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;0.764151799998217;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;BAUM;Natur;q;0;1;1;0;q;1;0.5939732000006188;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;LAMPE;Gemacht;p;0;2;2;9;p;1;0.5954129000019748;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;KLEIDER;Gemacht;p;0;3;3;7;p;1;0.6218510999970022;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;GEBÄUDE;Gemacht;p;0;4;4;5;p;1;0.643530199999077;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.5356667999985802;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;WASSER;Natur;q;0;6;6;1;q;1;0.6266909000005398;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;0.5881164999991597;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;STEIN;Natur;q;0;8;8;4;q;1;0.7946420000007492;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;TIER;Natur;q;0;9;9;3;q;1;0.8190720999991754;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;STADT;Gemacht;p;1;0;10;6;p;1;0.5978021999981138;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;COMPUTER;Gemacht;p;1;1;11;8;p;1;0.6650236000023142;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.6626054000007571;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;TIER;Natur;q;1;3;13;3;q;1;0.6654629000004206;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.6688309000019217;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;BLUME;Natur;q;1;5;15;2;q;1;0.5811260000009497;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;WASSER;Natur;q;1;6;16;1;q;1;0.5317254999972647;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;STEIN;Natur;q;1;7;17;4;q;1;0.5977362999983598;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;BAUM;Natur;q;1;8;18;0;q;1;0.6820196000007854;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
1;LAMPE;Gemacht;p;1;9;19;9;p;1;0.5640341999969678;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
;;;;;;;;;;;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;HERVORRAGEND;positiv;p;0;0;0;7;p;1;0.8633049999989453;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;0.6480314999971597;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.6435277999989921;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;NEGATIV;negativ;q;0;3;3;2;q;1;0.6676084999999148;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;POSITIV;positiv;p;0;4;4;8;p;1;0.5812198999992688;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHWACH;negativ;q;0;5;5;4;q;1;0.6467631999985315;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;GUT;positiv;p;0;6;6;9;p;1;0.6194217999982357;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;AUSGEZEICHNET;positiv;p;0;7;7;5;p;1;0.5524197999984608;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHLECHT;negativ;q;0;8;8;1;q;1;0.895658800000092;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;EINWANDFREI;positiv;p;0;9;9;6;p;1;0.6421261000032246;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;EINWANDFREI;positiv;p;1;0;10;6;p;1;0.6176401999982772;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHWACH;negativ;q;1;1;11;4;q;1;0.6356262000008428;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.5949907000031089;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHLIMM;negativ;q;1;3;13;0;q;1;0.6463886999990791;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHLECHT;negativ;q;1;4;14;1;q;1;0.7443561000000045;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;NEGATIV;negativ;q;1;5;15;2;q;1;0.652535600002011;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;HERVORRAGEND;positiv;p;1;6;16;7;p;1;0.5964652000002388;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;SCHÄDLICH;negativ;q;1;7;17;3;q;1;0.5932743999983359;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;POSITIV;positiv;p;1;8;18;8;p;1;0.49761559999751626;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
2;GUT;positiv;p;1;9;19;9;p;1;0.5655520999971486;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
;;;;;;;;;;;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
3;COMPUTER;Gemacht;p;0;0;0;18;p;1;1.7927908999990905;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
3;GUT;positiv;p;0;1;1;9;p;1;1.3980277000009664;002;ASSS99;2019_Nov_28_1316;iat_vr;60.74540688789711;
