Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;1.4864911999993637;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;STEIN;Natur;q;0;1;1;4;q;1;0.9578678000016225;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;TIER;Natur;q;0;2;2;3;q;1;0.9654329000004509;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;BLUME;Natur;q;0;3;3;2;q;1;0.9554793000006612;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;BAUM;Natur;q;0;4;4;0;q;1;0.8160351999995328;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.9457168999997521;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.6898980000005395;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.7054697999992641;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;KLEIDER;Gemacht;p;0;8;8;7;p;1;0.8105007000012847;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;STADT;Gemacht;p;0;9;9;6;p;1;0.7482890999999654;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;GEBÄUDE;Gemacht;p;1;0;10;5;p;1;0.7192715000001044;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;WASSER;Natur;q;1;1;11;1;q;1;0.7116949999999633;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;BAUM;Natur;q;1;2;12;0;q;1;0.6982868000013696;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.7988675999986299;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;COMPUTER;Gemacht;p;1;4;14;8;p;1;0.711742100000265;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;TIER;Natur;q;1;5;15;3;q;1;0.7158349999990605;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;BLUME;Natur;q;1;6;16;2;q;1;1.2352090000022145;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;0.8660811000008835;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.8458470000005036;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
1;STEIN;Natur;q;1;9;19;4;q;1;0.9302533999980369;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
;;;;;;;;;;;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
2;SCHLIMM;negativ;q;0;0;0;0;q;1;3.8416092000006756;001;FSAN68;2019_Dec_19_1527;iat_vr;59.82457042952503;
