Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;COMPUTER;Gemacht;p;0;0;0;8;p;1;1.4318665999999212;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.635849700000108;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;0.6964706999997361;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;STADT;Gemacht;p;0;3;3;6;p;1;0.5084351999994396;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;BAUM;Natur;q;0;4;4;0;q;1;0.5816378999998051;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.5647269000000961;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;BLUME;Natur;q;0;6;6;2;q;1;0.602491700000428;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;WASSER;Natur;q;0;7;7;1;q;1;0.47886319999997795;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;TIER;Natur;q;0;8;8;3;q;1;0.44966870000007475;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;STEIN;Natur;q;0;9;9;4;q;1;0.5140589000002365;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;KLEIDER;Gemacht;p;1;0;10;7;p;1;0.5125806000005468;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;COMPUTER;Gemacht;p;1;1;11;8;p;1;0.5299170999996932;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;BLUME;Natur;q;1;2;12;2;q;1;0.530168400000548;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;WASSER;Natur;q;1;3;13;1;p;0;0.4823744999994233;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;STEIN;Natur;q;1;4;14;4;q;1;0.6342898000002606;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.634342000000288;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;GEBÄUDE;Gemacht;p;1;6;16;5;p;1;0.5810207999993509;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.5466722999999547;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;TIER;Natur;q;1;8;18;3;q;1;1.1321484999998574;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
1;BAUM;Natur;q;1;9;19;0;q;1;0.5985282999999981;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
;;;;;;;;;;;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;NEGATIV;negativ;q;0;0;0;2;q;1;0.8055725000003804;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;0.6348619000000326;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.48630060000050435;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.7346422999999049;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;0.6799753000004785;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;GUT;positiv;p;0;5;5;9;p;1;0.5486185000008845;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.8649261000000479;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
2;SCHWACH;negativ;q;0;7;7;4;q;1;0.6637980000004973;002;FSCS91;2019_Dec_21_1635;iat_vr;60.53913734149065;
