Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;COMPUTER;Gemacht;p;0;0;0;8;p;1;1.2908037999986846;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;BLUME;Natur;q;0;1;1;2;q;1;0.8556922999996459;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;1.0197121000019251;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;STEIN;Natur;q;0;3;3;4;p;0;0.6906054999999469;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;1.0957113000004028;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;WASSER;Natur;q;0;5;5;1;q;1;0.9627748999992036;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;BAUM;Natur;q;0;6;6;0;q;1;0.6471450999997614;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;1.3983324999971956;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;STADT;Gemacht;p;0;8;8;6;p;1;0.7151023000005807;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;TIER;Natur;q;0;9;9;3;q;1;0.8156097999999474;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;STADT;Gemacht;p;1;0;10;6;p;1;1.0130625999991025;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;WASSER;Natur;q;1;1;11;1;q;1;0.7337224000002607;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;1.0503077999965171;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;KLEIDER;Gemacht;p;1;3;13;7;p;1;1.185674199998175;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;BAUM;Natur;q;1;4;14;0;q;1;0.7816947999999684;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;TIER;Natur;q;1;5;15;3;q;1;0.8659308000023884;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;STEIN;Natur;q;1;6;16;4;q;1;1.430569000000105;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.7820356999982323;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;BLUME;Natur;q;1;8;18;2;q;1;0.7301494000021194;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
1;GEBÄUDE;Gemacht;p;1;9;19;5;p;1;1.3806114999970305;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
;;;;;;;;;;;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
2;NEGATIV;negativ;q;0;0;0;2;q;1;5.196013900000253;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
2;GUT;positiv;p;0;1;1;9;p;1;1.3162865999984206;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
2;HERVORRAGEND;positiv;p;0;2;2;7;p;1;1.5780461999966064;001;FSJS67;2019_Dec_04_1619;iat_vr;60.08687360144646;
