Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STADT;Gemacht;p;0;0;0;6;p;1;1.117403899996134;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;TIER;Natur;q;0;1;1;3;q;1;0.6403054000038537;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;COMPUTER;Gemacht;p;0;2;2;8;p;1;0.5337478000001283;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;KLEIDER;Gemacht;p;0;3;3;7;p;1;0.7579133000035654;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;LAMPE;Gemacht;p;0;4;4;9;p;1;0.4975542999964091;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;BLUME;Natur;q;0;5;5;2;q;1;0.7690091000040411;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;WASSER;Natur;q;0;6;6;1;q;1;0.5616177999982028;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;STEIN;Natur;q;0;7;7;4;q;1;0.5269734000030439;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;GEBÄUDE;Gemacht;p;0;8;8;5;p;1;0.5401677999980166;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;BAUM;Natur;q;0;9;9;0;p;0;0.4754451000044355;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.9475228000010247;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;LAMPE;Gemacht;p;1;1;11;9;p;1;0.5183185999994748;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;TIER;Natur;q;1;2;12;3;q;1;0.7492492000019411;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;BAUM;Natur;q;1;3;13;0;q;1;0.5650337000042782;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.664231100003235;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.5320951000030618;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;WASSER;Natur;q;1;6;16;1;q;1;0.664650900005654;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.6354324999992969;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;STEIN;Natur;q;1;8;18;4;q;1;0.6642098000011174;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
1;BLUME;Natur;q;1;9;19;2;q;1;0.6479570000010426;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
;;;;;;;;;;;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHÄDLICH;negativ;q;0;0;0;3;q;1;1.676926000000094;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;NEGATIV;negativ;q;0;1;1;2;q;1;0.7248771999948076;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHLIMM;negativ;q;0;2;2;0;q;1;0.5968718000003719;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHWACH;negativ;q;0;3;3;4;q;1;0.47843360000115354;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;0.967241099999228;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;AUSGEZEICHNET;positiv;p;0;5;5;5;p;1;0.567201899997599;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.533546300001035;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHLECHT;negativ;q;0;7;7;1;q;1;0.8004127000021981;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;POSITIV;positiv;p;0;8;8;8;p;1;0.7336267999999109;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;GUT;positiv;p;0;9;9;9;p;1;0.5671203000019887;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHÄDLICH;negativ;q;1;0;10;3;q;1;0.5502972999966005;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;GUT;positiv;p;1;1;11;9;p;1;0.5674345999941579;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;POSITIV;positiv;p;1;2;12;8;p;1;0.48573839999880875;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHWACH;negativ;q;1;3;13;4;q;1;0.5301577000063844;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;EINWANDFREI;positiv;p;1;4;14;6;p;1;0.6262793999994756;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;AUSGEZEICHNET;positiv;p;1;5;15;5;p;1;0.5269969000000856;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;HERVORRAGEND;positiv;p;1;6;16;7;p;1;0.5575404000046547;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHLIMM;negativ;q;1;7;17;0;q;1;0.5978618000008282;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;SCHLECHT;negativ;q;1;8;18;1;q;1;0.5141514999995707;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
2;NEGATIV;negativ;q;1;9;19;2;q;1;0.6783618999979808;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
;;;;;;;;;;;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;1.535222900005465;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;NEGATIV;negativ;q;0;1;1;2;q;1;1.0647910999978194;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;GUT;positiv;p;0;2;2;9;p;1;0.6320332999966922;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;SCHLIMM;negativ;q;0;3;3;0;q;1;0.7973738000000594;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;SCHWACH;negativ;q;0;4;4;4;q;1;0.545692899999267;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;KLEIDER;Gemacht;p;0;5;5;17;p;1;1.0606435000008787;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;STADT;Gemacht;p;0;6;6;16;p;1;0.5650476000009803;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;STEIN;Natur;q;0;7;7;14;q;1;0.6925644000002649;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;SCHÄDLICH;negativ;q;0;8;8;3;q;1;1.4464240999950562;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;GEBÄUDE;Gemacht;p;0;9;9;15;p;1;0.9142088000007789;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;POSITIV;positiv;p;0;10;10;8;p;1;0.7150312000012491;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;TIER;Natur;q;0;11;11;13;q;1;0.7647756999940611;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;HERVORRAGEND;positiv;p;0;12;12;7;p;1;0.6635595000043395;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;LAMPE;Gemacht;p;0;13;13;19;p;1;0.5652345999988029;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;SCHLECHT;negativ;q;0;14;14;1;q;1;0.6449772999985726;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;WASSER;Natur;q;0;15;15;11;q;1;0.7154377000042587;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;EINWANDFREI;positiv;p;0;16;16;6;p;1;1.0799556999991182;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;BAUM;Natur;q;0;17;17;10;q;1;0.6987802000003285;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;COMPUTER;Gemacht;p;0;18;18;18;p;1;0.5962701000025845;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
3;BLUME;Natur;q;0;19;19;12;q;1;0.5808087999976124;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
;;;;;;;;;;;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
4;COMPUTER;Gemacht;p;0;0;0;18;p;1;0.9687974999978906;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
4;GEBÄUDE;Gemacht;p;0;1;1;15;p;1;0.5802283999946667;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
4;EINWANDFREI;positiv;p;0;2;2;6;p;1;1.0175182999955723;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
4;SCHWACH;negativ;q;0;3;3;4;q;1;0.747379300002649;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
4;STADT;Gemacht;p;0;4;4;16;p;1;0.7313435999967624;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
4;TIER;Natur;q;0;5;5;13;q;1;0.6653732999984641;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
4;KLEIDER;Gemacht;p;0;6;6;17;p;1;0.8128322000047774;002;FSJS96;2019_Nov_27_1828;iat_vr;60.11613234344752;
