Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STADT;Gemacht;p;0;0;0;6;p;1;1.10610970000198;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;BAUM;Natur;q;0;1;1;0;q;1;0.6920422000002873;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.6885438999997859;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;0.5891128000002936;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;LAMPE;Gemacht;p;0;4;4;9;p;1;0.6128215000026103;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;BLUME;Natur;q;0;5;5;2;q;1;0.6822628999980225;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;STEIN;Natur;q;0;6;6;4;p;0;0.7247892000013962;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;KLEIDER;Gemacht;p;0;7;7;7;p;1;1.0612481000025582;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;WASSER;Natur;q;0;8;8;1;q;1;0.6781897999971989;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;TIER;Natur;q;0;9;9;3;q;1;1.0325430999982927;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;BLUME;Natur;q;1;0;10;2;q;1;0.6648018000014417;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;WASSER;Natur;q;1;1;11;1;q;1;0.5794134999996459;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.6823197000012442;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;BAUM;Natur;q;1;3;13;0;q;1;0.6653121000017563;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.7324417999989237;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;LAMPE;Gemacht;p;1;5;15;9;p;1;0.6118954999983544;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;0.6148489999977755;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;TIER;Natur;q;1;7;17;3;q;1;0.7833448999990651;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;STEIN;Natur;q;1;8;18;4;q;1;1.565542500000447;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
1;STADT;Gemacht;p;1;9;19;6;p;1;1.4310609999993176;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
;;;;;;;;;;;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;GUT;positiv;p;0;0;0;9;p;1;1.4334092999997665;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;NEGATIV;negativ;q;0;1;1;2;q;1;0.6100858999998309;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHLECHT;negativ;q;0;2;2;1;q;1;1.331255000000965;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;POSITIV;positiv;p;0;3;3;8;p;1;0.796208600000682;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;AUSGEZEICHNET;positiv;p;0;4;4;5;p;1;1.3068540999993274;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.9296524000019417;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHÄDLICH;negativ;q;0;6;6;3;q;1;0.9781470999987505;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;EINWANDFREI;positiv;p;0;7;7;6;p;1;1.4460890000009385;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;HERVORRAGEND;positiv;p;0;8;8;7;p;1;0.9690061000001151;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHWACH;negativ;q;0;9;9;4;q;1;1.345685999996931;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHÄDLICH;negativ;q;1;0;10;3;q;1;1.2978489999986778;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHWACH;negativ;q;1;1;11;4;q;1;0.9816589000001841;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.7598036000017601;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;GUT;positiv;p;1;3;13;9;p;1;0.4662422000001243;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;POSITIV;positiv;p;1;4;14;8;p;1;0.4318846999995003;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;EINWANDFREI;positiv;p;1;5;15;6;p;1;0.5802855000001728;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;NEGATIV;negativ;q;1;6;16;2;q;1;0.7315232000000833;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;HERVORRAGEND;positiv;p;1;7;17;7;p;1;0.879332800002885;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHLIMM;negativ;q;1;8;18;0;q;1;0.7286168999999063;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
2;SCHLECHT;negativ;q;1;9;19;1;q;1;0.5311020999979519;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
;;;;;;;;;;;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;SCHLECHT;negativ;q;0;0;0;1;q;1;0.8683731999990414;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;LAMPE;Gemacht;p;0;1;1;19;p;1;0.8133946000016294;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;SCHLIMM;negativ;q;0;2;2;0;q;1;3.946627500001341;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.9260867000011785;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;KLEIDER;Gemacht;p;0;4;4;17;p;1;1.731382099998882;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;AUSGEZEICHNET;positiv;p;0;5;5;5;p;1;1.6924910999987333;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;POSITIV;positiv;p;0;6;6;8;p;1;0.6323083000024781;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;STEIN;Natur;q;0;7;7;14;q;1;0.982341599999927;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;SCHÄDLICH;negativ;q;0;8;8;3;q;1;1.128212400002667;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;STADT;Gemacht;p;0;9;9;16;p;1;2.814739399997052;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;WASSER;Natur;q;0;10;10;11;q;1;0.7983776000000944;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;TIER;Natur;q;0;11;11;13;q;1;0.8334569000035117;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;BAUM;Natur;q;0;12;12;10;q;1;0.6486576999996032;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;GEBÄUDE;Gemacht;p;0;13;13;15;p;1;0.7153823000007833;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
3;GUT;positiv;p;0;14;14;9;p;1;0.7654299999994691;001;FSLK99;2019_Dec_03_1451;iat_vr;60.03121623208889;
