Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;COMPUTER;Gemacht;p;0;0;0;8;p;1;1.5838848999992479;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;0.7780804000012722;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;BLUME;Natur;q;0;2;2;2;q;1;0.6625542000001587;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;TIER;Natur;q;0;3;3;3;q;1;0.6627613000000565;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;GEBÄUDE;Gemacht;p;0;4;4;5;p;1;0.6555105999996158;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.675989399998798;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;WASSER;Natur;q;0;6;6;1;q;1;0.6933759999992617;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;STEIN;Natur;q;0;7;7;4;q;1;0.6799569000013435;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;BAUM;Natur;q;0;8;8;0;q;1;0.5968244000014238;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;KLEIDER;Gemacht;p;0;9;9;7;p;1;0.6278235000008863;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;STEIN;Natur;q;1;0;10;4;q;1;0.6483475999993971;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;0.6289299000000028;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.6303510000016104;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;KLEIDER;Gemacht;p;1;3;13;7;p;1;0.8123878000005789;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;BLUME;Natur;q;1;4;14;2;q;1;0.597662100000889;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;WASSER;Natur;q;1;5;15;1;q;1;0.6851016999989952;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.5821376999992935;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;STADT;Gemacht;p;1;7;17;6;p;1;0.6804265999999188;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;BAUM;Natur;q;1;8;18;0;q;1;0.6466116000010516;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
1;TIER;Natur;q;1;9;19;3;q;1;0.6817218999985926;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
;;;;;;;;;;;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHWACH;negativ;q;0;0;0;4;q;1;3.1743710999999166;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;EINWANDFREI;positiv;p;0;1;1;6;p;1;0.9924253999997745;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.7280510999989929;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.6623573999986547;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHLIMM;negativ;q;0;4;4;0;q;1;0.6946317000001727;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;POSITIV;positiv;p;0;5;5;8;p;1;0.6413842999991175;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.6586338999986765;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;NEGATIV;negativ;q;0;7;7;2;q;1;0.7461844000008568;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;AUSGEZEICHNET;positiv;p;0;8;8;5;p;1;0.691635999999562;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;GUT;positiv;p;0;9;9;9;p;1;0.6978940999997576;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;EINWANDFREI;positiv;p;1;0;10;6;p;1;0.6802095000002737;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;POSITIV;positiv;p;1;1;11;8;p;1;0.6616467000003468;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHLIMM;negativ;q;1;2;12;0;q;1;0.6125260999997408;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHLECHT;negativ;q;1;3;13;1;q;1;0.6408905000007508;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;HERVORRAGEND;positiv;p;1;4;14;7;p;1;0.6123594999990019;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;GUT;positiv;p;1;5;15;9;p;1;0.69934160000048;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHWACH;negativ;q;1;6;16;4;q;1;0.6145800000012969;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;AUSGEZEICHNET;positiv;p;1;7;17;5;p;1;0.61091850000048;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;NEGATIV;negativ;q;1;8;18;2;q;1;0.5969253000002936;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
2;SCHÄDLICH;negativ;q;1;9;19;3;q;1;0.664166300000943;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
;;;;;;;;;;;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;1.3183489999992162;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;BLUME;Natur;q;0;1;1;12;q;1;0.7483073999992484;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.7306287000010343;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;SCHLIMM;negativ;q;0;3;3;0;q;1;0.7646875999998883;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;COMPUTER;Gemacht;p;0;4;4;18;p;1;0.6814312999995309;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;BAUM;Natur;q;0;5;5;10;q;1;0.6987513999993098;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.6916531000006216;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;WASSER;Natur;q;0;7;7;11;q;1;0.69875409999986;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;SCHWACH;negativ;q;0;8;8;4;q;1;0.8802099999993516;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;NEGATIV;negativ;q;0;9;9;2;q;1;0.6620124000000942;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;STADT;Gemacht;p;0;10;10;16;p;1;0.6188695000000735;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;POSITIV;positiv;p;0;11;11;8;p;1;0.6139060999994399;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;SCHLECHT;negativ;q;0;12;12;1;q;1;0.6814302000002499;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;TIER;Natur;q;0;13;13;13;q;1;0.6469102000010025;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;LAMPE;Gemacht;p;0;14;14;19;p;1;0.5821020000003045;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;EINWANDFREI;positiv;p;0;15;15;6;p;1;0.5966548999986117;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;STEIN;Natur;q;0;16;16;14;q;1;0.6484041000003344;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;GUT;positiv;p;0;17;17;9;p;1;0.5828359000006458;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;KLEIDER;Gemacht;p;0;18;18;17;p;1;0.7871125999990909;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
3;GEBÄUDE;Gemacht;p;0;19;19;15;p;1;0.6305671999998594;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
;;;;;;;;;;;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
4;KLEIDER;Gemacht;p;0;0;0;17;p;1;0.8308319999996456;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
4;WASSER;Natur;q;0;1;1;11;q;1;0.6153725999993185;001;FSMM90;2019_Dec_19_1343;iat_vr;60.1649964863635;
