Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;0.77400990000001;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.7883634999998321;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;LAMPE;Gemacht;p;0;2;2;9;p;1;0.6697021999998469;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;0.5416841000001114;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;STADT;Gemacht;p;0;4;4;6;q;0;0.7345640000000913;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;STEIN;Natur;q;0;5;5;4;q;1;1.0174581000001126;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;WASSER;Natur;q;0;6;6;1;q;1;0.4630638999999519;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;TIER;Natur;q;0;7;7;3;p;0;0.6654513999999381;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;BAUM;Natur;q;0;8;8;0;q;1;0.7185269999999946;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;KLEIDER;Gemacht;p;0;9;9;7;p;1;0.5855650999999398;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;TIER;Natur;q;1;0;10;3;q;1;0.8660727999999835;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;STADT;Gemacht;p;1;1;11;6;p;1;0.6830224000000271;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;LAMPE;Gemacht;p;1;2;12;9;p;1;0.6806303999999272;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;BAUM;Natur;q;1;3;13;0;q;1;0.5484624999999141;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;WASSER;Natur;q;1;4;14;1;q;1;0.9840004000000135;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;0.6673697999999604;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;BLUME;Natur;q;1;6;16;2;q;1;0.8317434999999023;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.8118934999999965;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;KLEIDER;Gemacht;p;1;8;18;7;q;0;1.1647120000000086;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
1;STEIN;Natur;q;1;9;19;4;q;1;0.8970527000001312;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
;;;;;;;;;;;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;SCHÄDLICH;negativ;q;0;0;0;3;q;1;1.2925112000000354;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;0.7987748000000465;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;EINWANDFREI;positiv;p;0;2;2;6;p;1;0.6635560999998233;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;AUSGEZEICHNET;positiv;p;0;3;3;5;p;1;0.7739251999998942;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;POSITIV;positiv;p;0;4;4;8;p;1;0.4261961000001975;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;SCHWACH;negativ;q;0;5;5;4;q;1;0.5474942999999257;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;GUT;positiv;p;0;6;6;9;p;1;0.5318909000000076;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;SCHLECHT;negativ;q;0;7;7;1;q;1;0.5961200000001554;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;NEGATIV;negativ;q;0;8;8;2;q;1;0.683124399999997;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
2;HERVORRAGEND;positiv;p;0;9;9;7;p;1;0.962831499999993;002;FSNK87;2019_Dec_19_1119;iat_vr;59.99944800507702;
