Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;KLEIDER;Gemacht;p;0;0;0;7;p;1;2.933086799981538;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;BAUM;Natur;q;0;1;1;0;q;1;0.7729709999985062;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;STADT;Gemacht;p;0;2;2;6;p;1;0.625329700007569;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;0.7731585999717936;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;BLUME;Natur;q;0;4;4;2;q;1;0.5295650999760255;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;WASSER;Natur;q;0;5;5;1;q;1;0.5329585999716073;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;STEIN;Natur;q;0;6;6;4;q;1;0.4936071999836713;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.6220555999898352;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;TIER;Natur;q;0;8;8;3;q;1;0.7363411000114866;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;LAMPE;Gemacht;p;0;9;9;9;p;1;0.5360176999820396;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.5629222999559715;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;STEIN;Natur;q;1;1;11;4;q;1;0.6407900000340305;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;TIER;Natur;q;1;2;12;3;q;1;0.5820823999820277;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;BAUM;Natur;q;1;3;13;0;q;1;0.5650528999976814;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;WASSER;Natur;q;1;4;14;1;q;1;0.5485412999987602;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.5634083999902941;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;STADT;Gemacht;p;1;6;16;6;p;1;0.5322126999963075;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;BLUME;Natur;q;1;7;17;2;q;1;0.5808799000224099;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;1.0083613999886438;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
1;GEBÄUDE;Gemacht;p;1;9;19;5;p;1;1.1762596999760717;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
;;;;;;;;;;;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;GUT;positiv;p;0;0;0;9;p;1;2.5065431999973953;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;0.8372619000147097;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;POSITIV;positiv;p;0;2;2;8;p;1;0.6300989000010304;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;AUSGEZEICHNET;positiv;p;0;3;3;5;p;1;0.6404222999699414;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHLECHT;negativ;q;0;4;4;1;q;1;0.5975321999867447;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.4450576999806799;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.47537229995941743;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHLIMM;negativ;q;0;7;7;0;q;1;0.5138724999851547;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.681356200017035;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHÄDLICH;negativ;q;0;9;9;3;q;1;0.8219669999671169;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHLIMM;negativ;q;1;0;10;0;q;1;0.5021426000166684;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;POSITIV;positiv;p;1;1;11;8;p;1;0.46374200005084276;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHLECHT;negativ;q;1;2;12;1;q;1;0.6305366999586113;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;EINWANDFREI;positiv;p;1;3;13;6;p;1;0.6122245999868028;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;GUT;positiv;p;1;4;14;9;p;1;0.515098100004252;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHWACH;negativ;q;1;5;15;4;q;1;0.5154418000020087;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;SCHÄDLICH;negativ;q;1;6;16;3;q;1;1.0801171000348404;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;AUSGEZEICHNET;positiv;p;1;7;17;5;p;1;0.6291111999889836;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
2;NEGATIV;negativ;q;1;8;18;2;q;1;0.5655130000086501;002;JWEE96x;2019_Dec_13_1633;iat_vr;59.97379147000072;
