Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;p;1;2.633648600021843;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.7308983999828342;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.7071833000227343;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;STEIN;Natur;q;0;3;3;4;q;1;0.6707773999951314;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;BLUME;Natur;q;0;4;4;2;q;1;0.6984538999968208;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.6913282999885269;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;WASSER;Natur;q;0;6;6;1;q;1;0.6103541000047699;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.6807002999994438;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;BAUM;Natur;q;0;8;8;0;q;1;0.6492476999992505;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;TIER;Natur;q;0;9;9;3;q;1;0.8204570000234526;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;LAMPE;Gemacht;p;1;0;10;9;p;1;2.130204600020079;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;0.5993914999999106;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;KLEIDER;Gemacht;p;1;2;12;7;p;1;2.0619809000054374;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;STADT;Gemacht;p;1;3;13;6;p;1;1.2817063000111375;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;BLUME;Natur;q;1;4;14;2;q;1;0.5650695000076666;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;TIER;Natur;q;1;5;15;3;q;1;1.1323879999981727;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;STEIN;Natur;q;1;6;16;4;q;1;1.5308273999835365;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;WASSER;Natur;q;1;7;17;1;q;1;0.6152053000114392;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;BAUM;Natur;q;1;8;18;0;q;1;0.9181896999944001;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
1;COMPUTER;Gemacht;p;1;9;19;8;p;1;0.7349251999985427;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
;;;;;;;;;;;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;SCHLECHT;negativ;q;0;0;0;1;q;1;1.05333310001879;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;GUT;positiv;p;0;1;1;9;p;1;0.5804804999788757;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.7620629000011832;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;EINWANDFREI;positiv;p;0;3;3;6;p;1;0.7524540000013076;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;SCHWACH;negativ;q;0;4;4;4;q;1;0.6646720999851823;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.7956232999858912;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.5206560000078753;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;AUSGEZEICHNET;positiv;p;0;7;7;5;p;1;0.42407189999357797;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;NEGATIV;negativ;q;0;8;8;2;q;1;0.5625553999852855;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
2;POSITIV;positiv;p;0;9;9;8;p;1;0.5138905000058003;002;JWES98x;2019_Dec_11_1612;iat_vr;60.18538301655544;
