Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;1.3242709999904037;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;WASSER;Natur;q;0;1;1;1;q;1;0.6226229000021704;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;LAMPE;Gemacht;p;0;2;2;9;p;1;0.7052906000026269;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;GEBÄUDE;Gemacht;p;0;3;3;5;p;1;0.050210799992782995;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;BLUME;Natur;q;0;4;4;2;q;1;0.6478661000001011;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;COMPUTER;Gemacht;p;0;5;5;8;p;1;0.7904163999919547;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;KLEIDER;Gemacht;p;0;6;6;7;p;1;1.3614978000114206;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.5495859000075143;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;BAUM;Natur;q;0;8;8;0;q;1;0.534545500006061;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;STEIN;Natur;q;0;9;9;4;q;1;1.1099364000110654;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;WASSER;Natur;q;1;0;10;1;q;1;0.8690252999949735;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;STEIN;Natur;q;1;1;11;4;q;1;0.5969718999986071;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;LAMPE;Gemacht;p;1;2;12;9;p;1;0.5814329999993788;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;BAUM;Natur;q;1;3;13;0;q;1;0.5815440000005765;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;TIER;Natur;q;1;4;14;3;q;1;1.1329957000125432;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.5650341000000481;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;BLUME;Natur;q;1;6;16;2;q;1;0.5655197999876691;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.6960404999990715;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;KLEIDER;Gemacht;p;1;8;18;7;p;1;0.7308136000065133;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
1;COMPUTER;Gemacht;p;1;9;19;8;p;1;0.5128708000120241;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
;;;;;;;;;;;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;NEGATIV;negativ;q;0;0;0;2;q;1;1.3092884000070626;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;AUSGEZEICHNET;positiv;p;0;1;1;5;p;1;1.053852299999562;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;EINWANDFREI;positiv;p;0;2;2;6;p;1;1.3102194999955827;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.6504742999968585;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;GUT;positiv;p;0;4;4;9;p;1;0.5984934000007343;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.8987172000051942;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.5299101999989944;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHWACH;negativ;q;0;7;7;4;q;1;0.6628802999912295;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;POSITIV;positiv;p;0;8;8;8;p;1;0.5652898999978788;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;HERVORRAGEND;positiv;p;0;9;9;7;p;1;0.6784798000007868;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHÄDLICH;negativ;q;1;0;10;3;q;1;0.6117616999981692;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;HERVORRAGEND;positiv;p;1;1;11;7;p;1;0.5349549999955343;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHLECHT;negativ;q;1;2;12;1;q;1;0.5796961000014562;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;AUSGEZEICHNET;positiv;p;1;3;13;5;p;1;0.6293708000011975;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;POSITIV;positiv;p;1;4;14;8;p;1;0.652392099989811;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;GUT;positiv;p;1;5;15;9;p;1;0.5324207999947248;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;EINWANDFREI;positiv;p;1;6;16;6;p;1;0.5795989000034751;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHLIMM;negativ;q;1;7;17;0;q;1;0.6151353000022937;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;SCHWACH;negativ;q;1;8;18;4;q;1;0.5813192000059644;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
2;NEGATIV;negativ;q;1;9;19;2;q;1;0.5981016000005184;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
;;;;;;;;;;;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
3;LAMPE;Gemacht;p;0;0;0;19;p;1;1.7579003999999259;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
3;WASSER;Natur;q;0;1;1;11;q;1;1.2294238000031328;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
3;GEBÄUDE;Gemacht;p;0;2;2;15;p;1;1.064320300007239;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
3;COMPUTER;Gemacht;p;0;3;3;18;p;1;1.5469605999969644;002;JWJL98x;2019_Dec_10_1326;iat_vr;59.939461145554276;
