Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BAUM;Natur;q;0;0;0;0;q;1;0.8203210000065155;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;STADT;Gemacht;p;0;1;1;6;p;1;0.6902245999954175;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.8026592000096571;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;BLUME;Natur;q;0;3;3;2;q;1;0.628261299978476;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;0.87402970000403;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;WASSER;Natur;q;0;5;5;1;q;1;0.712331400020048;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;TIER;Natur;q;0;6;6;3;q;1;1.0818670000007842;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;0.7762616999971215;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;0.8467241000034846;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;STEIN;Natur;q;0;9;9;4;q;1;0.793993600003887;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;BAUM;Natur;q;1;0;10;0;q;1;0.8157776000152808;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;0.7648333000252023;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;BLUME;Natur;q;1;2;12;2;q;1;0.7484234000148717;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;KLEIDER;Gemacht;p;1;3;13;7;p;1;0.8133351000142284;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;STADT;Gemacht;p;1;4;14;6;p;1;0.6649131000158377;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;LAMPE;Gemacht;p;1;5;15;9;p;1;0.6024939999915659;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;0.7806894999812357;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;WASSER;Natur;q;1;7;17;1;q;1;0.7817644999886397;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;STEIN;Natur;q;1;8;18;4;q;1;0.6474569000129122;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
1;TIER;Natur;q;1;9;19;3;q;1;0.6151603999896906;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
;;;;;;;;;;;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHÄDLICH;negativ;q;0;0;0;3;q;1;0.7766562000033446;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHWACH;negativ;q;0;1;1;4;q;1;0.5298649999895133;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.5905110999883618;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.5255734999955166;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;POSITIV;positiv;p;0;4;4;8;p;1;0.5440603999886662;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.6519367000146303;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.7101430000038818;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;GUT;positiv;p;0;7;7;9;p;1;0.581443599978229;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;NEGATIV;negativ;q;0;8;8;2;q;1;0.597515100002056;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHLECHT;negativ;q;0;9;9;1;q;1;0.6687464000133332;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;EINWANDFREI;positiv;p;1;0;10;6;p;1;0.6277164999919478;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHWACH;negativ;q;1;1;11;4;q;1;0.9482281999953557;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.6620147999783512;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;HERVORRAGEND;positiv;p;1;3;13;7;p;1;0.609460699983174;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;NEGATIV;negativ;q;1;4;14;2;q;1;0.629723499994725;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.547924900020007;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;GUT;positiv;p;1;6;16;9;p;1;0.5995207000232767;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;POSITIV;positiv;p;1;7;17;8;p;1;0.5989098999998532;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHÄDLICH;negativ;q;1;8;18;3;q;1;0.5448679999972228;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
2;SCHLIMM;negativ;q;1;9;19;0;q;1;0.49754769998253323;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
;;;;;;;;;;;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;WASSER;Natur;q;0;0;0;11;q;1;1.4207508999970742;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;POSITIV;positiv;p;0;1;1;8;p;1;1.146764000004623;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;SCHLECHT;negativ;q;0;2;2;1;q;1;0.7810276999953203;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;GEBÄUDE;Gemacht;p;0;3;3;15;p;1;0.8480363999842666;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;BLUME;Natur;q;0;4;4;12;q;1;0.7633916999911889;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;BAUM;Natur;q;0;5;5;10;q;1;2.715609199978644;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;KLEIDER;Gemacht;p;0;6;6;17;p;1;0.7145634999906179;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;GUT;positiv;p;0;7;7;9;p;1;1.382199199986644;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;TIER;Natur;q;0;8;8;13;q;1;0.6686121000093408;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;HERVORRAGEND;positiv;p;0;9;9;7;p;1;0.878783599997405;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;NEGATIV;negativ;q;0;10;10;2;q;1;0.6813510000065435;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
3;COMPUTER;Gemacht;p;0;11;11;18;p;1;0.8794344000052661;002;JWLB98x;2019_Dec_12_0828;iat_vr;59.48019071307155;
