Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;1.2238408999983221;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.7332026999793015;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;STEIN;Natur;q;0;2;2;4;q;1;0.7567463000013959;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;KLEIDER;Gemacht;p;0;3;3;7;p;1;0.6598953000211623;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;STADT;Gemacht;p;0;4;4;6;p;1;0.612202399992384;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;WASSER;Natur;q;0;5;5;1;q;1;1.0768353000166826;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;LAMPE;Gemacht;p;0;6;6;9;p;1;0.9621906999964267;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;BLUME;Natur;q;0;7;7;2;q;1;0.6143663999973796;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;0.5718850000121165;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;BAUM;Natur;q;0;9;9;0;q;1;0.6319240000157151;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;BLUME;Natur;q;1;0;10;2;q;1;0.6088853000255767;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;WASSER;Natur;q;1;1;11;1;q;1;0.7478560000017751;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;STEIN;Natur;q;1;2;12;4;p;0;1.014611499995226;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;BAUM;Natur;q;1;3;13;0;q;1;1.0315849000180606;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;GEBÄUDE;Gemacht;p;1;4;14;5;p;1;0.6807779000082519;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.9293564000108745;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;TIER;Natur;q;1;6;16;3;q;1;0.8993070999858901;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;STADT;Gemacht;p;1;7;17;6;p;1;0.6490713999955915;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;COMPUTER;Gemacht;p;1;8;18;8;p;1;1.5777302000205964;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
1;LAMPE;Gemacht;p;1;9;19;9;p;1;0.697743900003843;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
;;;;;;;;;;;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
2;HERVORRAGEND;positiv;p;0;0;0;7;p;1;1.1285949999873992;001;JWLH98x;2019_Dec_12_1454;iat_vr;59.87851846383355;
