Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;5.510439200006658;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;0.989051999989897;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;STADT;Gemacht;p;0;2;2;6;p;1;1.094017099996563;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;TIER;Natur;q;0;3;3;3;q;1;2.06337839999469;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;2.077960800001165;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;BAUM;Natur;q;0;5;5;0;q;1;1.8082683999964502;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.8713708999857772;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;1.2895123999915086;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;BLUME;Natur;q;0;8;8;2;q;1;0.9150627999915741;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;STEIN;Natur;q;0;9;9;4;q;1;1.2438145000196528;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;TIER;Natur;q;1;0;10;3;q;1;0.6820177000190597;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;LAMPE;Gemacht;p;1;1;11;9;p;1;1.2134628999920096;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;STADT;Gemacht;p;1;2;12;6;p;1;1.2452231000061147;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;GEBÄUDE;Gemacht;p;1;3;13;5;p;1;0.7970864000089932;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;BAUM;Natur;q;1;4;14;0;q;1;2.1831050000037067;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.913142000004882;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;BLUME;Natur;q;1;6;16;2;q;1;2.06256150000263;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;STEIN;Natur;q;1;7;17;4;q;1;0.8796184999810066;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;COMPUTER;Gemacht;p;1;8;18;8;p;1;1.1146645999979228;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
1;WASSER;Natur;q;1;9;19;1;q;1;0.7962989000079688;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
;;;;;;;;;;;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHLECHT;negativ;q;0;0;0;1;p;0;1.8022975999920163;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHWACH;negativ;q;0;1;1;4;q;1;12.527839899994433;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;POSITIV;positiv;p;0;2;2;8;p;1;1.4734170000010636;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;NEGATIV;negativ;q;0;3;3;2;q;1;1.1647202000021935;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;GUT;positiv;p;0;4;4;9;p;1;0.980205300002126;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.8808269999863114;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;2.959565700002713;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;AUSGEZEICHNET;positiv;p;0;7;7;5;p;1;2.0712848999828566;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;EINWANDFREI;positiv;p;0;8;8;6;q;0;4.376996300008614;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHÄDLICH;negativ;q;0;9;9;3;q;1;1.0470162999990862;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHWACH;negativ;q;1;0;10;4;q;1;3.0275238000031095;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHLIMM;negativ;q;1;1;11;0;q;1;0.8317580999864731;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.8432130000146572;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;POSITIV;positiv;p;1;3;13;8;p;1;2.4644434000074398;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;EINWANDFREI;positiv;p;1;4;14;6;p;1;0.8122360999986995;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;NEGATIV;negativ;q;1;5;15;2;q;1;0.7979997000074945;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHÄDLICH;negativ;q;1;6;16;3;q;1;1.7273930999799632;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;HERVORRAGEND;positiv;p;1;7;17;7;p;1;0.81142130002263;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;GUT;positiv;p;1;8;18;9;p;1;0.7659476999833714;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
2;SCHLECHT;negativ;q;1;9;19;1;q;1;0.7602622000267729;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
;;;;;;;;;;;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
3;NEGATIV;negativ;q;0;0;0;2;q;1;1.4936311999917962;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
3;LAMPE;Gemacht;p;0;1;1;19;p;1;2.9463260999764316;001;JWLT89;2019_Dec_12_1002;iat_vr;59.25627449239049;
