Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;GEBÄUDE;Gemacht;p;0;0;0;5;p;1;1.9849918999971123;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;STADT;Gemacht;p;0;1;1;6;p;1;1.1693993999942904;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;BLUME;Natur;q;0;2;2;2;q;1;1.090505200001644;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;WASSER;Natur;q;0;3;3;1;q;1;1.0515338999975938;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;STEIN;Natur;q;0;4;4;4;q;1;1.206934400004684;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;1.029088800001773;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;1.071731500007445;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;1.0152146999898832;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;BAUM;Natur;q;0;8;8;0;q;1;0.866178399999626;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;TIER;Natur;q;0;9;9;3;q;1;0.9647712000005413;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;TIER;Natur;q;1;0;10;3;q;1;0.8008161999896402;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;BLUME;Natur;q;1;1;11;2;q;1;0.9650121000013314;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;BAUM;Natur;q;1;2;12;0;q;1;0.832758799995645;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.8627013999939663;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;1.081755899998825;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;0.9483335999975679;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;STEIN;Natur;q;1;6;16;4;q;1;1.2149703999893973;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.7815042000001995;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;WASSER;Natur;q;1;8;18;1;q;1;0.7988422000053106;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
1;GEBÄUDE;Gemacht;p;1;9;19;5;p;1;0.813631599987275;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
;;;;;;;;;;;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;POSITIV;positiv;p;0;0;0;8;p;1;1.3847048000025097;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;AUSGEZEICHNET;positiv;p;0;1;1;5;p;1;1.2878710999939358;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.8632205000030808;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.7474751999980072;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHLIMM;negativ;q;0;4;4;0;q;1;0.6635330999997677;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.9627914000011515;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;GUT;positiv;p;0;6;6;9;p;1;0.7155581999977585;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;HERVORRAGEND;positiv;p;0;7;7;7;p;1;0.822463799995603;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;EINWANDFREI;positiv;p;0;8;8;6;p;1;0.7437154000072042;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHWACH;negativ;q;0;9;9;4;q;1;0.7478613999992376;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;EINWANDFREI;positiv;p;1;0;10;6;p;1;0.7451412999944296;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHLIMM;negativ;q;1;1;11;0;q;1;4.229131599990069;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;HERVORRAGEND;positiv;p;1;2;12;7;p;1;0.9107354000007035;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;NEGATIV;negativ;q;1;3;13;2;q;1;0.7488291999907233;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;AUSGEZEICHNET;positiv;p;1;4;14;5;p;1;0.87734370000544;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.7278144000010798;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;POSITIV;positiv;p;1;6;16;8;p;1;0.6474877000000561;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;GUT;positiv;p;1;7;17;9;p;1;0.6162462999927811;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHÄDLICH;negativ;q;1;8;18;3;q;1;0.580526200006716;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
2;SCHWACH;negativ;q;1;9;19;4;q;1;1.280888599998434;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
;;;;;;;;;;;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;TIER;Natur;q;0;0;0;13;q;1;2.4374020999966888;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;STEIN;Natur;q;0;1;1;14;q;1;2.6147214000084205;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;SCHLECHT;negativ;q;0;2;2;1;q;1;2.9479157000023406;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;STADT;Gemacht;p;0;3;3;16;p;1;2.2850460999907227;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;EINWANDFREI;positiv;p;0;4;4;6;p;1;2.2295712000050116;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;SCHLIMM;negativ;q;0;5;5;0;q;1;1.051405900012469;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;SCHWACH;negativ;q;0;6;6;4;q;1;2.2137268999940716;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;HERVORRAGEND;positiv;p;0;7;7;7;p;1;1.8955828000034671;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;COMPUTER;Gemacht;p;0;8;8;18;p;1;1.2970444000093266;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;POSITIV;positiv;p;0;9;9;8;p;1;1.0146295000013197;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;WASSER;Natur;q;0;10;10;11;q;1;1.0983302999957232;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;BAUM;Natur;q;0;11;11;10;q;1;0.7491100000042934;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;LAMPE;Gemacht;p;0;12;12;19;p;1;1.265357899988885;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;GUT;positiv;p;0;13;13;9;p;1;1.5104911999951582;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
3;KLEIDER;Gemacht;p;0;14;14;17;p;1;1.8149373000051128;001;JWML63x;2019_Dec_10_1210;iat_vr;59.947689647234974;
