Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STADT;Gemacht;p;0;0;0;6;p;1;1.09997559999465;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.748175300002913;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;BAUM;Natur;q;0;2;2;0;q;1;0.5858788000041386;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;BLUME;Natur;q;0;3;3;2;q;1;0.7792611999902874;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;COMPUTER;Gemacht;p;0;4;4;8;p;1;0.7524318000068888;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;LAMPE;Gemacht;p;0;5;5;9;q;0;0.668408500001533;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;KLEIDER;Gemacht;p;0;6;6;7;p;1;0.9930094000010286;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;WASSER;Natur;q;0;7;7;1;q;1;0.7787743000080809;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;TIER;Natur;q;0;8;8;3;q;1;0.8998472000093898;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;STEIN;Natur;q;0;9;9;4;q;1;0.659426700003678;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;STADT;Gemacht;p;1;0;10;6;p;1;0.614908599993214;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;TIER;Natur;q;1;1;11;3;q;1;0.7483600999985356;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;STEIN;Natur;q;1;2;12;4;p;0;0.7988100000075065;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;BLUME;Natur;q;1;3;13;2;q;1;0.33009909999964293;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;BAUM;Natur;q;1;4;14;0;q;1;0.6154749000124866;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.7469045000034384;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;1.163321600004565;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;COMPUTER;Gemacht;p;1;7;17;8;p;1;0.6112894999969285;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;GEBÄUDE;Gemacht;p;1;8;18;5;p;1;0.7457722999970429;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
1;WASSER;Natur;q;1;9;19;1;q;1;0.6819988999923225;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
;;;;;;;;;;;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHLIMM;negativ;q;0;0;0;0;p;0;0.9108401999983471;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;EINWANDFREI;positiv;p;0;1;1;6;p;1;0.9120263000077102;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;NEGATIV;negativ;q;0;2;2;2;q;1;0.4920925000042189;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;POSITIV;positiv;p;0;3;3;8;p;1;0.6809739000018453;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHLECHT;negativ;q;0;4;4;1;q;1;0.7616957999998704;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;AUSGEZEICHNET;positiv;p;0;5;5;5;p;1;0.6683810999966227;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;GUT;positiv;p;0;6;6;9;p;1;0.6491023999988101;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;HERVORRAGEND;positiv;p;0;7;7;7;p;1;0.5619812000077218;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHÄDLICH;negativ;q;0;8;8;3;q;1;0.5636385999969207;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHWACH;negativ;q;0;9;9;4;q;1;0.6130253000010271;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;POSITIV;positiv;p;1;0;10;8;p;1;0.7118282000010367;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHLIMM;negativ;q;1;1;11;0;q;1;0.8644631999923149;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;HERVORRAGEND;positiv;p;1;2;12;7;p;1;0.6424792000034358;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHÄDLICH;negativ;q;1;3;13;3;q;1;0.6130635000008624;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;AUSGEZEICHNET;positiv;p;1;4;14;5;p;1;0.6782146999903489;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.6137228000006871;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;GUT;positiv;p;1;6;16;9;p;1;0.665319499996258;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;EINWANDFREI;positiv;p;1;7;17;6;p;1;0.5843694000068353;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;NEGATIV;negativ;q;1;8;18;2;q;1;0.6316546999878483;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
2;SCHWACH;negativ;q;1;9;19;4;q;1;0.7469177000020863;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
;;;;;;;;;;;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;LAMPE;Gemacht;p;0;0;0;19;p;1;0.8860398999968311;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;NEGATIV;negativ;q;0;1;1;2;q;1;0.7142833999969298;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.629726799990749;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;COMPUTER;Gemacht;p;0;3;3;18;q;0;0.7338343000010354;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;TIER;Natur;q;0;4;4;13;q;1;0.7655453000043053;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;SCHLIMM;negativ;q;0;5;5;0;q;1;0.8590286999969976;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;AUSGEZEICHNET;positiv;p;0;6;6;5;p;1;0.6624902000039583;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;STADT;Gemacht;p;0;7;7;16;p;1;0.615611799992621;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;WASSER;Natur;q;0;8;8;11;q;1;0.8163208000041777;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;STEIN;Natur;q;0;9;9;14;q;1;0.6004313000012189;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;SCHWACH;negativ;q;0;10;10;4;q;1;0.6004054000077303;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;BAUM;Natur;q;0;11;11;10;q;1;0.6359538999968208;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;POSITIV;positiv;p;0;12;12;8;p;1;0.6971227000030922;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;EINWANDFREI;positiv;p;0;13;13;6;p;1;0.5459990000090329;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;KLEIDER;Gemacht;p;0;14;14;17;p;1;0.6774972999992315;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;HERVORRAGEND;positiv;p;0;15;15;7;q;0;0.6459047000098508;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;BLUME;Natur;q;0;16;16;12;q;1;0.748125500002061;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;GEBÄUDE;Gemacht;p;0;17;17;15;p;1;0.7635889999946812;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;GUT;positiv;p;0;18;18;9;q;0;0.5498748999962118;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
3;SCHLECHT;negativ;q;0;19;19;1;q;1;0.6155870999937179;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
;;;;;;;;;;;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;EINWANDFREI;positiv;p;0;0;0;6;p;1;0.7819387000054121;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;BLUME;Natur;q;0;1;1;12;q;1;1.0157202999980655;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;POSITIV;positiv;p;0;2;2;8;p;1;0.9142510000092443;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.9133387000038056;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;STADT;Gemacht;p;0;4;4;16;p;1;0.8484806000051321;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;SCHLIMM;negativ;q;0;5;5;0;q;1;0.8814883000013651;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.8613049999985378;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;LAMPE;Gemacht;p;0;7;7;19;p;1;0.9311077000020305;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;NEGATIV;negativ;q;0;8;8;2;q;1;0.930168799997773;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;GEBÄUDE;Gemacht;p;0;9;9;15;p;1;0.9975666999962414;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;TIER;Natur;q;0;10;10;13;q;1;0.681012400003965;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;COMPUTER;Gemacht;p;0;11;11;18;p;1;0.6965170000039507;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;SCHWACH;negativ;q;0;12;12;4;q;1;0.6809666999906767;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;SCHLECHT;negativ;q;0;13;13;1;q;1;0.601839300012216;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
4;KLEIDER;Gemacht;p;0;14;14;17;p;1;0.7308499999926426;001;JWPJ97x;2019_Dec_10_1400;iat_vr;60.545661718023894;
