Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STEIN;Natur;q;0;0;0;4;q;1;1.058724100003019;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.6319266999998945;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;0.7235896999991382;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;LAMPE;Gemacht;p;0;3;3;9;p;1;0.6580080999992788;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;BLUME;Natur;q;0;4;4;2;q;1;0.6682644000029541;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;BAUM;Natur;q;0;5;5;0;q;1;0.7659048999994411;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;TIER;Natur;q;0;6;6;3;q;1;0.6144409999978961;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.5990100999988499;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;0.7077943999975105;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;WASSER;Natur;q;0;9;9;1;q;1;0.6786864999958198;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;LAMPE;Gemacht;p;1;0;10;9;p;1;0.6651392999992822;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;TIER;Natur;q;1;1;11;3;q;1;0.5808304999954998;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;STADT;Gemacht;p;1;2;12;6;p;1;0.6013886000000639;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;STEIN;Natur;q;1;3;13;4;q;1;0.7317892999999458;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;COMPUTER;Gemacht;p;1;4;14;8;p;1;0.5789510999966296;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.6319546999948216;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;BLUME;Natur;q;1;6;16;2;q;1;0.5800215999988723;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;WASSER;Natur;q;1;7;17;1;q;1;0.5480472999988706;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;GEBÄUDE;Gemacht;p;1;8;18;5;p;1;0.49740449999808334;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
1;BAUM;Natur;q;1;9;19;0;q;1;0.5653783000016119;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
;;;;;;;;;;;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHWACH;negativ;q;0;0;0;4;q;1;1.7841103000027942;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHLECHT;negativ;q;0;1;1;1;q;1;0.5476018999979715;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.6353802000012365;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHLIMM;negativ;q;0;3;3;0;q;1;0.648547899996629;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;0.7428206000040518;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.5922680000003311;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;POSITIV;positiv;p;0;6;6;8;p;1;0.5521603000015602;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHÄDLICH;negativ;q;0;7;7;3;q;1;0.6133664000008139;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;GUT;positiv;p;0;8;8;9;p;1;0.49899749999894993;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;HERVORRAGEND;positiv;p;0;9;9;7;p;1;0.569032999999763;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;NEGATIV;negativ;q;1;0;10;2;q;1;0.4803717999966466;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;GUT;positiv;p;1;1;11;9;p;1;0.48245719999977155;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;q;0;0.5619407999984105;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHLECHT;negativ;q;1;3;13;1;q;1;0.8483646000022418;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHÄDLICH;negativ;q;1;4;14;3;q;1;0.5970928000024287;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;HERVORRAGEND;positiv;p;1;5;15;7;p;1;0.5466946999949869;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;POSITIV;positiv;p;1;6;16;8;p;1;0.6521199999988312;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHWACH;negativ;q;1;7;17;4;q;1;0.5477677000017138;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;EINWANDFREI;positiv;p;1;8;18;6;p;1;0.5618934000012814;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
2;SCHLIMM;negativ;q;1;9;19;0;q;1;0.4983270000011544;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
;;;;;;;;;;;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;0.7628904000011971;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;KLEIDER;Gemacht;p;0;1;1;17;p;1;0.5644098999982816;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;POSITIV;positiv;p;0;2;2;8;p;1;0.6815465999970911;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;STADT;Gemacht;p;0;3;3;16;p;1;0.5485521000009612;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;TIER;Natur;q;0;4;4;13;q;1;0.5816075999973691;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;LAMPE;Gemacht;p;0;5;5;19;p;1;0.6137558999980683;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;STEIN;Natur;q;0;6;6;14;q;1;0.5486180000007153;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;SCHÄDLICH;negativ;q;0;7;7;3;p;0;0.5174054999952205;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;SCHLIMM;negativ;q;0;8;8;0;q;1;0.780222399997001;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;EINWANDFREI;positiv;p;0;9;9;6;p;1;0.627497499997844;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;GEBÄUDE;Gemacht;p;0;10;10;15;p;1;0.5823103000002448;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
3;SCHLECHT;negativ;q;0;11;11;1;q;1;0.6482336999979452;001;JWRV98x;2019_Dec_10_0904;iat_vr;60.031360382098505;
