Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;q;0;11.806128900000203;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;TIER;Natur;q;0;1;1;3;q;1;2.990522999999939;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;STADT;Gemacht;p;0;2;2;6;p;1;1.5258499999999913;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;WASSER;Natur;q;0;3;3;1;q;1;0.98578869999983;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;1.0792607999997017;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;COMPUTER;Gemacht;p;0;5;5;8;p;1;0.9213002999999844;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;BAUM;Natur;q;0;6;6;0;q;1;0.9333764000002702;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.8323932000002969;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;BLUME;Natur;q;0;8;8;2;q;1;0.7321674999998322;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;STEIN;Natur;q;0;9;9;4;q;1;0.7776135999997678;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;TIER;Natur;q;1;0;10;3;q;1;0.7826512000001458;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;STEIN;Natur;q;1;1;11;4;q;1;0.6815590999999586;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;BLUME;Natur;q;1;2;12;2;q;1;0.6140619999996488;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.8361672999999428;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;WASSER;Natur;q;1;4;14;1;q;1;0.7316540000001623;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;BAUM;Natur;q;1;5;15;0;q;1;0.899188100000174;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;KLEIDER;Gemacht;p;1;6;16;7;p;1;0.8137484000003496;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.9134278999999879;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;COMPUTER;Gemacht;p;1;8;18;8;p;1;1.2144772999999986;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
1;LAMPE;Gemacht;p;1;9;19;9;p;1;0.8167035999999825;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
;;;;;;;;;;;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;1.127687799999876;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;POSITIV;positiv;p;0;1;1;8;p;1;0.7362103999998908;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHLECHT;negativ;q;0;2;2;1;q;1;0.7854714999998578;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHLIMM;negativ;q;0;3;3;0;q;1;0.9650995000001785;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;HERVORRAGEND;positiv;p;0;4;4;7;p;1;0.8446733000000677;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.7809239999996862;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.8921751000002587;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHÄDLICH;negativ;q;0;7;7;3;q;1;0.7463142000001426;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.8122999000001982;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;GUT;positiv;p;0;9;9;9;p;1;1.1648365999999442;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHWACH;negativ;q;1;0;10;4;q;1;0.8152079999999842;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;HERVORRAGEND;positiv;p;1;1;11;7;p;1;0.6940645999998196;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.7269847000002301;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHLIMM;negativ;q;1;3;13;0;q;1;0.8467659000002641;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHÄDLICH;negativ;q;1;4;14;3;q;1;0.961085799999637;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;NEGATIV;negativ;q;1;5;15;2;q;1;0.6300885999999082;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;EINWANDFREI;positiv;p;1;6;16;6;p;1;0.8092521999997189;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;POSITIV;positiv;p;1;7;17;8;p;1;0.731264700000338;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;SCHLECHT;negativ;q;1;8;18;1;q;1;0.7302424999998038;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
2;GUT;positiv;p;1;9;19;9;p;1;0.6667465999998967;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
;;;;;;;;;;;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;SCHÄDLICH;negativ;q;0;0;0;3;q;1;2.1902522999998837;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;COMPUTER;Gemacht;p;0;1;1;18;p;1;1.9684235999998236;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;SCHWACH;negativ;q;0;2;2;4;q;1;0.8983335000002626;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;LAMPE;Gemacht;p;0;3;3;19;p;1;1.1969033999998828;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;NEGATIV;negativ;q;0;4;4;2;q;1;0.7984354999998686;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;BLUME;Natur;q;0;5;5;12;q;1;1.0472522000000026;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;GEBÄUDE;Gemacht;p;0;6;6;15;p;1;1.1965500999999676;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;STADT;Gemacht;p;0;7;7;16;p;1;0.8981807000000117;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;POSITIV;positiv;p;0;8;8;8;p;1;1.9287371999998868;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;WASSER;Natur;q;0;9;9;11;q;1;1.0689310000002479;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;BAUM;Natur;q;0;10;10;10;q;1;0.747956400000021;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;SCHLIMM;negativ;q;0;11;11;0;q;1;0.9446149999998852;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;HERVORRAGEND;positiv;p;0;12;12;7;p;1;0.8767142000001513;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;EINWANDFREI;positiv;p;0;13;13;6;p;1;3.044557199999872;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;TIER;Natur;q;0;14;14;13;q;1;1.0164220000001478;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;STEIN;Natur;q;0;15;15;14;q;1;0.6649577000002864;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
3;GUT;positiv;p;0;16;16;9;p;1;0.7648452999997062;001;JWSK96x;2019_Dec_09_1820;iat_vr;59.90560075433401;
