Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BAUM;Natur;q;0;0;0;0;q;1;1.5870637999996688;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;WASSER;Natur;q;0;1;1;1;q;1;0.7164299000005485;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;STADT;Gemacht;p;0;2;2;6;p;1;0.6443753000003198;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;LAMPE;Gemacht;p;0;3;3;9;p;1;1.0598845000004076;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;BLUME;Natur;q;0;4;4;2;q;1;0.6799940000000788;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;COMPUTER;Gemacht;p;0;5;5;8;p;1;0.9226776000004975;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;KLEIDER;Gemacht;p;0;6;6;7;p;1;0.8916819999994914;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;STEIN;Natur;q;0;7;7;4;q;1;0.7093224999998711;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;TIER;Natur;q;0;8;8;3;q;1;0.6986497000007148;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;0.6244924000002356;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;BLUME;Natur;q;1;0;10;2;q;1;1.1003256000003603;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;STADT;Gemacht;p;1;1;11;6;p;1;0.7821696999999403;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.7351072000001295;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;KLEIDER;Gemacht;p;1;3;13;7;p;1;0.5971050999996805;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;BAUM;Natur;q;1;4;14;0;q;1;0.8347884999993767;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;WASSER;Natur;q;1;5;15;1;q;1;0.7140602999998009;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.6188386000003447;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;TIER;Natur;q;1;7;17;3;q;1;0.7190842999998495;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;STEIN;Natur;q;1;8;18;4;p;0;1.233058699999674;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
1;GEBÄUDE;Gemacht;p;1;9;19;5;p;1;0.9813284000001659;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
;;;;;;;;;;;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;POSITIV;positiv;p;0;0;0;8;p;1;1.1438605000003008;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;0.9796901999998227;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.7233023999997386;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.6287296000000424;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;SCHWACH;negativ;q;0;4;4;4;q;1;0.7020834999993895;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;HERVORRAGEND;positiv;p;0;5;5;7;p;1;0.7093917000001966;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;GUT;positiv;p;0;6;6;9;p;1;0.9482938000001013;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;EINWANDFREI;positiv;p;0;7;7;6;p;1;0.6111255999994682;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
2;NEGATIV;negativ;q;0;8;8;2;q;1;0.6018819999999323;002;NSDS65;2019_Dec_05_1212;iat_vr;59.982641023855635;
