Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;2.1648700999999164;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;0.994095199999947;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;TIER;Natur;q;0;2;2;3;q;1;1.5567031999999017;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;WASSER;Natur;q;0;3;3;1;q;1;0.7915848000000096;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;1.0768719000000146;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;BAUM;Natur;q;0;5;5;0;q;1;1.6984153000000788;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;1.188358499999822;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;STEIN;Natur;q;0;7;7;4;q;1;0.9749300000000858;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;STADT;Gemacht;p;0;8;8;6;p;1;1.2140936999999212;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;1.0621997999999166;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;TIER;Natur;q;1;0;10;3;q;1;1.9832234999998946;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;BLUME;Natur;q;1;1;11;2;q;1;1.1471555000000535;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;KLEIDER;Gemacht;p;1;2;12;7;p;1;1.4306824999998753;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;BAUM;Natur;q;1;3;13;0;q;1;2.032265599999846;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;STADT;Gemacht;p;1;4;14;6;p;1;0.7750148000000081;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;GEBÄUDE;Gemacht;p;1;5;15;5;p;1;1.1148785000000316;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;WASSER;Natur;q;1;6;16;1;q;1;0.7516112000000703;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.8815311999999267;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;COMPUTER;Gemacht;p;1;8;18;8;p;1;0.6124548000000232;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
1;STEIN;Natur;q;1;9;19;4;q;1;1.0811350999999831;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
;;;;;;;;;;;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;GUT;positiv;p;0;0;0;9;p;1;0.7167750999999498;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHWACH;negativ;q;0;1;1;4;q;1;1.524992999999995;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHLIMM;negativ;q;0;2;2;0;p;0;1.2688760000000912;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.34736640000005536;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;2.4510801000001265;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;POSITIV;positiv;p;0;5;5;8;p;1;0.7428193999999166;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.6456873999998152;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHLECHT;negativ;q;0;7;7;1;q;1;0.7309214000001703;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;AUSGEZEICHNET;positiv;p;0;8;8;5;p;1;0.7713143999999375;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;NEGATIV;negativ;q;0;9;9;2;q;1;0.7990648000002238;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHLECHT;negativ;q;1;0;10;1;q;1;1.0138084000000163;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHLIMM;negativ;q;1;1;11;0;q;1;1.0942282000000887;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.7668538999998873;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHÄDLICH;negativ;q;1;3;13;3;q;1;1.3300507999999809;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;SCHWACH;negativ;q;1;4;14;4;q;1;0.6980968999998822;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;NEGATIV;negativ;q;1;5;15;2;q;1;1.0688885000001846;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;GUT;positiv;p;1;6;16;9;p;1;0.7189510999999129;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;EINWANDFREI;positiv;p;1;7;17;6;p;1;0.6118271000000277;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;POSITIV;positiv;p;1;8;18;8;p;1;0.5457183000000896;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
2;HERVORRAGEND;positiv;p;1;9;19;7;p;1;0.6351075000000037;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
;;;;;;;;;;;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;HERVORRAGEND;positiv;p;0;0;0;7;p;1;1.1239533999998912;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;EINWANDFREI;positiv;p;0;1;1;6;p;1;1.098606000000018;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;GEBÄUDE;Gemacht;p;0;2;2;15;p;1;1.0613812999999936;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;SCHWACH;negativ;q;0;3;3;4;q;1;1.0811609999998382;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;BLUME;Natur;q;0;4;4;12;q;1;0.9304706000000351;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;STADT;Gemacht;p;0;5;5;16;p;1;1.0980605000002015;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;LAMPE;Gemacht;p;0;6;6;19;p;1;1.1670131000000765;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;AUSGEZEICHNET;positiv;p;0;7;7;5;p;1;1.026046800000131;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;COMPUTER;Gemacht;p;0;8;8;18;p;1;1.5762893000000986;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;KLEIDER;Gemacht;p;0;9;9;17;p;1;1.2166440000000875;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;POSITIV;positiv;p;0;10;10;8;p;1;1.078477699999894;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;GUT;positiv;p;0;11;11;9;p;1;0.7128822999998192;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;SCHLIMM;negativ;q;0;12;12;0;q;1;0.7974890000000414;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;BAUM;Natur;q;0;13;13;10;q;1;0.7689084999999523;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;STEIN;Natur;q;0;14;14;14;q;1;0.6475918000001002;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;TIER;Natur;q;0;15;15;13;q;1;1.1645378999999139;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;NEGATIV;negativ;q;0;16;16;2;q;1;1.0479929000000539;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;SCHÄDLICH;negativ;q;0;17;17;3;q;1;1.0836280000000897;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;WASSER;Natur;q;0;18;18;11;q;1;1.9303025000001526;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
3;SCHLECHT;negativ;q;0;19;19;1;q;1;0.9168512999999621;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
;;;;;;;;;;;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;HERVORRAGEND;positiv;p;0;0;0;7;p;1;1.337778500000013;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;LAMPE;Gemacht;p;0;1;1;19;p;1;0.8127154999999675;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;GUT;positiv;p;0;2;2;9;p;1;0.6023700999999164;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;NEGATIV;negativ;q;0;3;3;2;q;1;0.7812112999999954;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;KLEIDER;Gemacht;p;0;4;4;17;p;1;0.8472486999999091;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;COMPUTER;Gemacht;p;0;5;5;18;p;1;0.7632200000000466;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.9110929999999371;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;TIER;Natur;q;0;7;7;13;q;1;1.2138281000000006;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;SCHLIMM;negativ;q;0;8;8;0;q;1;0.7185652000000573;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;SCHWACH;negativ;q;0;9;9;4;q;1;0.5954635999999027;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
4;POSITIV;positiv;p;0;10;10;8;p;1;1.012516900000037;001;NSGS90;2019_Dec_06_1700;iat_vr;60.060276493481425;
