Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;2.960011800000018;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;KLEIDER;Gemacht;p;0;1;1;7;p;1;0.7691949000000022;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;STEIN;Natur;q;0;2;2;4;q;1;1.2232968000000142;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;1.079691299999979;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;BAUM;Natur;q;0;4;4;0;q;1;0.662981000000002;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;WASSER;Natur;q;0;5;5;1;q;1;0.79443839999999;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;GEBÄUDE;Gemacht;p;0;6;6;5;p;1;0.689904399999989;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;0.6627043000000299;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;BLUME;Natur;q;0;8;8;2;q;1;0.6984398000000169;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;STADT;Gemacht;p;0;9;9;6;p;1;0.8287890999999945;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;BLUME;Natur;q;1;0;10;2;q;1;0.9325301999999738;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;STEIN;Natur;q;1;1;11;4;q;1;0.9979480999999737;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.9806817000000478;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.6486601999999948;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;COMPUTER;Gemacht;p;1;4;14;8;p;1;0.6975431000000185;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.5145747000000256;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;BAUM;Natur;q;1;6;16;0;q;1;0.646278299999949;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.7322583000000122;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;WASSER;Natur;q;1;8;18;1;q;1;0.5979367999999567;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
1;TIER;Natur;q;1;9;19;3;q;1;0.7490490999999793;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
;;;;;;;;;;;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;SCHÄDLICH;negativ;q;0;0;0;3;q;1;2.20658480000003;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;GUT;positiv;p;0;1;1;9;p;1;0.5152256999999736;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;SCHWACH;negativ;q;0;2;2;4;q;1;0.6153876000000196;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.7230729000000338;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;AUSGEZEICHNET;positiv;p;0;4;4;5;p;1;0.5219925999999759;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.679159699999957;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;POSITIV;positiv;p;0;6;6;8;p;1;0.6817093000000227;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
2;SCHLIMM;negativ;q;0;7;7;0;q;1;1.3937996000000226;001;NSHM97;2019_Dec_06_1209;iat_vr;60.02829733936122;
