Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;0.8964887999973143;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;STEIN;Natur;q;0;1;1;4;q;1;1.1047808999937843;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;TIER;Natur;q;0;2;2;3;q;1;0.8326563000009628;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;BAUM;Natur;q;0;3;3;0;q;1;0.617661299998872;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;GEBÄUDE;Gemacht;p;0;4;4;5;p;1;0.7178405000013299;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.6645978999949875;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;STADT;Gemacht;p;0;6;6;6;q;0;0.6311721000020043;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;BLUME;Natur;q;0;7;7;2;q;1;0.7819684999994934;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;LAMPE;Gemacht;p;0;8;8;9;p;1;0.661152900000161;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;COMPUTER;Gemacht;p;0;9;9;8;p;1;0.5963476999968407;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;LAMPE;Gemacht;p;1;0;10;9;p;1;0.7305066999979317;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;BAUM;Natur;q;1;1;11;0;q;1;0.6296650000003865;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;TIER;Natur;q;1;2;12;3;q;1;0.6184333999990486;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;WASSER;Natur;q;1;3;13;1;q;1;0.5020842000012635;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;GEBÄUDE;Gemacht;p;1;4;14;5;p;1;0.5956589999987045;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;BLUME;Natur;q;1;5;15;2;q;1;0.6471939999973984;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;KLEIDER;Gemacht;p;1;6;16;7;p;1;0.7488846999985981;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;COMPUTER;Gemacht;p;1;7;17;8;p;1;0.6021342999956687;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
1;STEIN;Natur;q;1;8;18;4;q;1;0.8149583999984316;002;NSLR97;2019_Dec_05_1954;iat_vr;59.41202297212738;
