Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;p;1;1.159475200000088;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;KLEIDER;Gemacht;p;0;1;1;7;p;1;0.8243624000006093;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;BLUME;Natur;q;0;2;2;2;q;1;0.7400032999994437;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;TIER;Natur;q;0;3;3;3;q;1;0.6342105000003357;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;COMPUTER;Gemacht;p;0;4;4;8;p;1;0.6567981999996846;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;WASSER;Natur;q;0;5;5;1;q;1;0.6799217000007047;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;STEIN;Natur;q;0;6;6;4;q;1;0.6249994000008883;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.84614369999872;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;BAUM;Natur;q;0;8;8;0;q;1;1.5148714000006294;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;STADT;Gemacht;p;0;9;9;6;p;1;1.1503105000010692;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;KLEIDER;Gemacht;p;1;0;10;7;p;1;0.6687640000000101;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;BAUM;Natur;q;1;1;11;0;q;1;0.6305572000001121;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.6524064000004728;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.597187400000621;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;WASSER;Natur;q;1;4;14;1;q;1;0.514502199999697;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;BLUME;Natur;q;1;5;15;2;q;1;0.5975780999997369;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;TIER;Natur;q;1;6;16;3;q;1;0.6021969000012177;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.5616645999998582;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.6307846999989124;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
1;STEIN;Natur;q;1;9;19;4;p;0;0.4979306000004726;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
;;;;;;;;;;;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;GUT;positiv;p;0;0;0;9;p;1;0.7523090000013326;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;0.6707303000002867;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;EINWANDFREI;positiv;p;0;2;2;6;p;1;0.669431700000132;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;POSITIV;positiv;p;0;3;3;8;p;1;0.6656824999990931;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;NEGATIV;negativ;q;0;4;4;2;q;1;0.648420100000294;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;AUSGEZEICHNET;positiv;p;0;5;5;5;p;1;0.8900439000008191;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;SCHLIMM;negativ;q;0;6;6;0;q;1;0.9125418000003265;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;SCHWACH;negativ;q;0;7;7;4;q;1;0.5315637999992759;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;SCHÄDLICH;negativ;q;0;8;8;3;q;1;0.5675401999997121;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;SCHLECHT;negativ;q;0;9;9;1;q;1;0.5973289000012301;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;SCHLIMM;negativ;q;1;0;10;0;q;1;0.5984927000008611;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;SCHWACH;negativ;q;1;1;11;4;q;1;0.6498361000012665;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;SCHÄDLICH;negativ;q;1;2;12;3;q;1;0.6450872999994317;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;HERVORRAGEND;positiv;p;1;3;13;7;p;1;0.611580499999036;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;POSITIV;positiv;p;1;4;14;8;p;1;0.5648318000003201;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
2;GUT;positiv;p;1;5;15;9;p;1;0.5975847999998223;001;NSNT98;2019_Dec_05_1304;iat_vr;59.68645511437494;
