Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;q;0;2.4246720999999525;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;STEIN;Natur;q;0;1;1;4;p;0;2.010025300000052;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;BLUME;Natur;q;0;2;2;2;p;0;1.2358609999999999;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;GEBÄUDE;Gemacht;p;0;3;3;5;p;1;1.03320819999999;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;1.2502397000000656;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;COMPUTER;Gemacht;p;0;5;5;8;p;1;1.093274899999983;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;BAUM;Natur;q;0;6;6;0;q;1;0.8335895999999821;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.8817251000000397;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;TIER;Natur;q;0;8;8;3;q;1;1.3002248000000236;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;WASSER;Natur;q;0;9;9;1;q;1;0.9148592999999892;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;STEIN;Natur;q;1;0;10;4;q;1;0.6650121000000127;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;BLUME;Natur;q;1;1;11;2;q;1;0.663289299999974;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;TIER;Natur;q;1;2;12;3;q;1;0.7973855000000185;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;COMPUTER;Gemacht;p;1;3;13;8;p;1;0.7850211999999601;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;1.3348220999999967;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;LAMPE;Gemacht;p;1;5;15;9;p;1;0.8816913999999088;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;BAUM;Natur;q;1;6;16;0;q;1;0.6661647999999332;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;WASSER;Natur;q;1;7;17;1;q;1;1.0001512000000048;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.7335448000000042;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
1;GEBÄUDE;Gemacht;p;1;9;19;5;p;1;0.6344749999999522;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
;;;;;;;;;;;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;NEGATIV;negativ;q;0;0;0;2;q;1;1.1256347999999434;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;GUT;positiv;p;0;1;1;9;p;1;0.7013392999999724;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHLECHT;negativ;q;0;2;2;1;q;1;0.5689723000000413;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.6793813000000455;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHÄDLICH;negativ;q;0;4;4;3;q;1;0.6295051999999259;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;AUSGEZEICHNET;positiv;p;0;5;5;5;p;1;0.6682996000000685;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHLIMM;negativ;q;0;6;6;0;q;1;0.6188855999999987;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;POSITIV;positiv;p;0;7;7;8;p;1;0.6793308000000025;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.6501614999999674;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;EINWANDFREI;positiv;p;0;9;9;6;p;1;0.749169199999983;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;POSITIV;positiv;p;1;0;10;8;p;1;0.6504049000000123;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHWACH;negativ;q;1;1;11;4;q;1;0.6845001000000366;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;HERVORRAGEND;positiv;p;1;2;12;7;p;1;0.8848977999999761;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;EINWANDFREI;positiv;p;1;3;13;6;p;1;1.0177002000000357;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHLECHT;negativ;q;1;4;14;1;q;1;0.7091515999999274;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;NEGATIV;negativ;q;1;5;15;2;q;1;0.6825875000000678;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHÄDLICH;negativ;q;1;6;16;3;q;1;0.8004675999999336;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;AUSGEZEICHNET;positiv;p;1;7;17;5;p;1;0.7829828000000134;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;GUT;positiv;p;1;8;18;9;p;1;0.7516764000000649;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
2;SCHLIMM;negativ;q;1;9;19;0;q;1;0.685440299999982;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
;;;;;;;;;;;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;BLUME;Natur;q;0;0;0;12;p;0;0.8391762999999628;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;EINWANDFREI;positiv;p;0;1;1;6;p;1;5.499999799999955;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;SCHWACH;negativ;q;0;2;2;4;q;1;1.132390600000008;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;BAUM;Natur;q;0;3;3;10;q;1;1.900314099999946;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;COMPUTER;Gemacht;p;0;4;4;18;p;1;1.3504586999999901;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;SCHLIMM;negativ;q;0;5;5;0;q;1;1.48363310000002;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;SCHLECHT;negativ;q;0;6;6;1;q;1;0.63295590000007;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;KLEIDER;Gemacht;p;0;7;7;17;p;1;1.0171450000000277;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;GUT;positiv;p;0;8;8;9;p;1;0.9501967999999579;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;WASSER;Natur;q;0;9;9;11;q;1;0.8835748000000194;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;SCHÄDLICH;negativ;q;0;10;10;3;q;1;0.833766100000048;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;AUSGEZEICHNET;positiv;p;0;11;11;5;p;1;2.5166897999999946;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;STEIN;Natur;q;0;12;12;14;q;1;1.1004133999999794;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;POSITIV;positiv;p;0;13;13;8;p;1;0.666757099999927;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;LAMPE;Gemacht;p;0;14;14;19;p;1;0.7836809000000358;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;TIER;Natur;q;0;15;15;13;q;1;0.8673231999999871;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;NEGATIV;negativ;q;0;16;16;2;q;1;0.8002298999999766;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;HERVORRAGEND;positiv;p;0;17;17;7;p;1;0.6338008000000173;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;GEBÄUDE;Gemacht;p;0;18;18;15;p;1;0.8001583999999866;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
3;STADT;Gemacht;p;0;19;19;16;p;1;1.3336184999999432;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
;;;;;;;;;;;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
4;STEIN;Natur;q;0;0;0;14;q;1;1.2362916999999243;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
4;GEBÄUDE;Gemacht;p;0;1;1;15;p;1;0.8505288000000064;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
4;GUT;positiv;p;0;2;2;9;p;1;0.6168410000000222;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
4;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.6673627000000124;001;NSVS96;2019_Dec_05_1055;iat_vr;60.04116422219055;
