id,time,iat,hr_mean,Frage1,Frage2,Frage3,StartDate,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,age,edu,sex,pol,ipq1,ipq2,ipq3,ipq4,ipq5,ipq6,ipq7,ipq8,ipq9,ipq10,ipq11,ipq12,ipq13,ipq14,sod_1,sod_2,sod_3,sod_4,sod_5,sod_6,sod_7,sod_8,sod_9,vr_exp,vr_eval1,vr_eval2,vr_eval3,vr_eval4,vr_eval5,span,seen,yearOfBirth,timeBtwnTestings_inH,css,nr,nep,ses,ipq,sod,vr_eval
62933315,1,0.10740847294976419,76.2857142857143,"Also wenn man an den neuen Ort kam, hat es mich verwirrt, dass der Gletscher wieder rauf ist, bevor er wieder runter ging. Es hat so ausgesehen, aber vielleicht war es eine art Wiederholung. Sonst war die Simulation des Gletscherschmelzens und der Darstellung sehr eindrücklich, auch wegen dem Wolkenhimmel, weil das die vergangene Zeit dargestellt hat. Und wegen den Standpunkten, sie waren ja schon gut signalisiert, aber die Perspektivenänderung hat mich am Anfang doch etwas verwirrt.","Dass ich den Aletsch-Gletscher gern mal wieder in echt sehen möchte, bevor er wegschmilzt. Ich habe ihn auch schon mal gesehen. Aber das wird einem einfach nochmal stärker bewusst, wie der Gletscher abnimmt. Was mich schon noch überrascht hat, waren die Seen, die simuliert wurden. Dass man sich vorstellt, was darunter liegt, was kommt da hervor. Ja und wie verändert sich die Landschaft dadurch, positiv und negativ.","Ich glaube, ich bin mir dem Klimawandel sonst schon sehr bewusst. Der Vorteil dieser Simulation ist, dass man sich der Veränderung bewusst wird, und das gerade simuliert bekommt. Sonst kann man das ja nie so sehen. Man sieht es immer nur statisch. Und weil der Gletscher so massiv ist, hat man das Gefühl, dass nicht viel passieren kann. Dadurch, dass man den Gletscher in Bewegung sehen kann, steigt sich das Bewusstsein vielleicht. Ich habe das Gefühl, dass man das im VR gut simulieren kann, aber ich denke, dafür würden auch Fotographien ausreichen. Obwohl, durch die Bewegung wird einem das schon noch viel mehr bewusst.",2019-06-24T16:33:19Z,1,1,1,1,1,1,2,1,1,4,1,1,4,7,6,2,5,2,4,5,4,7,7,4,6,6,4,5,4,7,4,2,4,4,4,4,4,2,6,4,7,4,7,4,7,5,6,4,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,40,6,1,3,4,5,3,3,2,5,6,5,5,5,3,3,2,2,5,6,5,6,4,2,5,7,3,4,3,5,6,5,5,4,3,1979,20.912395833333335,1.3333333333333333,4.714285714285714,4.8,1.411764705882353,3.7857142857142856,4.777777777777778,4.8
62933315,2,0.3216226818877379,77.4615384615385,"Also wenn man an den neuen Ort kam, hat es mich verwirrt, dass der Gletscher wieder rauf ist, bevor er wieder runter ging. Es hat so ausgesehen, aber vielleicht war es eine art Wiederholung. Sonst war die Simulation des Gletscherschmelzens und der Darstellung sehr eindrücklich, auch wegen dem Wolkenhimmel, weil das die vergangene Zeit dargestellt hat. Und wegen den Standpunkten, sie waren ja schon gut signalisiert, aber die Perspektivenänderung hat mich am Anfang doch etwas verwirrt.","Dass ich den Aletsch-Gletscher gern mal wieder in echt sehen möchte, bevor er wegschmilzt. Ich habe ihn auch schon mal gesehen. Aber das wird einem einfach nochmal stärker bewusst, wie der Gletscher abnimmt. Was mich schon noch überrascht hat, waren die Seen, die simuliert wurden. Dass man sich vorstellt, was darunter liegt, was kommt da hervor. Ja und wie verändert sich die Landschaft dadurch, positiv und negativ.","Ich glaube, ich bin mir dem Klimawandel sonst schon sehr bewusst. Der Vorteil dieser Simulation ist, dass man sich der Veränderung bewusst wird, und das gerade simuliert bekommt. Sonst kann man das ja nie so sehen. Man sieht es immer nur statisch. Und weil der Gletscher so massiv ist, hat man das Gefühl, dass nicht viel passieren kann. Dadurch, dass man den Gletscher in Bewegung sehen kann, steigt sich das Bewusstsein vielleicht. Ich habe das Gefühl, dass man das im VR gut simulieren kann, aber ich denke, dafür würden auch Fotographien ausreichen. Obwohl, durch die Bewegung wird einem das schon noch viel mehr bewusst.",2019-07-15T14:27:10Z,1,1,1,1,1,1,2,1,1,4,1,1,4,7,6,2,4,3,4,5,4,6,6,5,6,7,6,4,5,7,4,4,4,4,6,4,5,4,6,5,6,3,7,4,7,4,6,5,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,40,6,1,3,4,5,3,3,2,5,6,5,5,5,3,3,2,2,5,6,5,6,4,2,5,7,3,4,3,5,6,5,5,4,3,1979,20.912395833333335,1.3333333333333333,4.904761904761905,5.066666666666666,1.3529411764705883,3.7857142857142856,4.777777777777778,4.8
30932734,1,-0.1453225022115743,77.2790697674419,Ehm also ich fand es sehr entspannend. Ich fand es schön. Ja. Also man hat sich wirklich dort gefühlt. Ja. Also es war einfach so ruhig und entspannt. Sehr echt. Also nicht wirklich echt. Aber man konnte sich gut darauf einlassen.,"Dass ich mal den Aletsch-Gletscher besuchen sollte. Mal anschauen. Und ich fand die Visualisierung sehr gut. Man weiss ja, dass die Gletscher zurückgehen. Aber wenn man das so sieht, schmerzt es schon etwas.","Nicht mehr, als ich so wie so schon versuche. Mich dünkt es, ich versuche es mir das so wie so schon bewusst zu machen. Ich habe nicht das Gefühl, dass ich es jetzt mehr machen werde, aber es ist sicher gut, immer wieder darauf hingewiesen zu werden. Immer wieder daran gestossen zu werden und sich wirklich zu überlegen, was das Verhalten für Auswirkungen hat. Und das find ich noch gut, wenn man es so wirklich geht. So ist es ein wenig echter als wenn man einfach diskutiert und sagt, irgendwo geht ein Gletscher weg.",2019-06-13T22:36:12Z,1,3,3,1,2,2,2,2,1,3,2,2,4,7,5,4,2,4,4,4,4,6,7,5,6,6,5,4,4,7,3,4,4,3,4,3,4,4,3,3,6,5,7,2,7,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,1,3,5,7,7,6,6,3,5,5,6,6,3,5,2,6,5,3,3,4,7,7,6,3,3,4,7,7,7,5,7,1,2,1986,5.4196875,2,4.714285714285714,4.333333333333333,NA,5.142857142857143,4.555555555555555,6.6
30932734,2,0.05985520617454994,75.72,Ehm also ich fand es sehr entspannend. Ich fand es schön. Ja. Also man hat sich wirklich dort gefühlt. Ja. Also es war einfach so ruhig und entspannt. Sehr echt. Also nicht wirklich echt. Aber man konnte sich gut darauf einlassen.,"Dass ich mal den Aletsch-Gletscher besuchen sollte. Mal anschauen. Und ich fand die Visualisierung sehr gut. Man weiss ja, dass die Gletscher zurückgehen. Aber wenn man das so sieht, schmerzt es schon etwas.","Nicht mehr, als ich so wie so schon versuche. Mich dünkt es, ich versuche es mir das so wie so schon bewusst zu machen. Ich habe nicht das Gefühl, dass ich es jetzt mehr machen werde, aber es ist sicher gut, immer wieder darauf hingewiesen zu werden. Immer wieder daran gestossen zu werden und sich wirklich zu überlegen, was das Verhalten für Auswirkungen hat. Und das find ich noch gut, wenn man es so wirklich geht. So ist es ein wenig echter als wenn man einfach diskutiert und sagt, irgendwo geht ein Gletscher weg.",2019-06-19T08:40:33Z,2,2,2,1,1,2,2,2,1,2,2,1,4,7,5,4,4,4,4,4,4,6,6,4,6,6,5,4,4,6,4,4,4,3,5,3,4,4,4,4,6,5,6,3,7,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,1,3,5,7,7,6,6,3,5,5,6,6,3,5,2,6,5,3,3,4,7,7,6,3,3,4,7,7,7,5,7,1,2,1986,5.4196875,1.6666666666666667,4.714285714285714,4.6,NA,5.142857142857143,4.555555555555555,6.6
34727533,1,0.9642996397875989,57.6764705882353,"Keine Ahnung. Es war gut gemacht. Mir fiel auf, ich habe mich darauf geachtet, wo Details sind und wo nicht. Wenn du zum Beispiel die Steine genau angeschaut hast, sind sie nicht herausgestanden, das habe ich auch so erwartet. Trotzdem hat es sehr realistisch ausgesehen.","Ich fand es noch angenehm. Ich war noch nicht so oft im VR-Raum. Es war noch easy. Ja und schon noch eindrücklich. Auch ganz am Schluss, wo der Gletscher ganz weg war, das war schon etwas surreal, wegen der Timelapse. Aber ich würde jetzt nicht sagen, dass mich das kalt liess. Aber ich würde auch nicht sagen, dass ich jetzt voll den Horror habe deswegen.","Es geht. Das hat aber auch damit zu tun, dass ich.. Der Gletscher ist für mich auch nicht so.. Er ist halt ein Indiz für den Klimawandel, und der Klimawandel ist sehr problematisch. Aber dass der Gletscher nicht mehr hier ist, stört mich eigentlich nicht so sehr. Ist mir eigentlich egal. Er sieht hat cool aus, aber naja. Mich stört viel mehr das Artensterben, dass die Luft schlecht wird, dass es extreme Wetter-Ereignisse gibt an vielen Orten auf der Welt, dass meine Urgrosskinder so eine schlechte Welt erben werden. Aber dass der Gletscher schmilzt ist mir eigentlich egal. Grundsätzlich. Deshalb, es geht so.",2019-06-25T15:42:14Z,2,1,1,2,1,1,1,2,1,1,1,1,2,5,6,1,4,4,4,4,4,5,6,5,4,6,7,2,3,7,4,4,4,3,6,3,5,5,3,5,7,4,6,1,7,4,4,4,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,33,6,0,2,6,3,7,6,5,6,6,6,7,6,5,4,3,2,6,6,3,5,6,7,6,6,7,2,6,7,6,6,6,4,1,1986,21.788506944444446,1.25,4.333333333333333,4.466666666666667,1.5294117647058822,5.142857142857143,5.777777777777778,6.2
34727533,2,0.6288159846490444,62.8205128205128,"Keine Ahnung. Es war gut gemacht. Mir fiel auf, ich habe mich darauf geachtet, wo Details sind und wo nicht. Wenn du zum Beispiel die Steine genau angeschaut hast, sind sie nicht herausgestanden, das habe ich auch so erwartet. Trotzdem hat es sehr realistisch ausgesehen.","Ich fand es noch angenehm. Ich war noch nicht so oft im VR-Raum. Es war noch easy. Ja und schon noch eindrücklich. Auch ganz am Schluss, wo der Gletscher ganz weg war, das war schon etwas surreal, wegen der Timelapse. Aber ich würde jetzt nicht sagen, dass mich das kalt liess. Aber ich würde auch nicht sagen, dass ich jetzt voll den Horror habe deswegen.","Es geht. Das hat aber auch damit zu tun, dass ich.. Der Gletscher ist für mich auch nicht so.. Er ist halt ein Indiz für den Klimawandel, und der Klimawandel ist sehr problematisch. Aber dass der Gletscher nicht mehr hier ist, stört mich eigentlich nicht so sehr. Ist mir eigentlich egal. Er sieht hat cool aus, aber naja. Mich stört viel mehr das Artensterben, dass die Luft schlecht wird, dass es extreme Wetter-Ereignisse gibt an vielen Orten auf der Welt, dass meine Urgrosskinder so eine schlechte Welt erben werden. Aber dass der Gletscher schmilzt ist mir eigentlich egal. Grundsätzlich. Deshalb, es geht so.",2019-07-17T10:37:41Z,2,1,1,2,1,2,1,2,1,1,1,1,2,7,7,2,3,4,2,4,3,5,6,5,4,6,6,3,3,7,4,5,4,2,6,4,5,5,6,4,7,3,6,4,7,4,5,4,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,1,33,6,0,2,6,3,7,6,5,6,6,6,7,6,5,4,3,2,6,6,3,5,6,7,6,6,7,2,6,7,6,6,6,4,1,1986,21.788506944444446,1.3333333333333333,4.380952380952381,4.8,1.4705882352941178,5.142857142857143,5.777777777777778,6.2
04901439,1,0.15866193161892855,64.4347826086957,"Es war spannend und cool. Mir ist schon aufgefallen, dass es eine vereinfachte Welt war. Mit Ecken und Kanten. Dass es nicht so eine gute Auflösung hatte. Also die Pixel sind mir aufgefallen. Aber es war schön und spannend.","Das VR Spass macht. Sonst hab ich mich halt gefragt, ob das... Ob mich das etwas geprimt hat. Also ich hab natürlich die Hypothese hinterfragt. Ob mich die ganze Geschichte geprimt hat, um Umweltbewusster zu antworten. Menschgemacht schlecht und natürlich gut zu antworten. Und ob ich im Fragebogen kritischer geworden bin.","Nach dem Erlebnis? Jein. Vielleicht. Vielleicht motiviert es mich beim Einkauf wieder besser zu schauen auf weniger Plastik und auf weniger Tier-Produkte. Ich kann aber nicht sagen, dass das nur wegen dem Experiment ist, und dass das nur zusätzliche Motivation ist.",2019-05-10T14:12:45Z,2,2,1,2,3,2,2,1,1,2,3,1,4,7,6,4,4,4,4,3,4,6,7,4,7,5,6,4,4,4,3,4,4,3,5,4,4,4,3,5,5,5,6,3,7,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,6,0,2,3,3,3,5,4,5,3,5,3,5,5,4,2,3,7,7,7,5,7,6,7,7,7,2,6,6,7,4,7,5,3,1988,39.92625,1.8333333333333333,4.666666666666667,4.533333333333333,NA,3.7857142857142856,6.666666666666667,6
04901439,2,0.27187713756316634,62.4871794871795,"Es war spannend und cool. Mir ist schon aufgefallen, dass es eine vereinfachte Welt war. Mit Ecken und Kanten. Dass es nicht so eine gute Auflösung hatte. Also die Pixel sind mir aufgefallen. Aber es war schön und spannend.","Das VR Spass macht. Sonst hab ich mich halt gefragt, ob das... Ob mich das etwas geprimt hat. Also ich hab natürlich die Hypothese hinterfragt. Ob mich die ganze Geschichte geprimt hat, um Umweltbewusster zu antworten. Menschgemacht schlecht und natürlich gut zu antworten. Und ob ich im Fragebogen kritischer geworden bin.","Nach dem Erlebnis? Jein. Vielleicht. Vielleicht motiviert es mich beim Einkauf wieder besser zu schauen auf weniger Plastik und auf weniger Tier-Produkte. Ich kann aber nicht sagen, dass das nur wegen dem Experiment ist, und dass das nur zusätzliche Motivation ist.",2019-06-19T12:26:33Z,1,2,3,1,3,3,3,2,1,3,3,2,2,5,7,4,3,3,4,3,4,5,6,4,6,6,7,5,4,4,3,3,4,4,6,4,5,5,3,5,4,4,7,4,6,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,6,0,2,3,3,3,5,4,5,3,5,3,5,5,4,2,3,7,7,7,5,7,6,7,7,7,2,6,6,7,4,7,5,3,1988,39.92625,2.25,4.380952380952381,4.666666666666667,NA,3.7857142857142856,6.666666666666667,6
57671269,1,0.1924706297275685,75.5555555555556,"Aufgefallen ist mir: Ja ich hab es mir schon besser vorgestellt, also die Grafik. Es war schon ziemlich Pixelig und Hügelig. Das hab ich schon besser erwartet. Und die Stimme war etwas leise.","Ich nehme viel mit von den Fragebögen. Wir haben viele Diskussionen über solche Sachen im Kollegenkreis. Und ich fand es spannend, weil die Fragen wie schon etwas implizieren. Generell ist es in meinem Kollegenkreis so, dass der Klimawandel sehr akzeptiert und klar ist, dass es so ist. Und die Fragen wie, ob der Klimawandel überrepresentiert ist und so hat mich persönlich speziell  noch angesprochen.  Was ich sonst mitnehme, ist, dass es noch lässig war, ich fand es toll, das VR.","Nein. Ich interpretiere es jetzt in dem Hinblick, dass ich noch Umweltfreundlicher handeln würde. Nein, nicht mehr, als ich es jetzt schon mache.",2019-05-21T22:57:33Z,4,3,4,4,3,4,3,3,3,4,2,2,5,4,6,2,4,4,5,4,4,6,6,5,4,7,4,5,4,6,4,2,4,3,4,3,4,3,4,3,5,5,4,3,5,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,0,4,6,2,5,7,6,7,6,6,6,6,5,4,2,2,6,6,6,6,2,2,3,6,6,1,7,5,7,5,6,4,3,1987,12.615289351851851,3.25,4.523809523809524,3.7333333333333334,NA,5,4.777777777777778,6
57671269,2,0.3583344335403062,71.3157894736842,"Aufgefallen ist mir: Ja ich hab es mir schon besser vorgestellt, also die Grafik. Es war schon ziemlich Pixelig und Hügelig. Das hab ich schon besser erwartet. Und die Stimme war etwas leise.","Ich nehme viel mit von den Fragebögen. Wir haben viele Diskussionen über solche Sachen im Kollegenkreis. Und ich fand es spannend, weil die Fragen wie schon etwas implizieren. Generell ist es in meinem Kollegenkreis so, dass der Klimawandel sehr akzeptiert und klar ist, dass es so ist. Und die Fragen wie, ob der Klimawandel überrepresentiert ist und so hat mich persönlich speziell  noch angesprochen.  Was ich sonst mitnehme, ist, dass es noch lässig war, ich fand es toll, das VR.","Nein. Ich interpretiere es jetzt in dem Hinblick, dass ich noch Umweltfreundlicher handeln würde. Nein, nicht mehr, als ich es jetzt schon mache.",2019-06-03T13:43:34Z,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,5,5,4,5,7,4,5,5,7,4,5,5,5,4,4,4,4,4,3,4,3,4,4,4,5,4,3,5,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,0,4,6,2,5,7,6,7,6,6,6,6,5,4,2,2,6,6,6,6,2,2,3,6,6,1,7,5,7,5,6,4,3,1987,12.615289351851851,3.6666666666666665,4.666666666666667,3.7333333333333334,NA,5,4.777777777777778,6
