"time","value","Date"
"12:43:01","70","2019-06-03"
"12:43:11","83","2019-06-03"
"12:43:26","83","2019-06-03"
"12:43:41","83","2019-06-03"
"12:43:56","83","2019-06-03"
"13:04:33","70","2019-06-03"
"13:04:59","70","2019-06-03"
"13:05:16","70","2019-06-03"
"13:05:31","70","2019-06-03"
"13:05:46","70","2019-06-03"
"13:06:01","70","2019-06-03"
"13:06:16","70","2019-06-03"
"13:06:31","70","2019-06-03"
"13:06:46","70","2019-06-03"
"13:07:01","70","2019-06-03"
"13:07:16","70","2019-06-03"
"13:07:31","70","2019-06-03"
"13:07:46","70","2019-06-03"
"13:08:01","70","2019-06-03"
"13:08:16","70","2019-06-03"
"14:00:49","70","2019-06-03"
"14:01:04","70","2019-06-03"
"14:01:09","73","2019-06-03"
"14:01:14","78","2019-06-03"
"14:01:19","80","2019-06-03"
"14:01:34","80","2019-06-03"
"14:01:39","85","2019-06-03"
"14:01:44","89","2019-06-03"
"14:01:49","91","2019-06-03"
"14:01:54","93","2019-06-03"
"14:01:59","97","2019-06-03"
"14:02:04","103","2019-06-03"
"14:02:09","104","2019-06-03"
"14:02:24","104","2019-06-03"
"14:02:39","104","2019-06-03"
"14:02:44","105","2019-06-03"
"14:02:49","106","2019-06-03"
"14:02:54","107","2019-06-03"
"14:02:59","108","2019-06-03"
"14:03:09","109","2019-06-03"
"14:03:14","110","2019-06-03"
"14:03:19","111","2019-06-03"
"14:03:34","110","2019-06-03"
"14:03:39","109","2019-06-03"
"14:03:44","111","2019-06-03"
"14:03:59","111","2019-06-03"
"14:15:31","70","2019-06-03"
"14:15:43","70","2019-06-03"
"14:18:29","70","2019-06-03"
"14:18:39","95","2019-06-03"
"14:18:44","107","2019-06-03"
"14:18:49","105","2019-06-03"
"14:18:54","107","2019-06-03"
"14:18:59","108","2019-06-03"
"14:19:14","106","2019-06-03"
"14:19:19","102","2019-06-03"
"14:19:24","99","2019-06-03"
"14:19:34","100","2019-06-03"
"14:19:39","99","2019-06-03"
"14:19:44","97","2019-06-03"
"14:19:49","95","2019-06-03"
"14:19:54","93","2019-06-03"
"14:20:09","94","2019-06-03"
"14:20:24","96","2019-06-03"
"14:20:39","96","2019-06-03"
"14:20:44","98","2019-06-03"
"14:20:49","99","2019-06-03"
"14:20:54","97","2019-06-03"
"14:21:09","98","2019-06-03"
"14:21:14","96","2019-06-03"
"14:21:29","96","2019-06-03"
"14:21:31","96","2019-06-03"
"14:21:36","95","2019-06-03"
"14:21:51","95","2019-06-03"
"14:21:56","96","2019-06-03"
"14:22:06","95","2019-06-03"
"14:22:11","90","2019-06-03"
"14:22:26","79","2019-06-03"
"14:22:31","76","2019-06-03"
"14:22:46","76","2019-06-03"
"14:22:56","75","2019-06-03"
"14:23:11","75","2019-06-03"
"14:23:16","74","2019-06-03"
"14:23:21","74","2019-06-03"
"14:23:26","74","2019-06-03"
