Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STADT;Gemacht;p;0;0;0;6;p;1;0.6356398549978621;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;WASSER;Natur;q;0;1;1;1;q;1;0.5520008419989608;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.5201628459981293;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;BAUM;Natur;q;0;3;3;0;q;1;0.5196090940007707;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;STEIN;Natur;q;0;4;4;4;p;0;0.5360348189933575;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.7210515840051812;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.5873700299998745;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;BLUME;Natur;q;0;7;7;2;q;1;0.4555291380020208;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;TIER;Natur;q;0;8;8;3;q;1;0.4562908080042689;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;LAMPE;Gemacht;p;0;9;9;9;p;1;0.5395751459946041;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;BAUM;Natur;q;1;0;10;0;q;1;0.5841853239980992;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;STEIN;Natur;q;1;1;11;4;q;1;0.6059269070028677;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;STADT;Gemacht;p;1;2;12;6;p;1;0.5059896810053033;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;GEBÄUDE;Gemacht;p;1;3;13;5;p;1;0.5219171380012995;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;COMPUTER;Gemacht;p;1;4;14;8;p;1;0.6218762489952496;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;TIER;Natur;q;1;5;15;3;q;1;0.47116282200295245;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.5543585399937001;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;WASSER;Natur;q;1;7;17;1;q;1;0.4552638620007201;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;BLUME;Natur;q;1;8;18;2;q;1;0.5391760479978984;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
1;KLEIDER;Gemacht;p;1;9;19;7;p;1;0.5392090910027036;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
;;;;;;;;;;;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;SCHLECHT;negativ;q;0;0;0;1;q;1;0.7878988380034571;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;GUT;positiv;p;0;1;1;9;p;1;0.45530789499753155;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;NEGATIV;negativ;q;0;2;2;2;q;1;0.5217095050029457;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;EINWANDFREI;positiv;p;0;3;3;6;p;1;0.7708509520016378;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;SCHÄDLICH;negativ;q;0;4;4;3;q;1;0.5049439270005678;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.5220242709983722;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;SCHWACH;negativ;q;0;6;6;4;q;1;0.47238240799924824;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;POSITIV;positiv;p;0;7;7;8;p;1;0.4375807110045571;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;AUSGEZEICHNET;positiv;p;0;8;8;5;p;1;0.6037533119961154;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;HERVORRAGEND;positiv;p;0;9;9;7;p;1;0.5877941840008134;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;NEGATIV;negativ;q;1;0;10;2;q;1;0.5211789890017826;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;POSITIV;positiv;p;1;1;11;8;p;1;0.5050126429996453;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.6711430889990879;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
2;HERVORRAGEND;positiv;p;1;3;13;7;p;1;0.6510238440023386;002;11114873;2019_Jun_04_1436;iat_vr;59.841091978919785;
