Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STEIN;Natur;q;0;0;0;4;q;1;0.8209063389986113;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;STADT;Gemacht;p;0;1;1;6;p;1;0.6376035979992594;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;0.6375505340001837;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;BLUME;Natur;q;0;3;3;2;q;1;0.6047547729976941;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;WASSER;Natur;q;0;4;4;1;q;1;0.6211704569977883;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.9552723660017364;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;GEBÄUDE;Gemacht;p;0;6;6;5;p;1;0.7213659090011788;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;0.737211555999238;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;TIER;Natur;q;0;8;8;3;q;1;0.9027601089983364;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;BAUM;Natur;q;0;9;9;0;q;1;0.58993854900109;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;1.3217511479997484;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;BAUM;Natur;q;1;1;11;0;q;1;0.6218385949978256;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.6554673059981724;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
1;BLUME;Natur;q;1;3;13;2;q;1;0.6059313129990187;002;13109376;2019_May_24_1046;iat_vr;60.32598351762727;
