Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;COMPUTER;Gemacht;p;0;0;0;8;p;1;2.006789641999603;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;WASSER;Natur;q;0;1;1;1;q;1;0.8046702389992788;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.6882859630004532;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;STEIN;Natur;q;0;3;3;4;q;1;0.9514019700000063;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;1.1206792200000564;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.7548170720001508;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;STADT;Gemacht;p;0;6;6;6;p;1;0.6543582530002823;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;BAUM;Natur;q;0;7;7;0;p;0;0.7049179249997906;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;BLUME;Natur;q;0;8;8;2;q;1;1.1375924780004425;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;TIER;Natur;q;0;9;9;3;q;1;0.6376333669995802;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;KLEIDER;Gemacht;p;1;0;10;7;p;1;0.6705996010005038;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;LAMPE;Gemacht;p;1;1;11;9;p;1;0.8550852459993621;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.8883599450000474;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;WASSER;Natur;q;1;3;13;1;q;1;0.6208394940003927;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;TIER;Natur;q;1;4;14;3;q;1;1.6885662980002962;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.6541361550007423;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;0.7353063239997937;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;STEIN;Natur;q;1;7;17;4;q;1;0.6210262369995689;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;BAUM;Natur;q;1;8;18;0;p;0;0.7360540479994597;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
1;BLUME;Natur;q;1;9;19;2;q;1;0.8375887980000698;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
;;;;;;;;;;;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
2;POSITIV;positiv;p;0;0;0;8;p;1;1.338027458000397;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;1.0049925040002563;001;EftPx;2019_May_22_1524;iat_vr;59.753016046789334;
