Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STEIN;Natur;q;0;0;0;4;q;1;1.2051715379930101;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.7044833409890998;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;LAMPE;Gemacht;p;0;2;2;9;p;1;0.755181923013879;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;WASSER;Natur;q;0;3;3;1;q;1;0.937889395019738;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;BAUM;Natur;q;0;4;4;0;q;1;0.6355026369856205;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;COMPUTER;Gemacht;p;0;5;5;8;p;1;0.6210364089929499;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;BLUME;Natur;q;0;6;6;2;q;1;0.6560149259748869;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.8560655640030745;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;KLEIDER;Gemacht;p;0;8;8;7;p;1;1.0715977619984187;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;TIER;Natur;q;0;9;9;3;q;1;0.6066198969783727;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.6220963519881479;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;WASSER;Natur;q;1;1;11;1;q;1;0.5716447870072443;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;BLUME;Natur;q;1;2;12;2;q;1;0.7897362479998264;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.6559516449924558;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;STEIN;Natur;q;1;4;14;4;q;1;0.6061098299978767;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.8227014979929663;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.6725908690132201;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;BAUM;Natur;q;1;7;17;0;q;1;0.9063717900135089;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
1;GEBÄUDE;Gemacht;p;1;8;18;5;p;1;0.6390191169921309;002;kim;2019_Jul_01_1824;iat_vr;59.75750869123016;
