Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;p;1;1.7724190990011266;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.9538675639996654;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;1.2554779229976702;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;STADT;Gemacht;p;0;3;3;6;p;1;0.8042002249967481;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;WASSER;Natur;q;0;4;4;1;q;1;0.7212009989998478;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;GEBÄUDE;Gemacht;p;0;5;5;5;p;1;0.7378481839987217;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;BLUME;Natur;q;0;6;6;2;q;1;0.6541166669994709;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;BAUM;Natur;q;0;7;7;0;q;1;0.7898117009972339;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;TIER;Natur;q;0;8;8;3;q;1;1.4399085830009426;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;STEIN;Natur;q;0;9;9;4;q;1;0.7544178950010973;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;LAMPE;Gemacht;p;1;0;10;9;p;1;0.6725468939985149;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;WASSER;Natur;q;1;1;11;1;q;1;0.7728147390007507;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.8043482319990289;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;STADT;Gemacht;p;1;3;13;6;p;1;1.3060130799967737;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;GEBÄUDE;Gemacht;p;1;4;14;5;p;1;0.7893406630028039;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.639089355001488;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;BAUM;Natur;q;1;6;16;0;q;1;0.7213214219991642;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;TIER;Natur;q;1;7;17;3;q;1;0.754481289000978;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;BLUME;Natur;q;1;8;18;2;q;1;0.6223599259974435;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
1;STEIN;Natur;q;1;9;19;4;q;1;0.9553834320031456;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
;;;;;;;;;;;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;SCHLIMM;negativ;q;0;0;0;0;q;1;1.4554829690023325;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;0.8710566590016242;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;NEGATIV;negativ;q;0;2;2;2;q;1;0.8725733389983361;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;EINWANDFREI;positiv;p;0;3;3;6;p;1;0.9208565689987154;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;POSITIV;positiv;p;0;4;4;8;p;1;1.4226926660012396;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;SCHLECHT;negativ;q;0;5;5;1;q;1;0.7686898600004497;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;SCHWACH;negativ;q;0;6;6;4;q;1;0.6857636790009565;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;AUSGEZEICHNET;positiv;p;0;7;7;5;p;1;0.7382525899993198;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
2;SCHÄDLICH;negativ;q;0;8;8;3;q;1;0.6884865920001175;001;sutti;2019_May_10_1555;iat_vr;60.0502150712732;
