participant,Block,Word,Category,CorrResp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,session,date,expName,frameRate,rt,incorrect
00119636,1,TIER,Natur,q,0,0,0,3,q,1,1.3874518609954976,001,2019_Jul_15_1514,iat_vr,5965028161042937,1387.4518609954976,0
00119636,1,BAUM,Natur,q,0,1,1,0,q,1,0.554125840018969,001,2019_Jul_15_1514,iat_vr,5965028161042937,554.125840018969,0
00119636,1,STADT,Gemacht,p,0,2,2,6,p,1,0.7713238659780473,001,2019_Jul_15_1514,iat_vr,5965028161042937,771.3238659780473,0
00119636,1,KLEIDER,Gemacht,p,0,3,3,7,p,1,0.720799985982012,001,2019_Jul_15_1514,iat_vr,5965028161042937,720.799985982012,0
00119636,1,WASSER,Natur,q,0,4,4,1,q,1,1.1339199040085077,001,2019_Jul_15_1514,iat_vr,5965028161042937,1133.9199040085077,0
00119636,1,LAMPE,Gemacht,p,0,5,5,9,p,1,0.8173777830088511,001,2019_Jul_15_1514,iat_vr,5965028161042937,817.3777830088511,0
00119636,1,COMPUTER,Gemacht,p,0,6,6,8,p,1,0.7202123129973188,001,2019_Jul_15_1514,iat_vr,5965028161042937,720.2123129973188,0
00119636,1,STEIN,Natur,q,0,7,7,4,q,1,0.9174998519592918,001,2019_Jul_15_1514,iat_vr,5965028161042937,917.4998519592918,0
00119636,1,BLUME,Natur,q,0,8,8,2,q,1,1.2707227820064873,001,2019_Jul_15_1514,iat_vr,5965028161042937,1270.7227820064873,0
00119636,1,GEBÄUDE,Gemacht,p,0,9,9,5,p,1,0.7712244789581746,001,2019_Jul_15_1514,iat_vr,5965028161042937,771.2244789581746,0
00119636,1,STEIN,Natur,q,1,0,10,4,q,1,0.9720910390024073,001,2019_Jul_15_1514,iat_vr,5965028161042937,972.0910390024073,0
00119636,1,BLUME,Natur,q,1,1,11,2,q,1,0.9554526029969566,001,2019_Jul_15_1514,iat_vr,5965028161042937,955.4526029969566,0
00119636,1,TIER,Natur,q,1,2,12,3,q,1,0.6393061309936456,001,2019_Jul_15_1514,iat_vr,5965028161042937,639.3061309936456,0
00119636,1,KLEIDER,Gemacht,p,1,3,13,7,p,1,0.8056412169826217,001,2019_Jul_15_1514,iat_vr,5965028161042937,805.6412169826217,0
00119636,1,BAUM,Natur,q,1,4,14,0,q,1,0.9183504989487119,001,2019_Jul_15_1514,iat_vr,5965028161042937,918.3504989487119,0
00119636,1,WASSER,Natur,q,1,5,15,1,q,1,0.8045978879672475,001,2019_Jul_15_1514,iat_vr,5965028161042937,804.5978879672475,0
00119636,1,LAMPE,Gemacht,p,1,6,16,9,p,1,0.90193317795638,001,2019_Jul_15_1514,iat_vr,5965028161042937,901.93317795638,0
00119636,1,GEBÄUDE,Gemacht,p,1,7,17,5,p,1,1.3876482149935327,001,2019_Jul_15_1514,iat_vr,5965028161042937,1387.6482149935327,0
00119636,1,COMPUTER,Gemacht,p,1,8,18,8,p,1,0.754382842045743,001,2019_Jul_15_1514,iat_vr,5965028161042937,754.382842045743,0
00119636,1,STADT,Gemacht,p,1,9,19,6,p,1,1.1553131130058318,001,2019_Jul_15_1514,iat_vr,5965028161042937,1155.3131130058318,0
00119636,2,AUSGEZEICHNET,positiv,p,0,0,0,5,p,1,1.871627365006134,001,2019_Jul_15_1514,iat_vr,5965028161042937,1871.627365006134,0
00119636,2,EINWANDFREI,positiv,p,0,1,1,6,p,1,0.9873273459961638,001,2019_Jul_15_1514,iat_vr,5965028161042937,987.3273459961638,0
00119636,2,SCHWACH,negativ,q,0,2,2,4,q,1,0.8223212860175408,001,2019_Jul_15_1514,iat_vr,5965028161042937,822.3212860175408,0
