id,time,iat,StartDate,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,age,edu,sex,pol,ipq1,ipq2,ipq3,ipq4,ipq5,ipq6,ipq7,ipq8,ipq9,ipq10,ipq11,ipq12,ipq13,ipq14,sod_1,sod_2,sod_3,sod_4,sod_5,sod_6,sod_7,sod_8,sod_9,vr_exp,vr_eval1,vr_eval2,vr_eval3,vr_eval4,vr_eval5,span,seen,sex_3_TEXT - Topics,yearOfBirth,timeBtwnTestings_inH,condition,Frage1,Frage2,Frage3,OQ_Design+,OQ_Design-,OQ_alreadyAware,OQ_personalConsequences,OQ_Realism,OQ_Abstractness,OQ_positiveExperience,OQ_personaMemoriesl,OQ_generalConsequences,OQ_fidelity+,OQ_fidelity-,hr_mean
32504483,1,0.34560736949292964,2019-06-24T16:33:19Z,1,1,1,1,1,1,2,1,1,4,1,1,4,1,2,2,5,2,4,5,4,1,1,4,2,2,4,5,4,1,4,2,4,4,4,4,4,2,2,4,1,4,1,4,1,5,2,4,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,40,6,1,3,4,5,5,3,2,5,6,5,3,5,5,3,2,2,5,2,5,2,4,6,3,1,3,4,3,5,6,5,5,4,3,NA,1979,20.912395833333335,b,"Also wenn man an den neuen Ort kam, hat es mich verwirrt, dass der Gletscher wieder rauf ist, bevor er wieder runter ging. Es hat so ausgesehen, aber vielleicht war es eine art Wiederholung. Sonst war die Simulation des Gletscherschmelzens und der Darstellung sehr eindrücklich, auch wegen dem Wolkenhimmel, weil das die vergangene Zeit dargestellt hat. Und wegen den Standpunkten, sie waren ja schon gut signalisiert, aber die Perspektivenänderung hat mich am Anfang doch etwas verwirrt.","Dass ich den Aletsch-Gletscher gern mal wieder in echt sehen möchte, bevor er wegschmilzt. Ich habe ihn auch schon mal gesehen. Aber das wird einem einfach nochmal stärker bewusst, wie der Gletscher abnimmt. Was mich schon noch überrascht hat, waren die Seen, die simuliert wurden. Dass man sich vorstellt, was darunter liegt, was kommt da hervor. Ja und wie verändert sich die Landschaft dadurch, positiv und negativ.","Ich glaube, ich bin mir dem Klimawandel sonst schon sehr bewusst. Der Vorteil dieser Simulation ist, dass man sich der Veränderung bewusst wird, und das gerade simuliert bekommt. Sonst kann man das ja nie so sehen. Man sieht es immer nur statisch. Und weil der Gletscher so massiv ist, hat man das Gefühl, dass nicht viel passieren kann. Dadurch, dass man den Gletscher in Bewegung sehen kann, steigt sich das Bewusstsein vielleicht. Ich habe das Gefühl, dass man das im VR gut simulieren kann, aber ich denke, dafür würden auch Fotographien ausreichen. Obwohl, durch die Bewegung wird einem das schon noch viel mehr bewusst.",1,1,1,0,0,0,1,1,0,0,0,76.2857142857143
32504483,2,-0.09701049416724265,2019-07-15T14:27:10Z,1,1,1,1,1,1,2,1,1,4,1,1,4,1,2,2,4,3,4,5,4,2,2,5,2,1,2,4,5,1,4,4,4,4,2,4,3,4,2,5,2,3,1,4,1,4,2,5,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,40,6,1,3,4,5,5,3,2,5,6,5,3,5,5,3,2,2,5,2,5,2,4,6,3,1,3,4,3,5,6,5,5,4,3,NA,1979,20.912395833333335,b,"Also wenn man an den neuen Ort kam, hat es mich verwirrt, dass der Gletscher wieder rauf ist, bevor er wieder runter ging. Es hat so ausgesehen, aber vielleicht war es eine art Wiederholung. Sonst war die Simulation des Gletscherschmelzens und der Darstellung sehr eindrücklich, auch wegen dem Wolkenhimmel, weil das die vergangene Zeit dargestellt hat. Und wegen den Standpunkten, sie waren ja schon gut signalisiert, aber die Perspektivenänderung hat mich am Anfang doch etwas verwirrt.","Dass ich den Aletsch-Gletscher gern mal wieder in echt sehen möchte, bevor er wegschmilzt. Ich habe ihn auch schon mal gesehen. Aber das wird einem einfach nochmal stärker bewusst, wie der Gletscher abnimmt. Was mich schon noch überrascht hat, waren die Seen, die simuliert wurden. Dass man sich vorstellt, was darunter liegt, was kommt da hervor. Ja und wie verändert sich die Landschaft dadurch, positiv und negativ.","Ich glaube, ich bin mir dem Klimawandel sonst schon sehr bewusst. Der Vorteil dieser Simulation ist, dass man sich der Veränderung bewusst wird, und das gerade simuliert bekommt. Sonst kann man das ja nie so sehen. Man sieht es immer nur statisch. Und weil der Gletscher so massiv ist, hat man das Gefühl, dass nicht viel passieren kann. Dadurch, dass man den Gletscher in Bewegung sehen kann, steigt sich das Bewusstsein vielleicht. Ich habe das Gefühl, dass man das im VR gut simulieren kann, aber ich denke, dafür würden auch Fotographien ausreichen. Obwohl, durch die Bewegung wird einem das schon noch viel mehr bewusst.",1,1,1,0,0,0,1,1,0,0,0,77.4615384615385
51682376,1,-0.01891246718916524,2019-06-12T08:39:12Z,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,4,4,1,4,4,1,1,5,2,2,2,5,4,1,4,2,3,3,2,4,2,5,3,4,1,4,1,4,1,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,6,0,3,6,7,1,6,6,6,7,7,1,7,2,6,4,1,7,3,2,5,6,1,3,5,2,3,7,6,7,6,7,3,3,NA,1987,8.323796296296296,b,"Ehm ich fand es Overall mega eindrücklich. Das erste, dass mir aufgefallen ist, ist natürlich eben: Du schaust dich um im Raum und du siehst deine Hände nicht. Aber du gehst kurz schauen: Wo ist der Rand der Plattform? Das war das erste Gefühl von Safety. Wo stehe ich, wo bin ich. Sich zurecht zu finden. Was mir aufgefallen ist: Dadurch, dass die Stimme gut war, und die Stimme war sehr angenehm, durch den Akzent hatte ich wie das Gefühl, dass du zuhören musst. Ich fand die Umgebung aber so eindrücklich, dass du dort stehst und den Gletscher siehst und so. Dass wo nacher die Frage kam über den Zeitraum. Die ganze Animation ist so eindrücklich. Also, ich muss es so sagen: Es geht nicht darum, wie eindrücklich die Animation war, sondern wie eindrücklich der Inhalt der Animation war. So der Rückgang. Der hat mich so geflasht. So, was passiert. Und jetzt nicht, wie es grafisch gemacht war, das find ich gar nicht so wichtig. Es gibt sicher Sachen, die grafisch viel genauer, viel perfekter und adequater gemacht sind. Aber es hatte gute Anhaltspunkte; Wo du bist, es hat dich gut durch die Welt geführt. Ich fand, es ging extrem schnell, bis ich alles um mich rum vergessen habe. Durch die Plattform fühlst du dich so save, du kannst dich abstützen und runterschauen und so. Und ich fand es sehr sehr wahnsinnig krass verdeutlicht, was der Prozess ist. Was passiert. Und hat die Message eigentlich sehr gut unterstrichen. Der Rückgang und so. Viel ist dann auch meine Erwartungshaltung und so. Also, dass ich dann ab dem zweiten Sprung, du weisst dann eigentlich, wass dann passiert und was auf dich zukommt. Ich hab dann gar nicht mehr zugehört, in welchem Jahr wir jetzt sind. Ausser dem Schlussjahr. Wo du denkst: HOLY. Wegen dem paar Grad. Dann ist er einfach weg. Eben. Ich war schon mal dort. Darum find ich,  auch wenn es jetzt grafisch nicht WOW war, ist wie du weisst wo du bist, wenn du mal dort warst. Und du hast es gleich wieder vor dir, wenn du das siehst. Und ich glaube, dann ist es nochmals so eindrücklich. Und ich hab mir dann überlegt: Wenn es wirklich um 4 Grad raufgeht, dann erleb ich das noch. Und das war mega painful.","Ich glaube, im Kern sind es zwei Sachen. Das eine ist mega brutal, was passiert. Und der Gletscher ist nur ein Symbol für die Veränderungen in der Umwelt. Respektive vor allem der Klimawandel. Ich finde es grad sehr überwältigend von dem Eindruck. Man hat es schon immer so ein wenig im Hinterkopf, umweltfreundlich zu leben. Ich und meine Freundin zu Hause versuchen zum Beispiel plastikfrei zu leben. Im Migros packen wir zum Beispiel direkt alles aus und lassen die Verpackung dort. Wir sagen ihnen jedes mal, ihr müsstet das eigentlich nicht einpacken. Veruschen, möglichst viel wieder zu verwerten. Das ist so unser Ding. Also nicht extrem, aber wir schauen darauf. Das coole ist, du musst dir nicht vorstellen, was passiert, sondern es wird dir hier direkt als input geliefert und du kannst es sehen. Es ist wahnsinn, was das jetzt auslöst an Bewusstsein. An Veränderung im Gedankengang und an Verinnerlichung. Das führt direkt zum zweiten Punkt: ich finde es ein mega cooles, starkes Instrument. Also ich denke gerade vor meinem Hintergrund, Produkt, was kannst Du machen damit. Ich weiss auch nicht. Man kann es spielerisch benützen, oder für Ausstellungen, und auch um etwas sehr platisch darzustellen, weil es einen so starken Eindruck erzeugt. Aber auch bei Anliegen zu Klimathemen und anderen Themen, die man der breiteren Masse näher bringen möchte. Auch, um so ein Gefühl auszulösen. Beim Klimawandel ist es so, dass man immer darüber spricht. Und viele Leute sagen: Ja ja, das ist doch gar nicht so schlimm. Und wenn du das mal siehst, hast du einen ganz anderen Eindruck. Es ist ein starkes Instrument. Auf der anderen Seite ist das auch ein Risiko, weil du auch ganz andere Dinge darstellen kannst. Es kann auch zur Manipulation verwendet werden. Mir ist es wichtig, dass die Aussagen wissenschaftlich fundiert und abgesichert sind. In Zeiten von Internet-Propaganda und so könnte das auch beängstigende Auswirkungen haben. Viel Potential mit vielen Risiken. Es bräuchte natürlich auch viel Know-How, es ist tricky und aufwändig. Man sollte die Risiken einfach nicht vernachlässigen.","Ich finde das schwierig zum Abwägen. Aus meinem Präventionshintergrund weiss ich, dass das beste Mittel für Veränderung und Umstellung ist ein neues Erlebnis. Für mich war das ein neues Erlebnis. Und das Ausmass hat mich mega schockiert. Obwohl ich einer bin, der sich dieser Thematik eigentlich schon bewusst war. Es gibt zum Beispiel kleine Dinge, wo ich denke, das ist ja nicht so schlimm. Zum VBeispiel: Meine Freundin ist hard-core, wenn es darum geht, Alufolie zu recyclen. Das schmeisst sie nicht in den Abfall, sondern recyclet es. Bis jetzt hab ich das einfach immer schnell weggeschmissen. Und jetzt denke ich, dass das etwas ist, dass ich ändern könnte. Auch wenn es etwas sehr kleines ist. Und das werd ich jetzt sicher nicht mehr machen. Aber ich werde jetzt nicht Richtung wwf oder Greenpeace marschieren. Da bin ich jetzt nicht so der Typ dafür, dass ich Aktivist werde. Da müsste schon mehr passieren. Aber für den Alltag, ich glaube darauf wird es einen Einfluss nehmen. Mein erster Einfall war gerade, also ein guter Bekannter ist Umweltnaturwissenschafter,  jedes Jahr machen wir eine Spendenaktion für Weihnachten, weil wir uns keine Geschenke mehr machen. Zum Beispiel ein Schaf für eine Familie, die sich davon ernähren kann. Und letztes Jahr gings an die Winterhilfe. Dieses Jahr gehts vielleicht an den Klimaschutz. Das sind so die kleinen Dinge, die mir gerade in den Sinn kommen.",1,0,1,1,0,0,1,0,0,0,0,103.24
51682376,2,0.44643415432483835,2019-06-20T16:25:28Z,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,4,4,4,1,5,4,1,1,5,2,1,1,5,4,1,5,4,4,4,1,5,1,5,3,5,1,5,1,5,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,6,0,3,6,7,1,6,6,6,7,7,1,7,2,6,4,1,7,3,2,5,6,1,3,5,2,3,7,6,7,6,7,3,3,NA,1987,8.323796296296296,b,"Ehm ich fand es Overall mega eindrücklich. Das erste, dass mir aufgefallen ist, ist natürlich eben: Du schaust dich um im Raum und du siehst deine Hände nicht. Aber du gehst kurz schauen: Wo ist der Rand der Plattform? Das war das erste Gefühl von Safety. Wo stehe ich, wo bin ich. Sich zurecht zu finden. Was mir aufgefallen ist: Dadurch, dass die Stimme gut war, und die Stimme war sehr angenehm, durch den Akzent hatte ich wie das Gefühl, dass du zuhören musst. Ich fand die Umgebung aber so eindrücklich, dass du dort stehst und den Gletscher siehst und so. Dass wo nacher die Frage kam über den Zeitraum. Die ganze Animation ist so eindrücklich. Also, ich muss es so sagen: Es geht nicht darum, wie eindrücklich die Animation war, sondern wie eindrücklich der Inhalt der Animation war. So der Rückgang. Der hat mich so geflasht. So, was passiert. Und jetzt nicht, wie es grafisch gemacht war, das find ich gar nicht so wichtig. Es gibt sicher Sachen, die grafisch viel genauer, viel perfekter und adequater gemacht sind. Aber es hatte gute Anhaltspunkte; Wo du bist, es hat dich gut durch die Welt geführt. Ich fand, es ging extrem schnell, bis ich alles um mich rum vergessen habe. Durch die Plattform fühlst du dich so save, du kannst dich abstützen und runterschauen und so. Und ich fand es sehr sehr wahnsinnig krass verdeutlicht, was der Prozess ist. Was passiert. Und hat die Message eigentlich sehr gut unterstrichen. Der Rückgang und so. Viel ist dann auch meine Erwartungshaltung und so. Also, dass ich dann ab dem zweiten Sprung, du weisst dann eigentlich, wass dann passiert und was auf dich zukommt. Ich hab dann gar nicht mehr zugehört, in welchem Jahr wir jetzt sind. Ausser dem Schlussjahr. Wo du denkst: HOLY. Wegen dem paar Grad. Dann ist er einfach weg. Eben. Ich war schon mal dort. Darum find ich,  auch wenn es jetzt grafisch nicht WOW war, ist wie du weisst wo du bist, wenn du mal dort warst. Und du hast es gleich wieder vor dir, wenn du das siehst. Und ich glaube, dann ist es nochmals so eindrücklich. Und ich hab mir dann überlegt: Wenn es wirklich um 4 Grad raufgeht, dann erleb ich das noch. Und das war mega painful.","Ich glaube, im Kern sind es zwei Sachen. Das eine ist mega brutal, was passiert. Und der Gletscher ist nur ein Symbol für die Veränderungen in der Umwelt. Respektive vor allem der Klimawandel. Ich finde es grad sehr überwältigend von dem Eindruck. Man hat es schon immer so ein wenig im Hinterkopf, umweltfreundlich zu leben. Ich und meine Freundin zu Hause versuchen zum Beispiel plastikfrei zu leben. Im Migros packen wir zum Beispiel direkt alles aus und lassen die Verpackung dort. Wir sagen ihnen jedes mal, ihr müsstet das eigentlich nicht einpacken. Veruschen, möglichst viel wieder zu verwerten. Das ist so unser Ding. Also nicht extrem, aber wir schauen darauf. Das coole ist, du musst dir nicht vorstellen, was passiert, sondern es wird dir hier direkt als input geliefert und du kannst es sehen. Es ist wahnsinn, was das jetzt auslöst an Bewusstsein. An Veränderung im Gedankengang und an Verinnerlichung. Das führt direkt zum zweiten Punkt: ich finde es ein mega cooles, starkes Instrument. Also ich denke gerade vor meinem Hintergrund, Produkt, was kannst Du machen damit. Ich weiss auch nicht. Man kann es spielerisch benützen, oder für Ausstellungen, und auch um etwas sehr platisch darzustellen, weil es einen so starken Eindruck erzeugt. Aber auch bei Anliegen zu Klimathemen und anderen Themen, die man der breiteren Masse näher bringen möchte. Auch, um so ein Gefühl auszulösen. Beim Klimawandel ist es so, dass man immer darüber spricht. Und viele Leute sagen: Ja ja, das ist doch gar nicht so schlimm. Und wenn du das mal siehst, hast du einen ganz anderen Eindruck. Es ist ein starkes Instrument. Auf der anderen Seite ist das auch ein Risiko, weil du auch ganz andere Dinge darstellen kannst. Es kann auch zur Manipulation verwendet werden. Mir ist es wichtig, dass die Aussagen wissenschaftlich fundiert und abgesichert sind. In Zeiten von Internet-Propaganda und so könnte das auch beängstigende Auswirkungen haben. Viel Potential mit vielen Risiken. Es bräuchte natürlich auch viel Know-How, es ist tricky und aufwändig. Man sollte die Risiken einfach nicht vernachlässigen.","Ich finde das schwierig zum Abwägen. Aus meinem Präventionshintergrund weiss ich, dass das beste Mittel für Veränderung und Umstellung ist ein neues Erlebnis. Für mich war das ein neues Erlebnis. Und das Ausmass hat mich mega schockiert. Obwohl ich einer bin, der sich dieser Thematik eigentlich schon bewusst war. Es gibt zum Beispiel kleine Dinge, wo ich denke, das ist ja nicht so schlimm. Zum VBeispiel: Meine Freundin ist hard-core, wenn es darum geht, Alufolie zu recyclen. Das schmeisst sie nicht in den Abfall, sondern recyclet es. Bis jetzt hab ich das einfach immer schnell weggeschmissen. Und jetzt denke ich, dass das etwas ist, dass ich ändern könnte. Auch wenn es etwas sehr kleines ist. Und das werd ich jetzt sicher nicht mehr machen. Aber ich werde jetzt nicht Richtung wwf oder Greenpeace marschieren. Da bin ich jetzt nicht so der Typ dafür, dass ich Aktivist werde. Da müsste schon mehr passieren. Aber für den Alltag, ich glaube darauf wird es einen Einfluss nehmen. Mein erster Einfall war gerade, also ein guter Bekannter ist Umweltnaturwissenschafter,  jedes Jahr machen wir eine Spendenaktion für Weihnachten, weil wir uns keine Geschenke mehr machen. Zum Beispiel ein Schaf für eine Familie, die sich davon ernähren kann. Und letztes Jahr gings an die Winterhilfe. Dieses Jahr gehts vielleicht an den Klimaschutz. Das sind so die kleinen Dinge, die mir gerade in den Sinn kommen.",1,0,1,1,0,0,1,0,0,0,0,106.075471698113
23365757,1,0.2593553780614706,2019-06-13T22:36:12Z,1,3,3,1,2,2,2,2,1,3,2,2,4,1,3,4,2,4,4,4,4,2,1,5,2,2,3,4,4,1,3,4,4,3,4,3,4,4,5,3,2,5,1,2,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,1,3,5,7,1,6,6,3,5,5,2,6,5,5,2,6,5,5,3,4,1,1,2,5,3,4,7,7,7,5,7,1,2,NA,1986,5.4196875,c,Ehm also ich fand es sehr entspannend. Ich fand es schön. Ja. Also man hat sich wirklich dort gefühlt. Ja. Also es war einfach so ruhig und entspannt. Sehr echt. Also nicht wirklich echt. Aber man konnte sich gut darauf einlassen.,"Dass ich mal den Aletsch-Gletscher besuchen sollte. Mal anschauen. Und ich fand die Visualisierung sehr gut. Man weiss ja, dass die Gletscher zurückgehen. Aber wenn man das so sieht, schmerzt es schon etwas.","Nicht mehr, als ich so wie so schon versuche. Mich dünkt es, ich versuche es mir das so wie so schon bewusst zu machen. Ich habe nicht das Gefühl, dass ich es jetzt mehr machen werde, aber es ist sicher gut, immer wieder darauf hingewiesen zu werden. Immer wieder daran gestossen zu werden und sich wirklich zu überlegen, was das Verhalten für Auswirkungen hat. Und das find ich noch gut, wenn man es so wirklich geht. So ist es ein wenig echter als wenn man einfach diskutiert und sagt, irgendwo geht ein Gletscher weg.",1,0,1,0,1,0,1,0,0,0,0,77.2790697674419
23365757,2,0.12401028226167257,2019-06-19T08:40:33Z,2,2,2,1,1,2,2,2,1,2,2,1,4,1,3,4,4,4,4,4,4,2,2,4,2,2,3,4,4,2,4,4,4,3,3,3,4,4,4,4,2,5,2,3,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,1,3,5,7,1,6,6,3,5,5,2,6,5,5,2,6,5,5,3,4,1,1,2,5,3,4,7,7,7,5,7,1,2,NA,1986,5.4196875,c,Ehm also ich fand es sehr entspannend. Ich fand es schön. Ja. Also man hat sich wirklich dort gefühlt. Ja. Also es war einfach so ruhig und entspannt. Sehr echt. Also nicht wirklich echt. Aber man konnte sich gut darauf einlassen.,"Dass ich mal den Aletsch-Gletscher besuchen sollte. Mal anschauen. Und ich fand die Visualisierung sehr gut. Man weiss ja, dass die Gletscher zurückgehen. Aber wenn man das so sieht, schmerzt es schon etwas.","Nicht mehr, als ich so wie so schon versuche. Mich dünkt es, ich versuche es mir das so wie so schon bewusst zu machen. Ich habe nicht das Gefühl, dass ich es jetzt mehr machen werde, aber es ist sicher gut, immer wieder darauf hingewiesen zu werden. Immer wieder daran gestossen zu werden und sich wirklich zu überlegen, was das Verhalten für Auswirkungen hat. Und das find ich noch gut, wenn man es so wirklich geht. So ist es ein wenig echter als wenn man einfach diskutiert und sagt, irgendwo geht ein Gletscher weg.",1,0,1,0,1,0,1,0,0,0,0,75.72
41785249,1,-0.7339909604225452,2019-06-25T15:42:14Z,2,1,1,2,1,1,1,2,1,1,1,1,2,3,2,1,4,4,4,4,4,3,2,5,4,2,1,2,3,1,4,4,4,3,2,3,3,5,5,5,1,4,2,1,1,4,4,4,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,33,6,0,2,6,3,1,6,5,6,6,6,1,6,3,4,3,2,6,2,3,3,2,1,2,2,7,2,6,7,6,6,6,4,1,NA,1986,21.788506944444446,b,"Keine Ahnung. Es war gut gemacht. Mir fiel auf, ich habe mich darauf geachtet, wo Details sind und wo nicht. Wenn du zum Beispiel die Steine genau angeschaut hast, sind sie nicht herausgestanden, das habe ich auch so erwartet. Trotzdem hat es sehr realistisch ausgesehen.","Ich fand es noch angenehm. Ich war noch nicht so oft im VR-Raum. Es war noch easy. Ja und schon noch eindrücklich. Auch ganz am Schluss, wo der Gletscher ganz weg war, das war schon etwas surreal, wegen der Timelapse. Aber ich würde jetzt nicht sagen, dass mich das kalt liess. Aber ich würde auch nicht sagen, dass ich jetzt voll den Horror habe deswegen.","Es geht. Das hat aber auch damit zu tun, dass ich.. Der Gletscher ist für mich auch nicht so.. Er ist halt ein Indiz für den Klimawandel, und der Klimawandel ist sehr problematisch. Aber dass der Gletscher nicht mehr hier ist, stört mich eigentlich nicht so sehr. Ist mir eigentlich egal. Er sieht hat cool aus, aber naja. Mich stört viel mehr das Artensterben, dass die Luft schlecht wird, dass es extreme Wetter-Ereignisse gibt an vielen Orten auf der Welt, dass meine Urgrosskinder so eine schlechte Welt erben werden. Aber dass der Gletscher schmilzt ist mir eigentlich egal. Grundsätzlich. Deshalb, es geht so.",1,0,1,0,1,0,1,0,0,0,0,57.6764705882353
41785249,2,-0.7592672965587142,2019-07-17T10:37:41Z,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,3,4,2,4,3,3,2,5,4,2,2,3,3,1,4,5,4,2,2,4,3,5,2,4,1,3,2,4,1,4,3,4,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,1,33,6,0,2,6,3,1,6,5,6,6,6,1,6,3,4,3,2,6,2,3,3,2,1,2,2,7,2,6,7,6,6,6,4,1,NA,1986,21.788506944444446,b,"Keine Ahnung. Es war gut gemacht. Mir fiel auf, ich habe mich darauf geachtet, wo Details sind und wo nicht. Wenn du zum Beispiel die Steine genau angeschaut hast, sind sie nicht herausgestanden, das habe ich auch so erwartet. Trotzdem hat es sehr realistisch ausgesehen.","Ich fand es noch angenehm. Ich war noch nicht so oft im VR-Raum. Es war noch easy. Ja und schon noch eindrücklich. Auch ganz am Schluss, wo der Gletscher ganz weg war, das war schon etwas surreal, wegen der Timelapse. Aber ich würde jetzt nicht sagen, dass mich das kalt liess. Aber ich würde auch nicht sagen, dass ich jetzt voll den Horror habe deswegen.","Es geht. Das hat aber auch damit zu tun, dass ich.. Der Gletscher ist für mich auch nicht so.. Er ist halt ein Indiz für den Klimawandel, und der Klimawandel ist sehr problematisch. Aber dass der Gletscher nicht mehr hier ist, stört mich eigentlich nicht so sehr. Ist mir eigentlich egal. Er sieht hat cool aus, aber naja. Mich stört viel mehr das Artensterben, dass die Luft schlecht wird, dass es extreme Wetter-Ereignisse gibt an vielen Orten auf der Welt, dass meine Urgrosskinder so eine schlechte Welt erben werden. Aber dass der Gletscher schmilzt ist mir eigentlich egal. Grundsätzlich. Deshalb, es geht so.",1,0,1,0,1,0,1,0,0,0,0,62.8205128205128
39681691,1,-0.4200404768906238,2019-07-01T09:37:27Z,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,4,4,2,5,3,2,1,5,2,1,4,5,3,1,5,4,1,3,2,4,3,4,1,4,2,5,1,3,1,4,1,4,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,32,6,0,2,7,6,2,1,7,7,6,7,6,6,2,6,3,6,7,1,1,2,2,1,1,2,6,3,7,7,7,5,7,4,2,NA,1987,11.15738425925926,a,"Einerseits fand ich die grafische Umsetzung schön, die Polygone und Oberflächen. Das ästhetische. Es ist immer schön, wenn man sich so umschauen kann. Es war auch hilfreich, dass es diese Fähnchen hatte, das half bei der Orientierung.","Das Klima drängt. Ich habe nur kurz ausgerechnet. Meine Tochter ist 7, in 70 Jahren ist sie eine alte Frau. Dann gibts den Gletscher nicht mehr. Wahrscheinlich. Es wird ihr Leben begleiten.","Muss ich hier etwas unterschreiben? Nein, ich mache mir viele Gedanken über Konsum, und wohin wir in die Ferien fahren. Vielleicht nach dem Doktorat. Ich hätte gerne eine App, die ausrechnet, wie schlimm jetzt etwas ist. Weil es ist so schwierig, das abzuschätzen. So viele Faktoren, die mitspielen. Es ist gar nicht klar, ob jetzt Erdbeeren aus Spanien besser oder schlechter sind, als Erdbeeren, die hier beheizt hergestellt wurden. Ich finde es schwierig zu wissen, was besser ist.",1,0,1,0,0,1,0,0,0,0,0,74.8571428571429
39681691,2,0.3371731262351592,2019-07-12T13:24:05Z,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,4,2,5,4,3,1,5,3,1,1,5,3,1,5,4,4,4,3,5,3,5,2,4,1,1,1,4,1,5,2,4,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,32,6,0,2,7,6,2,1,7,7,6,7,6,6,2,6,3,6,7,1,1,2,2,1,1,2,6,3,7,7,7,5,7,4,2,NA,1987,11.15738425925926,a,"Einerseits fand ich die grafische Umsetzung schön, die Polygone und Oberflächen. Das ästhetische. Es ist immer schön, wenn man sich so umschauen kann. Es war auch hilfreich, dass es diese Fähnchen hatte, das half bei der Orientierung.","Das Klima drängt. Ich habe nur kurz ausgerechnet. Meine Tochter ist 7, in 70 Jahren ist sie eine alte Frau. Dann gibts den Gletscher nicht mehr. Wahrscheinlich. Es wird ihr Leben begleiten.","Muss ich hier etwas unterschreiben? Nein, ich mache mir viele Gedanken über Konsum, und wohin wir in die Ferien fahren. Vielleicht nach dem Doktorat. Ich hätte gerne eine App, die ausrechnet, wie schlimm jetzt etwas ist. Weil es ist so schwierig, das abzuschätzen. So viele Faktoren, die mitspielen. Es ist gar nicht klar, ob jetzt Erdbeeren aus Spanien besser oder schlechter sind, als Erdbeeren, die hier beheizt hergestellt wurden. Ich finde es schwierig zu wissen, was besser ist.",1,0,1,0,0,1,0,0,0,0,0,79.1515151515152
