id,time,StartDate,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,age,edu,sex,pol,ipq1,ipq2,ipq3,ipq4,ipq5,ipq6,ipq7,ipq8,ipq9,ipq10,ipq11,ipq12,ipq13,ipq14,sod_1,sod_2,sod_3,sod_4,sod_5,sod_6,sod_7,sod_8,sod_9,vr_exp,vr_eval1,vr_eval2,vr_eval3,vr_eval4,vr_eval5,span,seen,sex_3_TEXT - Topics,yearOfBirth
00119636,1,2019-06-24 16:33:19,1,1,1,1,1,1,2,1,1,4,1,1,4,1,2,2,5,2,4,5,4,1,1,4,2,2,4,5,4,1,4,2,4,4,4,4,4,2,2,4,1,4,1,4,1,5,2,4,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,40,6,1,3,4,5,5,3,2,5,6,5,3,5,5,3,2,2,5,2,5,2,4,6,3,1,3,4,3,5,6,5,5,4,3,NA,1979
00119636,2,2019-07-15 14:27:10,1,1,1,1,1,1,2,1,1,4,1,1,4,1,2,2,4,3,4,5,4,2,2,5,2,1,2,4,5,1,4,4,4,4,2,4,3,4,2,5,2,3,1,4,1,4,2,5,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,40,6,1,3,4,5,5,3,2,5,6,5,3,5,5,3,2,2,5,2,5,2,4,6,3,1,3,4,3,5,6,5,5,4,3,NA,1979
05949000,1,2019-06-12 08:39:12,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,4,4,1,4,4,1,1,5,2,2,2,5,4,1,4,2,3,3,2,4,2,5,3,4,1,4,1,4,1,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,6,0,3,6,7,1,6,6,6,7,7,1,7,2,6,4,1,7,3,2,5,6,1,3,5,2,3,7,6,7,6,7,3,3,NA,1987
05949000,2,2019-06-20 16:25:28,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,4,4,4,1,5,4,1,1,5,2,1,1,5,4,1,5,4,4,4,1,5,1,5,3,5,1,5,1,5,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,6,0,3,6,7,1,6,6,6,7,7,1,7,2,6,4,1,7,3,2,5,6,1,3,5,2,3,7,6,7,6,7,3,3,NA,1987
06218481,1,2019-06-13 22:36:12,1,3,3,1,2,2,2,2,1,3,2,2,4,1,3,4,2,4,4,4,4,2,1,5,2,2,3,4,4,1,3,4,4,3,4,3,4,4,5,3,2,5,1,2,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,1,3,5,7,1,6,6,3,5,5,2,6,5,5,2,6,5,5,3,4,1,1,2,5,3,4,7,7,7,5,7,1,2,NA,1986
06218481,2,2019-06-19 08:40:33,2,2,2,1,1,2,2,2,1,2,2,1,4,1,3,4,4,4,4,4,4,2,2,4,2,2,3,4,4,2,4,4,4,3,3,3,4,4,4,4,2,5,2,3,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,1,3,5,7,1,6,6,3,5,5,2,6,5,5,2,6,5,5,3,4,1,1,2,5,3,4,7,7,7,5,7,1,2,NA,1986
06643977,1,2019-06-25 15:42:14,2,1,1,2,1,1,1,2,1,1,1,1,2,3,2,1,4,4,4,4,4,3,2,5,4,2,1,2,3,1,4,4,4,3,2,3,3,5,5,5,1,4,2,1,1,4,4,4,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,33,6,0,2,6,3,1,6,5,6,6,6,1,6,3,4,3,2,6,2,3,3,2,1,2,2,7,2,6,7,6,6,6,4,1,NA,1986
06643977,2,2019-07-17 10:37:41,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,3,4,2,4,3,3,2,5,4,2,2,3,3,1,4,5,4,2,2,4,3,5,2,4,1,3,2,4,1,4,3,4,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,1,33,6,0,2,6,3,1,6,5,6,6,6,1,6,3,4,3,2,6,2,3,3,2,1,2,2,7,2,6,7,6,6,6,4,1,NA,1986
07114687,1,2019-07-01 09:37:27,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,4,4,2,5,3,2,1,5,2,1,4,5,3,1,5,4,1,3,2,4,3,4,1,4,2,5,1,3,1,4,1,4,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,32,6,0,2,7,6,2,1,7,7,6,7,6,6,2,6,3,6,7,1,1,2,2,1,1,2,6,3,7,7,7,5,7,4,2,NA,1987
07114687,2,2019-07-12 13:24:05,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,4,2,5,4,3,1,5,3,1,1,5,3,1,5,4,4,4,3,5,3,5,2,4,1,1,1,4,1,5,2,4,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,32,6,0,2,7,6,2,1,7,7,6,7,6,6,2,6,3,6,7,1,1,2,2,1,1,2,6,3,7,7,7,5,7,4,2,NA,1987
09214883,1,2019-05-10 14:12:45,2,2,1,2,3,2,2,1,1,2,3,1,4,1,2,4,4,4,4,3,4,2,1,4,1,3,2,4,4,4,3,4,4,3,3,4,4,4,5,5,3,5,2,3,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,6,0,2,3,3,5,5,4,5,3,5,5,5,3,4,2,3,7,1,7,3,1,2,1,1,7,2,6,6,7,4,7,5,3,NA,1988
09214883,2,2019-06-19 12:26:33,1,2,3,1,3,3,3,2,1,3,3,2,2,3,1,4,3,3,4,3,4,3,2,4,2,2,1,5,4,4,3,3,4,4,2,4,3,5,5,5,4,4,1,4,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,6,0,2,3,3,5,5,4,5,3,5,5,5,3,4,2,3,7,1,7,3,1,2,1,1,7,2,6,6,7,4,7,5,3,NA,1988
09562547,1,2019-05-30 08:43:20,1,1,1,1,3,1,1,1,1,1,1,1,5,1,1,3,5,3,4,5,4,1,1,5,1,1,5,5,5,1,4,4,4,1,4,3,4,4,3,4,1,5,2,4,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,6,0,4,4,4,1,6,4,5,1,1,7,5,3,3,4,1,5,6,1,5,6,2,7,7,2,2,7,5,7,5,7,4,3,NA,1985
09562547,2,2019-06-26 17:19:46,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,4,4,4,4,1,1,5,1,1,4,4,4,1,4,4,4,3,4,5,4,5,4,4,1,5,1,4,3,5,3,3,2,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,34,6,0,4,4,4,1,6,4,5,1,1,7,5,3,3,4,1,5,6,1,5,6,2,7,7,2,2,7,5,7,5,7,4,3,NA,1985
09733551,1,2019-05-21 22:57:33,4,3,4,4,3,4,3,3,3,4,2,2,5,4,2,2,4,4,5,4,4,2,2,5,4,1,4,5,4,2,4,2,4,3,4,3,4,3,4,3,3,5,4,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,0,4,6,2,3,7,6,7,6,6,2,6,3,4,2,2,6,2,6,2,6,6,5,2,6,1,7,5,7,5,6,4,3,NA,1987
