time,value,Date
08:53:37,74,10.05.19
08:53:42,86,10.05.19
08:53:57,86,10.05.19
08:54:12,86,10.05.19
08:54:27,86,10.05.19
08:54:32,90,10.05.19
08:54:47,90,10.05.19
08:55:02,109,10.05.19
08:55:17,109,10.05.19
08:55:32,113,10.05.19
08:55:37,112,10.05.19
08:55:52,112,10.05.19
08:56:07,114,10.05.19
08:56:22,114,10.05.19
08:56:32,112,10.05.19
08:56:47,112,10.05.19
08:57:02,117,10.05.19
08:57:17,117,10.05.19
08:57:32,116,10.05.19
08:57:37,117,10.05.19
08:57:52,117,10.05.19
08:58:02,118,10.05.19
08:58:07,120,10.05.19
08:58:14,120,10.05.19
08:58:29,120,10.05.19
08:58:34,123,10.05.19
08:58:39,126,10.05.19
08:58:54,126,10.05.19
08:59:04,125,10.05.19
08:59:09,126,10.05.19
08:59:19,126,10.05.19
08:59:29,126,10.05.19
08:59:34,128,10.05.19
08:59:39,128,10.05.19
08:59:44,128,10.05.19
08:59:59,128,10.05.19
09:00:14,128,10.05.19
09:00:29,128,10.05.19
09:00:34,125,10.05.19
09:00:39,122,10.05.19
09:00:44,126,10.05.19
09:00:49,127,10.05.19
09:00:54,132,10.05.19
09:00:59,135,10.05.19
09:01:04,136,10.05.19
09:01:09,142,10.05.19
09:01:14,145,10.05.19
09:01:19,147,10.05.19
09:01:34,147,10.05.19
09:01:49,147,10.05.19
09:01:51,147,10.05.19
09:01:56,146,10.05.19
09:02:11,146,10.05.19
09:02:16,146,10.05.19
09:02:31,185,10.05.19
09:02:36,200,10.05.19
09:02:41,187,10.05.19
09:02:46,177,10.05.19
09:02:51,167,10.05.19
09:02:56,159,10.05.19
09:03:01,154,10.05.19
09:03:06,141,10.05.19
09:03:11,134,10.05.19
09:03:16,133,10.05.19
09:03:31,132,10.05.19
09:03:36,130,10.05.19
09:03:42,132,10.05.19
09:03:52,169,10.05.19
09:03:57,170,10.05.19
09:04:07,169,10.05.19
09:04:12,166,10.05.19
09:04:17,162,10.05.19
09:04:22,157,10.05.19
09:04:27,138,10.05.19
09:04:32,131,10.05.19
09:04:37,130,10.05.19
09:04:42,126,10.05.19
09:04:47,108,10.05.19
09:04:52,103,10.05.19
09:05:02,100,10.05.19
09:05:07,96,10.05.19
09:05:12,91,10.05.19
09:05:17,84,10.05.19
09:05:23,75,10.05.19
09:05:28,73,10.05.19
09:05:43,77,10.05.19
09:05:48,79,10.05.19
09:05:53,82,10.05.19
09:05:58,87,10.05.19
09:06:03,136,10.05.19
09:06:08,146,10.05.19
09:06:13,155,10.05.19
09:06:18,164,10.05.19
09:06:23,172,10.05.19
09:06:28,176,10.05.19
09:06:33,179,10.05.19
09:06:38,181,10.05.19
09:06:43,180,10.05.19
09:06:48,179,10.05.19
09:06:53,175,10.05.19
09:06:58,88,10.05.19
09:07:03,65,10.05.19
09:07:08,66,10.05.19
09:07:13,74,10.05.19
09:07:18,82,10.05.19
09:07:23,86,10.05.19
09:07:28,92,10.05.19
09:07:33,100,10.05.19
09:07:38,101,10.05.19
09:07:53,100,10.05.19
09:08:03,100,10.05.19
09:08:18,100,10.05.19
09:08:33,100,10.05.19
09:08:48,100,10.05.19
09:09:03,100,10.05.19
09:09:13,99,10.05.19
09:09:28,99,10.05.19
09:09:38,101,10.05.19
09:09:43,99,10.05.19
09:09:53,100,10.05.19
09:09:58,105,10.05.19
09:10:03,106,10.05.19
09:10:10,105,10.05.19
09:10:15,106,10.05.19
09:10:20,104,10.05.19
09:10:25,106,10.05.19
09:10:30,105,10.05.19
09:10:35,112,10.05.19
09:10:40,114,10.05.19
09:10:45,113,10.05.19
09:10:55,114,10.05.19
09:11:05,98,10.05.19
09:11:10,101,10.05.19
09:11:15,100,10.05.19
09:11:20,99,10.05.19
09:11:35,99,10.05.19
09:11:50,99,10.05.19
09:11:55,96,10.05.19
09:12:00,93,10.05.19
09:12:05,95,10.05.19
09:12:10,96,10.05.19
09:12:25,96,10.05.19
09:12:40,95,10.05.19
09:12:45,94,10.05.19
09:12:50,95,10.05.19
09:12:55,95,10.05.19
09:13:00,96,10.05.19
09:13:05,97,10.05.19
09:13:11,101,10.05.19
09:13:16,104,10.05.19
