"time","value","Date"
"00:00:09","82","2019-05-10"
"00:00:24","82","2019-05-10"
"00:00:39","82","2019-05-10"
"00:00:54","82","2019-05-10"
"00:00:57","82","2019-05-10"
"00:01:12","82","2019-05-10"
"00:01:27","82","2019-05-10"
"00:01:42","82","2019-05-10"
"00:01:57","82","2019-05-10"
"00:02:12","82","2019-05-10"
"00:02:27","82","2019-05-10"
"00:02:42","82","2019-05-10"
"00:02:57","82","2019-05-10"
"00:03:12","82","2019-05-10"
"00:03:27","82","2019-05-10"
"00:03:42","82","2019-05-10"
"00:03:57","82","2019-05-10"
"00:04:12","82","2019-05-10"
"00:04:27","82","2019-05-10"
"00:04:42","82","2019-05-10"
"00:04:57","82","2019-05-10"
"00:05:12","82","2019-05-10"
"00:05:27","82","2019-05-10"
"00:05:42","82","2019-05-10"
"00:05:57","82","2019-05-10"
"00:06:12","82","2019-05-10"
"00:06:27","82","2019-05-10"
"00:06:42","82","2019-05-10"
"00:06:57","82","2019-05-10"
"00:07:12","82","2019-05-10"
"00:07:27","82","2019-05-10"
"00:07:31","82","2019-05-10"
"00:07:46","82","2019-05-10"
"00:08:01","82","2019-05-10"
"00:08:16","82","2019-05-10"
"00:08:31","82","2019-05-10"
"00:08:46","82","2019-05-10"
"00:09:01","82","2019-05-10"
"00:09:16","82","2019-05-10"
"00:09:31","82","2019-05-10"
"00:09:46","82","2019-05-10"
"00:10:01","82","2019-05-10"
"00:10:16","82","2019-05-10"
"00:10:31","82","2019-05-10"
"00:10:46","82","2019-05-10"
"00:11:01","82","2019-05-10"
"00:11:16","82","2019-05-10"
"00:11:31","82","2019-05-10"
"00:11:46","82","2019-05-10"
"00:12:01","82","2019-05-10"
"00:12:16","82","2019-05-10"
"00:12:31","82","2019-05-10"
"00:12:46","82","2019-05-10"
"00:13:01","82","2019-05-10"
"00:13:16","82","2019-05-10"
"00:13:31","82","2019-05-10"
"00:13:46","82","2019-05-10"
"00:14:01","82","2019-05-10"
"00:14:04","82","2019-05-10"
"00:14:19","82","2019-05-10"
"00:14:34","82","2019-05-10"
"00:14:49","82","2019-05-10"
"00:15:04","82","2019-05-10"
"00:15:19","82","2019-05-10"
"00:15:34","82","2019-05-10"
"00:15:49","82","2019-05-10"
"00:16:04","82","2019-05-10"
"00:16:19","82","2019-05-10"
"00:16:34","82","2019-05-10"
"00:16:49","82","2019-05-10"
"00:17:04","82","2019-05-10"
"00:17:19","82","2019-05-10"
"00:17:34","82","2019-05-10"
"00:17:49","82","2019-05-10"
"00:18:04","82","2019-05-10"
"00:18:19","82","2019-05-10"
"00:18:34","82","2019-05-10"
"00:18:49","82","2019-05-10"
"00:19:04","82","2019-05-10"
"00:19:19","82","2019-05-10"
"00:19:34","82","2019-05-10"
"00:19:49","82","2019-05-10"
"00:20:04","82","2019-05-10"
"00:20:19","82","2019-05-10"
"00:20:34","82","2019-05-10"
"00:20:37","82","2019-05-10"
"00:20:52","82","2019-05-10"
"00:21:07","82","2019-05-10"
"00:21:22","82","2019-05-10"
"00:21:37","82","2019-05-10"
"00:21:52","82","2019-05-10"
"00:22:07","82","2019-05-10"
"00:22:22","82","2019-05-10"
"00:22:37","82","2019-05-10"
"00:22:52","82","2019-05-10"
"00:23:07","82","2019-05-10"
"00:23:22","82","2019-05-10"
"00:23:37","82","2019-05-10"
"00:23:52","82","2019-05-10"
"00:24:07","82","2019-05-10"
"00:24:22","82","2019-05-10"
"00:24:37","82","2019-05-10"
"00:24:52","82","2019-05-10"
"00:25:07","82","2019-05-10"
"00:25:22","82","2019-05-10"
"00:25:37","82","2019-05-10"
"00:25:52","82","2019-05-10"
"00:26:07","82","2019-05-10"
"00:26:22","82","2019-05-10"
"00:26:37","82","2019-05-10"
"00:26:52","82","2019-05-10"
"00:27:07","82","2019-05-10"
"00:27:11","82","2019-05-10"
"00:27:26","82","2019-05-10"
"00:27:41","82","2019-05-10"
"00:27:56","82","2019-05-10"
"00:28:11","82","2019-05-10"
"00:28:26","82","2019-05-10"
"00:28:41","82","2019-05-10"
"00:28:56","82","2019-05-10"
"00:29:11","82","2019-05-10"
"00:29:26","82","2019-05-10"
"00:29:41","82","2019-05-10"
"00:29:56","82","2019-05-10"
"00:30:11","82","2019-05-10"
"00:30:26","82","2019-05-10"
"00:30:41","82","2019-05-10"
"00:30:56","82","2019-05-10"
