Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;1.2236139059968991;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.7874893809930654;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;STADT;Gemacht;p;0;2;2;6;p;1;0.9039556670031743;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;GEBÄUDE;Gemacht;p;0;3;3;5;p;1;0.9842215459939325;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;0.7705860319983913;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;TIER;Natur;q;0;5;5;3;q;1;0.6858081829996081;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;LAMPE;Gemacht;p;0;6;6;9;p;1;0.8561045209935401;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;BAUM;Natur;q;0;7;7;0;q;1;0.7875871719879797;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;STEIN;Natur;q;0;8;8;4;q;1;1.63831952700275;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;BLUME;Natur;q;0;9;9;2;q;1;1.3397419770044507;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.5721830200054683;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;TIER;Natur;q;1;1;11;3;q;1;0.7560673879925162;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;STEIN;Natur;q;1;2;12;4;q;1;2.040065445995424;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;WASSER;Natur;q;1;3;13;1;q;1;0.6057665679982165;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;BAUM;Natur;q;1;4;14;0;q;1;0.6229606600099942;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;GEBÄUDE;Gemacht;p;1;5;15;5;p;1;2.705612691002898;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;1.0061732489994029;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;1.8729525880044093;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.6061312100064242;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
1;BLUME;Natur;q;1;9;19;2;q;1;0.7395057249959791;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
;;;;;;;;;;;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;0.8879918320017168;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;NEGATIV;negativ;q;0;1;1;2;q;1;0.6706001140119042;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.8707080799940741;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHWACH;negativ;q;0;3;3;4;q;1;0.6381999799923506;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;1.0170754610007862;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;POSITIV;positiv;p;0;5;5;8;p;1;0.7224261210067198;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.7391819999902509;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHLIMM;negativ;q;0;7;7;0;q;1;0.8054780609963927;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;GUT;positiv;p;0;8;8;9;p;1;0.7557402819948038;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;HERVORRAGEND;positiv;p;0;9;9;7;p;1;1.6551318669953616;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;POSITIV;positiv;p;1;0;10;8;p;1;0.6724580050067743;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;EINWANDFREI;positiv;p;1;1;11;6;p;1;1.0884557050012518;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;NEGATIV;negativ;q;1;2;12;2;q;1;0.7389226729865186;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;GUT;positiv;p;1;3;13;9;p;1;1.5903386349964421;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHWACH;negativ;q;1;4;14;4;q;1;0.519010790012544;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHLIMM;negativ;q;1;5;15;0;q;1;0.6545203360001324;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;AUSGEZEICHNET;positiv;p;1;6;16;5;q;0;0.5378939380025258;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHÄDLICH;negativ;q;1;7;17;3;q;1;1.7885194469999988;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;HERVORRAGEND;positiv;p;1;8;18;7;p;1;0.6370053519931389;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
2;SCHLECHT;negativ;q;1;9;19;1;q;1;1.2217552220099606;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
;;;;;;;;;;;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
3;POSITIV;positiv;p;0;0;0;8;p;1;0.9382530709990533;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
3;STADT;Gemacht;p;0;1;1;16;p;1;0.7061799399962183;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
3;KLEIDER;Gemacht;p;0;2;2;17;p;1;1.4191543770139106;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
3;WASSER;Natur;q;0;3;3;11;q;1;0.8560745240101824;001;13101928;2019_Jun_19_1449;iat_vr;59.96115512458758;
