Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;GEBÄUDE;Gemacht;p;0;0;0;5;p;1;1.288060208025854;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.6383734529954381;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;KLEIDER;Gemacht;p;0;2;2;7;q;0;0.6510276409680955;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;STEIN;Natur;q;0;3;3;4;q;1;0.7877862330060452;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;TIER;Natur;q;0;4;4;3;q;1;0.5710620409809053;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.7060952600440942;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;BLUME;Natur;q;0;6;6;2;q;1;0.688877580978442;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.7387986180256121;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;BAUM;Natur;q;0;8;8;0;q;1;0.5362363750464283;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;WASSER;Natur;q;0;9;9;1;q;1;0.6714418570045382;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;STADT;Gemacht;p;1;0;10;6;p;1;0.6682143129874021;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;LAMPE;Gemacht;p;1;1;11;9;q;0;0.5227633940521628;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;BLUME;Natur;q;1;2;12;2;q;1;0.9729745999793522;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;COMPUTER;Gemacht;p;1;3;13;8;p;1;0.5544850879814476;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
1;GEBÄUDE;Gemacht;p;1;4;14;5;p;1;0.6052229749620892;001;13719067;2019_Jul_19_0935;iat_vr;59.76866217732733;
