Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;1.204380355000012;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;STEIN;Natur;q;0;1;1;4;q;1;0.8876481020000142;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;TIER;Natur;q;0;2;2;3;q;1;1.1202749490000201;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;LAMPE;Gemacht;p;0;3;3;9;p;1;0.6871269370000164;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;STADT;Gemacht;p;0;4;4;6;p;1;0.75465559700001;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;1.1217987820000417;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;BAUM;Natur;q;0;6;6;0;q;1;0.9890498839999964;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;WASSER;Natur;q;0;7;7;1;q;1;1.6218299120000097;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;0.8377507940000442;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;0.9702168270000016;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;TIER;Natur;q;1;0;10;3;q;1;0.7378262440000185;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;BAUM;Natur;q;1;1;11;0;q;1;0.8230637359999946;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;LAMPE;Gemacht;p;1;2;12;9;p;1;0.6706881530000146;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;WASSER;Natur;q;1;3;13;1;q;1;0.7395632409999848;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;STEIN;Natur;q;1;4;14;4;q;1;0.7558686130000183;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.6559661630000164;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;BLUME;Natur;q;1;6;16;2;q;1;0.7697376349999558;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;COMPUTER;Gemacht;p;1;7;17;8;p;1;0.7209718230000135;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;KLEIDER;Gemacht;p;1;8;18;7;p;1;0.6879414200000156;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
1;GEBÄUDE;Gemacht;p;1;9;19;5;p;1;0.7860574180000413;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
;;;;;;;;;;;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;NEGATIV;negativ;q;0;0;0;2;q;1;1.455186287999993;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHWACH;negativ;q;0;1;1;4;q;1;0.9538828749999766;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;EINWANDFREI;positiv;p;0;2;2;6;p;1;1.0550575789999925;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;1.2035560909999958;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;POSITIV;positiv;p;0;4;4;8;p;1;0.7723664369999597;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;AUSGEZEICHNET;positiv;p;0;5;5;5;p;1;0.8381223009999985;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.7714584510000009;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHLIMM;negativ;q;0;7;7;0;q;1;0.7055066530000431;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;GUT;positiv;p;0;8;8;9;p;1;0.7060283280000021;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHLECHT;negativ;q;0;9;9;1;q;1;0.7216866790000154;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;AUSGEZEICHNET;positiv;p;1;0;10;5;p;1;0.7040803240000173;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;NEGATIV;negativ;q;1;1;11;2;q;1;0.7222564470000066;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;GUT;positiv;p;1;2;12;9;p;1;0.6702784870000187;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;HERVORRAGEND;positiv;p;1;3;13;7;p;1;0.7048468350000121;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHLIMM;negativ;q;1;4;14;0;q;1;0.6382660990000204;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;EINWANDFREI;positiv;p;1;5;15;6;p;1;0.8549912390000145;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHÄDLICH;negativ;q;1;6;16;3;q;1;0.6386179369999923;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHLECHT;negativ;q;1;7;17;1;q;1;0.7381847739999898;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;POSITIV;positiv;p;1;8;18;8;p;1;0.6717635100000052;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
2;SCHWACH;negativ;q;1;9;19;4;q;1;0.7352516880000053;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
;;;;;;;;;;;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;SCHLECHT;negativ;q;0;0;0;1;q;1;0.9209433199999921;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;STEIN;Natur;q;0;1;1;14;q;1;1.0060862269999689;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;LAMPE;Gemacht;p;0;2;2;19;p;1;0.6389069699999936;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;BLUME;Natur;q;0;3;3;12;q;1;0.7353795389999505;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;SCHWACH;negativ;q;0;4;4;4;q;1;1.2217398950000415;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;AUSGEZEICHNET;positiv;p;0;5;5;5;p;1;0.9875082600000269;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;SCHÄDLICH;negativ;q;0;6;6;3;q;1;0.7048497920000045;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;STADT;Gemacht;p;0;7;7;16;p;1;0.6561093230000097;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;GEBÄUDE;Gemacht;p;0;8;8;15;p;1;0.5883368309999923;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;BAUM;Natur;q;0;9;9;10;q;1;0.8357169120000094;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;POSITIV;positiv;p;0;10;10;8;p;1;0.9226164359999984;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;TIER;Natur;q;0;11;11;13;q;1;1.0065578640000012;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;GUT;positiv;p;0;12;12;9;p;1;1.0207202619999975;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;COMPUTER;Gemacht;p;0;13;13;18;p;1;0.6213519689999885;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;NEGATIV;negativ;q;0;14;14;2;q;1;1.1716067220000355;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;SCHLIMM;negativ;q;0;15;15;0;q;1;0.5892763840000157;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;HERVORRAGEND;positiv;p;0;16;16;7;p;1;0.6376162489999615;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;WASSER;Natur;q;0;17;17;11;q;1;0.6717126770000164;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;KLEIDER;Gemacht;p;0;18;18;17;p;1;0.7017424260000098;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
3;EINWANDFREI;positiv;p;0;19;19;6;p;1;0.9043575970000006;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
;;;;;;;;;;;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
4;BAUM;Natur;q;0;0;0;10;q;1;0.9383203509999589;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
4;POSITIV;positiv;p;0;1;1;8;p;1;0.8520260760000156;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
4;GEBÄUDE;Gemacht;p;0;2;2;15;p;1;0.9558954180000114;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
4;SCHWACH;negativ;q;0;3;3;4;q;1;0.7557290290000083;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
4;TIER;Natur;q;0;4;4;13;q;1;0.6723022040000046;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
4;COMPUTER;Gemacht;p;0;5;5;18;p;1;0.5378934839999943;001;17118597;2019_May_22_1026;iat_vr;60.01857803060023;
