Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;0.8207187999996677;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;GEBÄUDE;Gemacht;p;0;1;1;5;q;0;0.4765275000008842;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;BLUME;Natur;q;0;2;2;2;q;1;0.5506352999982482;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;TIER;Natur;q;0;3;3;3;q;1;0.6191452000002755;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;COMPUTER;Gemacht;p;0;4;4;8;p;1;0.48937909999949625;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;BAUM;Natur;q;0;5;5;0;q;1;0.5644624000015028;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;STADT;Gemacht;p;0;6;6;6;p;1;0.7640594999993482;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;STEIN;Natur;q;0;7;7;4;q;1;0.6762849999995524;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;LAMPE;Gemacht;p;0;8;8;9;p;1;0.5438792999993893;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;KLEIDER;Gemacht;p;0;9;9;7;p;1;0.6293306999996275;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;STEIN;Natur;q;1;0;10;4;q;1;0.5639360000004672;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;KLEIDER;Gemacht;p;1;1;11;7;p;1;0.6295931000004202;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;TIER;Natur;q;1;2;12;3;q;1;0.677086199999394;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;BAUM;Natur;q;1;3;13;0;q;1;0.548909500001173;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;WASSER;Natur;q;1;4;14;1;q;1;0.5809315000005881;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;BLUME;Natur;q;1;5;15;2;q;1;0.5343559000011737;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;STADT;Gemacht;p;1;6;16;6;p;1;0.5975479999997333;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.8302507000007608;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.6145071999999345;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
1;COMPUTER;Gemacht;p;1;9;19;8;p;1;0.5685976999993727;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
;;;;;;;;;;;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHWACH;negativ;q;0;0;0;4;q;1;0.898481800000809;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;EINWANDFREI;positiv;p;0;1;1;6;p;1;0.7525884000006045;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.6560619000010774;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.597568199998932;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHLECHT;negativ;q;0;4;4;1;q;1;0.5155658000003314;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;HERVORRAGEND;positiv;p;0;5;5;7;p;1;0.5537542000001849;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;GUT;positiv;p;0;6;6;9;p;1;0.547524000001431;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;NEGATIV;negativ;q;0;7;7;2;q;1;0.5977854000011575;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHLIMM;negativ;q;0;8;8;0;q;1;0.7156357999992906;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;POSITIV;positiv;p;0;9;9;8;p;1;0.5133137000011629;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHWACH;negativ;q;1;0;10;4;q;1;0.5139586000004783;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;HERVORRAGEND;positiv;p;1;1;11;7;p;1;0.5354569000010088;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHÄDLICH;negativ;q;1;2;12;3;q;1;0.5597794999994221;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;POSITIV;positiv;p;1;3;13;8;p;1;0.5431196999998065;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;AUSGEZEICHNET;positiv;p;1;4;14;5;p;1;0.7000112000005174;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHLIMM;negativ;q;1;5;15;0;q;1;0.6152947999999014;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;SCHLECHT;negativ;q;1;6;16;1;q;1;0.562416699998721;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;EINWANDFREI;positiv;p;1;7;17;6;p;1;0.5276314999991882;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;NEGATIV;negativ;q;1;8;18;2;q;1;0.7148094999993191;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
2;GUT;positiv;p;1;9;19;9;p;1;0.6320107999999891;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
;;;;;;;;;;;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;BAUM;Natur;q;0;0;0;10;q;1;1.067239799998788;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;STEIN;Natur;q;0;1;1;14;q;1;0.8149766000005911;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;SCHWACH;negativ;q;0;2;2;4;q;1;0.5976295000000391;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;STADT;Gemacht;p;0;3;3;16;p;1;1.0485510999988037;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;GEBÄUDE;Gemacht;p;0;4;4;15;p;1;0.8309212000003754;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;HERVORRAGEND;positiv;p;0;5;5;7;p;1;0.5788532000005944;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;AUSGEZEICHNET;positiv;p;0;6;6;5;p;1;0.6504327000002377;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;BLUME;Natur;q;0;7;7;12;q;1;0.8312531000010495;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;COMPUTER;Gemacht;p;0;8;8;18;p;1;0.6120553000000655;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;GUT;positiv;p;0;9;9;9;q;0;0.7675692000011622;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;EINWANDFREI;positiv;p;0;10;10;6;p;1;1.1459930000000895;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;SCHÄDLICH;negativ;q;0;11;11;3;q;1;0.6441971000003832;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;SCHLECHT;negativ;q;0;12;12;1;q;1;0.5646016999999119;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;SCHLIMM;negativ;q;0;13;13;0;q;1;0.6166653000000224;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;WASSER;Natur;q;0;14;14;11;q;1;0.7641330999995262;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;NEGATIV;negativ;q;0;15;15;2;q;1;0.7652180000004591;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;POSITIV;positiv;p;0;16;16;8;p;1;0.6274599999997008;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;KLEIDER;Gemacht;p;0;17;17;17;p;1;0.5311916999999085;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;TIER;Natur;q;0;18;18;13;q;1;1.3303894999990007;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
3;LAMPE;Gemacht;p;0;19;19;19;p;1;0.6630203000004258;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
;;;;;;;;;;;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
4;BAUM;Natur;q;0;0;0;10;q;1;1.5329701999999088;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
4;GUT;positiv;p;0;1;1;9;p;1;0.8166318999992654;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
4;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.6468679000008706;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
4;WASSER;Natur;q;0;3;3;11;q;1;0.9150627999988501;002;ARAS94;2019_Nov_26_1242;iat_vr;60.11924050191053;
