Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BAUM;Natur;q;0;0;0;0;q;1;1.606790899997577;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;COMPUTER;Gemacht;p;0;1;1;8;q;0;1.0003693000180647;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;STEIN;Natur;q;0;2;2;4;q;1;0.7001589999999851;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;STADT;Gemacht;p;0;3;3;6;p;1;0.6335301999934018;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;BLUME;Natur;q;0;4;4;2;q;1;0.6004686000524089;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.7666648000013083;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;GEBÄUDE;Gemacht;p;0;6;6;5;p;1;0.6503014999907464;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;WASSER;Natur;q;0;7;7;1;q;1;0.6001467000460252;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;KLEIDER;Gemacht;p;0;8;8;7;p;1;0.6335101999575272;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;TIER;Natur;q;0;9;9;3;q;1;0.9690311000449583;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;WASSER;Natur;q;1;0;10;1;q;1;0.6638147999765351;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;KLEIDER;Gemacht;p;1;1;11;7;p;1;1.2000867000315338;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.7306875000940636;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;TIER;Natur;q;1;3;13;3;q;1;0.6838731999741867;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;BLUME;Natur;q;1;4;14;2;q;1;0.6804739999352023;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;1.0469441000605002;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;STEIN;Natur;q;1;6;16;4;q;1;1.0452059999806806;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;BAUM;Natur;q;1;7;17;0;q;1;0.5463570000138134;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.7692849999293685;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
1;LAMPE;Gemacht;p;1;9;19;9;p;1;0.6974099000217393;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
;;;;;;;;;;;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;SCHÄDLICH;negativ;q;0;0;0;3;q;1;1.4918938999762759;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;NEGATIV;negativ;q;0;1;1;2;q;1;0.6992427000077441;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;POSITIV;positiv;p;0;2;2;8;p;1;0.6139292999869213;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.6620310000143945;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;SCHLECHT;negativ;q;0;4;4;1;q;1;0.6808655000058934;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;SCHWACH;negativ;q;0;5;5;4;q;1;0.6524042999371886;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;SCHLIMM;negativ;q;0;6;6;0;q;1;0.6796775000402704;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
2;AUSGEZEICHNET;positiv;p;0;7;7;5;p;1;0.5873547000810504;001;ARGZ94;2019_Dec_16_1353;iat_vr;59.973827417916326;
