Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;KLEIDER;Gemacht;p;0;0;0;7;p;1;0.9593581999979506;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;0.5836568999984593;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;BLUME;Natur;q;0;2;2;2;q;1;0.5836482000013348;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;WASSER;Natur;q;0;3;3;1;q;1;0.7169443999991927;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;GEBÄUDE;Gemacht;p;0;4;4;5;p;1;0.6176457000001392;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;STEIN;Natur;q;0;5;5;4;q;1;0.7668615999973554;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.8669894000013301;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;BAUM;Natur;q;0;7;7;0;q;1;0.5669387000016286;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;STADT;Gemacht;p;0;8;8;6;p;1;0.7169356999984302;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;TIER;Natur;q;0;9;9;3;q;1;0.6000544999988051;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;BAUM;Natur;q;1;0;10;0;q;1;0.6503549000008206;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;STADT;Gemacht;p;1;1;11;6;p;1;0.8669631000011577;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;1.116847900000721;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
1;GEBÄUDE;Gemacht;p;1;3;13;5;p;1;0.9668697999986762;001;ARHL00;2019_Nov_25_1600;iat_vr;60.123144223779825;
