Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;GEBÄUDE;Gemacht;p;0;0;0;5;p;1;1.1808873999980278;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;BLUME;Natur;q;0;1;1;2;q;1;0.6063679999933811;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;COMPUTER;Gemacht;p;0;2;2;8;p;1;0.6026879999990342;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;KLEIDER;Gemacht;p;0;3;3;7;p;1;0.8754927000045427;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;BAUM;Natur;q;0;4;4;0;q;1;0.6800012000021525;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;TIER;Natur;q;0;5;5;3;q;1;0.865539099999296;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;STEIN;Natur;q;0;6;6;4;q;1;0.5398417000033078;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;0.9194473000025027;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;STADT;Gemacht;p;0;8;8;6;p;1;0.798042100002931;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;WASSER;Natur;q;0;9;9;1;q;1;0.578625699999975;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;COMPUTER;Gemacht;p;1;0;10;8;p;1;0.6635902000052738;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;WASSER;Natur;q;1;1;11;1;q;1;0.6286853000055999;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;STEIN;Natur;q;1;2;12;4;q;1;0.6473307999985991;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.8298205999963102;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;BLUME;Natur;q;1;4;14;2;q;1;0.6484444999950938;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;BAUM;Natur;q;1;5;15;0;q;1;0.7644292999975733;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
1;TIER;Natur;q;1;6;16;3;q;1;0.615957599999092;002;ARMS94;2019_Nov_25_1756;iat_vr;60.1422725606989;
