Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BAUM;Natur;q;0;0;0;0;q;1;0.861475599998812;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;KLEIDER;Gemacht;p;0;1;1;7;p;1;0.7773873000005551;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;STADT;Gemacht;p;0;2;2;6;p;1;0.723966699999437;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;0.5324823999981163;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;WASSER;Natur;q;0;4;4;1;q;1;0.6609927999998035;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.7128908000013325;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;BLUME;Natur;q;0;6;6;2;q;1;0.8331804999979795;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.6611859999975422;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;STEIN;Natur;q;0;8;8;4;q;1;1.3785318999980518;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;TIER;Natur;q;0;9;9;3;q;1;0.6492710999991687;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;LAMPE;Gemacht;p;1;0;10;9;p;1;0.701290599998174;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;BLUME;Natur;q;1;1;11;2;q;1;0.6332865999975184;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;BAUM;Natur;q;1;2;12;0;q;1;0.6823279000018374;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;COMPUTER;Gemacht;p;1;3;13;8;p;1;0.8120263999990129;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;TIER;Natur;q;1;4;14;3;q;1;0.7863470999982383;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;GEBÄUDE;Gemacht;p;1;5;15;5;p;1;0.6305671999980405;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;KLEIDER;Gemacht;p;1;6;16;7;p;1;0.5640999999995984;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;STEIN;Natur;q;1;7;17;4;q;1;0.780573899999581;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;STADT;Gemacht;p;1;8;18;6;p;1;1.2805053999982192;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
1;WASSER;Natur;q;1;9;19;1;q;1;0.9961715999997978;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
;;;;;;;;;;;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHLIMM;negativ;q;0;0;0;0;q;1;0.7218043000029866;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;AUSGEZEICHNET;positiv;p;0;1;1;5;p;1;0.7418359000002965;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHWACH;negativ;q;0;2;2;4;q;1;0.7298904000017501;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.7047467999982473;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;GUT;positiv;p;0;4;4;9;p;1;0.816017400000419;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHÄDLICH;negativ;q;0;5;5;3;q;1;1.2692993999989994;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;POSITIV;positiv;p;0;6;6;8;p;1;0.6978815999973449;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;NEGATIV;negativ;q;0;7;7;2;q;1;0.6967430000004242;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHLECHT;negativ;q;0;8;8;1;q;1;0.818653299997095;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;EINWANDFREI;positiv;p;0;9;9;6;p;1;1.0438130000002275;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;HERVORRAGEND;positiv;p;1;0;10;7;p;1;0.8522575999995752;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;EINWANDFREI;positiv;p;1;1;11;6;p;1;1.1116604000017105;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.668809800001327;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;GUT;positiv;p;1;3;13;9;p;1;0.6106846000002406;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHWACH;negativ;q;1;4;14;4;q;1;0.6353516999988642;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.5642440999981773;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHLIMM;negativ;q;1;6;16;0;q;1;0.6341589000003296;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;SCHÄDLICH;negativ;q;1;7;17;3;q;1;0.7495966999995289;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;POSITIV;positiv;p;1;8;18;8;p;1;0.5801065000014205;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
2;NEGATIV;negativ;q;1;9;19;2;q;1;0.6978383999994549;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
;;;;;;;;;;;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
3;EINWANDFREI;positiv;p;0;0;0;6;p;1;1.7946416000013414;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
3;KLEIDER;Gemacht;p;0;1;1;17;p;1;1.3658412999975553;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
3;SCHLECHT;negativ;q;0;2;2;1;p;0;0.9623566000009305;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
3;WASSER;Natur;q;0;3;3;11;q;1;1.112700000001496;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
3;COMPUTER;Gemacht;p;0;4;4;18;p;1;0.7790091999995639;002;ASCH96;2019_Nov_28_1407;iat_vr;59.59482669179586;
