Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;COMPUTER;Gemacht;p;0;0;0;8;p;1;1.4898619999985385;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.8335712999978568;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;BLUME;Natur;q;0;2;2;2;q;1;0.7168925000005402;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;TIER;Natur;q;0;3;3;3;q;1;0.7669352000011713;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;1.3169483999990916;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;WASSER;Natur;q;0;5;5;1;q;1;1.4835372999987158;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;STADT;Gemacht;p;0;6;6;6;q;0;2.0002031000003626;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;1.3503329000013764;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;STEIN;Natur;q;0;8;8;4;q;1;0.7269153000015649;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;BAUM;Natur;q;0;9;9;0;q;1;0.6654551000028732;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;KLEIDER;Gemacht;p;1;0;10;7;p;1;2.164295700000366;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;STEIN;Natur;q;1;1;11;4;q;1;0.8149297000018123;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;1.447384700000839;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;BLUME;Natur;q;1;3;13;2;q;1;0.6654459000019415;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;GEBÄUDE;Gemacht;p;1;4;14;5;p;1;0.8477792000012414;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.9976325999996334;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;BAUM;Natur;q;1;6;16;0;q;1;0.8148605999995198;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;1.2312634999980219;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;WASSER;Natur;q;1;8;18;1;q;1;0.6143564000012702;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
1;TIER;Natur;q;1;9;19;3;q;1;1.0650314999984403;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
;;;;;;;;;;;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
2;SCHWACH;negativ;q;0;0;0;4;q;1;6.084990899998957;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;1.2315739999976358;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
2;EINWANDFREI;positiv;p;0;2;2;6;p;1;0.7441663999998127;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.6480116999991878;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
2;POSITIV;positiv;p;0;4;4;8;p;1;1.0093678000012005;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
2;SCHÄDLICH;negativ;q;0;5;5;3;q;1;0.6970737000010558;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
2;NEGATIV;negativ;q;0;6;6;2;q;1;0.9806069000005664;001;ASDB98;2019_Nov_28_1638;iat_vr;60.05064671484583;
