Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;0.9014618999935919;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;1.2503119000029983;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;STEIN;Natur;q;0;2;2;4;q;1;0.5729042000020854;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;KLEIDER;Gemacht;p;0;3;3;7;p;1;0.8119045000057667;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;STADT;Gemacht;p;0;4;4;6;p;1;1.693738600006327;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;WASSER;Natur;q;0;5;5;1;q;1;1.3618611000129022;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;GEBÄUDE;Gemacht;p;0;6;6;5;p;1;0.8394127000065055;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;BAUM;Natur;q;0;7;7;0;q;1;0.5805572000099346;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;LAMPE;Gemacht;p;0;8;8;9;p;1;0.7479886999935843;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;TIER;Natur;q;0;9;9;3;q;1;0.5691107000020565;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;WASSER;Natur;q;1;0;10;1;q;1;0.9145893000095384;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;TIER;Natur;q;1;1;11;3;q;1;0.4324149000021862;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;STADT;Gemacht;p;1;2;12;6;p;1;0.5484828999906313;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.6316405000106897;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;STEIN;Natur;q;1;4;14;4;q;1;0.6315630999888526;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;BAUM;Natur;q;1;5;15;0;q;1;0.532764200004749;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;GEBÄUDE;Gemacht;p;1;6;16;5;p;1;0.5685631999949692;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;COMPUTER;Gemacht;p;1;7;17;8;p;1;0.6479815999919083;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;BLUME;Natur;q;1;8;18;2;q;1;0.5327247999957763;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
1;KLEIDER;Gemacht;p;1;9;19;7;p;1;0.600629000007757;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
;;;;;;;;;;;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;NEGATIV;negativ;q;0;0;0;2;q;1;2.6726059000066016;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;GUT;positiv;p;0;1;1;9;p;1;1.030118800001219;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;1.0232186999928672;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;POSITIV;positiv;p;0;3;3;8;p;1;0.4973594999901252;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;AUSGEZEICHNET;positiv;p;0;4;4;5;p;1;0.540846000003512;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;HERVORRAGEND;positiv;p;0;5;5;7;p;1;0.5599750000110362;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.6466476000059629;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHLIMM;negativ;q;0;7;7;0;q;1;0.6525306999974418;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.4956816999911098;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;EINWANDFREI;positiv;p;0;9;9;6;p;1;0.6069017999980133;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;HERVORRAGEND;positiv;p;1;0;10;7;p;1;0.6627759999973932;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;NEGATIV;negativ;q;1;1;11;2;q;1;0.5978032999992138;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.6278130999999121;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHLIMM;negativ;q;1;3;13;0;q;1;0.5148422999918694;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHÄDLICH;negativ;q;1;4;14;3;q;1;0.5277145000000019;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.4947706999955699;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;GUT;positiv;p;1;6;16;9;p;1;0.49918059998890385;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;POSITIV;positiv;p;1;7;17;8;p;1;0.5306110000092303;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;SCHWACH;negativ;q;1;8;18;4;q;1;0.714511099999072;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
2;EINWANDFREI;positiv;p;1;9;19;6;p;1;0.5968385000014678;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
;;;;;;;;;;;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;KLEIDER;Gemacht;p;0;0;0;17;p;1;2.0760866000055103;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;TIER;Natur;q;0;1;1;13;q;1;1.1656495999923209;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;STEIN;Natur;q;0;2;2;14;q;1;1.714719099996728;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;NEGATIV;negativ;q;0;3;3;2;q;1;0.8136159999994561;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;BLUME;Natur;q;0;4;4;12;q;1;1.1296070000098553;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;GUT;positiv;p;0;5;5;9;p;1;0.7158420999912778;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.6128733000077773;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;POSITIV;positiv;p;0;7;7;8;p;1;0.5370247999962885;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;EINWANDFREI;positiv;p;0;8;8;6;p;1;0.6106635999894934;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;SCHWACH;negativ;q;0;9;9;4;q;1;0.7481058999983361;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;AUSGEZEICHNET;positiv;p;0;10;10;5;p;1;0.6101866999961203;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;LAMPE;Gemacht;p;0;11;11;19;p;1;0.6008058000006713;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;SCHLIMM;negativ;q;0;12;12;0;q;1;1.1981866999994963;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;COMPUTER;Gemacht;p;0;13;13;18;p;1;1.2290110000030836;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;WASSER;Natur;q;0;14;14;11;q;1;1.895793700008653;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
3;SCHLECHT;negativ;q;0;15;15;1;q;1;0.5125257000036072;002;ASJK92;2019_Nov_29_1511;iat_vr;60.07030628860275;
