Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;0.6918751999910455;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;STEIN;Natur;q;0;1;1;4;p;0;0.5520082000002731;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;0.917906699993182;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;COMPUTER;Gemacht;p;0;3;3;8;p;1;0.41866149999259505;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;BAUM;Natur;q;0;4;4;0;q;1;0.5989732000016375;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;STADT;Gemacht;p;0;5;5;6;q;0;0.5339267999952426;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;LAMPE;Gemacht;p;0;6;6;9;p;1;2.2855814000067767;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;TIER;Natur;q;0;7;7;3;q;1;0.5800061000045389;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;GEBÄUDE;Gemacht;p;0;8;8;5;p;1;0.5725514000077965;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;WASSER;Natur;q;0;9;9;1;q;1;0.5256128999899374;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;KLEIDER;Gemacht;p;1;0;10;7;p;1;0.5506160999939311;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;WASSER;Natur;q;1;1;11;1;q;1;0.4806854999915231;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;TIER;Natur;q;1;2;12;3;q;1;0.49706069999956526;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.5334861000010278;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
1;BAUM;Natur;q;1;4;14;0;q;1;0.5653189000004204;002;ASLB95;2019_Nov_29_1422;iat_vr;59.92319045210683;
