Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;GEBÄUDE;Gemacht;p;0;0;0;5;p;1;0.8414914999998473;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;STADT;Gemacht;p;0;1;1;6;p;1;0.46428149999997004;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;BAUM;Natur;q;0;2;2;0;q;1;0.6685262000000876;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;STEIN;Natur;q;0;3;3;4;q;1;0.7346308999999565;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;TIER;Natur;q;0;4;4;3;q;1;0.6488985999999386;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.6781799000000319;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;WASSER;Natur;q;0;6;6;1;q;1;0.5990183000001252;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;KLEIDER;Gemacht;p;0;7;7;7;p;1;1.0498666999999386;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;0.6171185999999125;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;BLUME;Natur;q;0;9;9;2;q;1;0.7669997999998941;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;GEBÄUDE;Gemacht;p;1;0;10;5;p;1;0.5505055999999513;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;BLUME;Natur;q;1;1;11;2;q;1;0.5169943999999305;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;STADT;Gemacht;p;1;2;12;6;p;1;0.5508646000000681;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;KLEIDER;Gemacht;p;1;3;13;7;p;1;1.0975206999999045;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;STEIN;Natur;q;1;4;14;4;q;1;0.5625746999999137;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;TIER;Natur;q;1;5;15;3;q;1;0.6842197999999371;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;BAUM;Natur;q;1;6;16;0;q;1;0.8495534000001044;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;WASSER;Natur;q;1;7;17;1;q;1;0.530822599999965;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.6169838000000709;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
1;COMPUTER;Gemacht;p;1;9;19;8;p;1;0.5665100999999595;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
;;;;;;;;;;;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;GUT;positiv;p;0;0;0;9;p;1;0.6064010000000053;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;0.5503254000000197;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;AUSGEZEICHNET;positiv;p;0;2;2;5;p;1;0.5859862999998313;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.5455954000001384;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;SCHWACH;negativ;q;0;4;4;4;q;1;0.7672038000000612;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;HERVORRAGEND;positiv;p;0;5;5;7;p;1;0.7176787999999306;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.6989622000000963;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;EINWANDFREI;positiv;p;0;7;7;6;p;1;0.6169051000001673;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;POSITIV;positiv;p;0;8;8;8;p;1;0.5837668000001486;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
2;NEGATIV;negativ;q;0;9;9;2;q;1;0.6482098000001315;002;ASSA97;2019_Nov_28_0902;iat_vr;60.68999671062949;
