Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;0.9939066999995703;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;0.6382145999996283;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;STEIN;Natur;q;0;2;2;4;p;0;0.4724062999994203;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;STADT;Gemacht;p;0;3;3;6;p;1;1.046629500000563;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;BAUM;Natur;q;0;4;4;0;q;1;0.6485474000000977;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;1.4282581999996182;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;TIER;Natur;q;0;6;6;3;q;1;0.6011647000013909;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;0.7228486999993038;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;KLEIDER;Gemacht;p;0;8;8;7;p;1;0.6628786000001128;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;WASSER;Natur;q;0;9;9;1;q;1;0.7127056999997876;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;STEIN;Natur;q;1;0;10;4;q;1;0.7345896000006178;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;KLEIDER;Gemacht;p;1;1;11;7;p;1;0.8317697000002227;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;BAUM;Natur;q;1;2;12;0;q;1;0.6657264999994368;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.7483142000000953;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;WASSER;Natur;q;1;4;14;1;q;1;0.6460219000000507;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
1;BLUME;Natur;q;1;5;15;2;q;1;0.830051299999468;002;ASSG97;2019_Nov_28_1228;iat_vr;59.9744029247627;
