Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;1.4874168000023928;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;0.6652372999997169;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.5678152000000409;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;WASSER;Natur;q;0;3;3;1;q;1;0.6250900999984879;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;0.5961783999991894;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;BAUM;Natur;q;0;5;5;0;q;1;0.7155342000005476;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.5367741999980353;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;STADT;Gemacht;p;0;7;7;6;p;1;0.5984867000006489;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;BLUME;Natur;q;0;8;8;2;q;1;0.5291554000032193;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;STEIN;Natur;q;0;9;9;4;q;1;0.7429539000004297;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;STEIN;Natur;q;1;0;10;4;q;1;0.5349695000004431;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;BAUM;Natur;q;1;1;11;0;q;1;0.4680940999969607;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;WASSER;Natur;q;1;2;12;1;q;1;0.44419700000071316;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.5150386000022991;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;GEBÄUDE;Gemacht;p;1;4;14;5;p;1;0.747594399999798;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;0.580546700002742;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;KLEIDER;Gemacht;p;1;6;16;7;q;0;0.5642974000002141;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;TIER;Natur;q;1;7;17;3;p;0;0.46576400000049034;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.6982198000005155;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
1;BLUME;Natur;q;1;9;19;2;q;1;0.6484380000001693;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
;;;;;;;;;;;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;SCHLIMM;negativ;q;0;0;0;0;q;1;1.5335912000009557;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;SCHÄDLICH;negativ;q;0;1;1;3;q;1;0.9440859999995155;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;POSITIV;positiv;p;0;2;2;8;p;1;0.9072319000006246;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;SCHWACH;negativ;q;0;3;3;4;q;1;0.8813674000011815;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;NEGATIV;negativ;q;0;4;4;2;q;1;1.5648509999991802;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;HERVORRAGEND;positiv;p;0;5;5;7;p;1;0.613050399999338;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.5609001999982866;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;GUT;positiv;p;0;7;7;9;p;1;0.6318312000003061;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;AUSGEZEICHNET;positiv;p;0;8;8;5;p;1;0.5217765999987023;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;SCHLECHT;negativ;q;0;9;9;1;q;1;0.8474831999992603;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;SCHÄDLICH;negativ;q;1;0;10;3;q;1;0.5813608999997086;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;HERVORRAGEND;positiv;p;1;1;11;7;p;1;0.6459481999991112;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;POSITIV;positiv;p;1;2;12;8;p;1;0.43128209999849787;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;EINWANDFREI;positiv;p;1;3;13;6;p;1;0.5434793000022182;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;SCHWACH;negativ;q;1;4;14;4;q;1;0.7475145999997039;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;SCHLIMM;negativ;q;1;5;15;0;q;1;0.7485753000000841;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;AUSGEZEICHNET;positiv;p;1;6;16;5;p;1;0.9184973000010359;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;NEGATIV;negativ;q;1;7;17;2;q;1;0.8028918000018166;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
2;GUT;positiv;p;1;8;18;9;p;1;0.6986388000004808;002;FSFW69;2019_Dec_19_1639;iat_vr;59.95653151520429;
