Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;KLEIDER;Gemacht;p;0;0;0;7;p;1;0.8952400999987731;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;WASSER;Natur;q;0;1;1;1;q;1;0.8404397999984212;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;TIER;Natur;q;0;2;2;3;q;1;0.7298334000006435;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;STADT;Gemacht;p;0;3;3;6;p;1;0.7479106999999203;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;BAUM;Natur;q;0;4;4;0;q;1;0.9900105000015174;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;STEIN;Natur;q;0;5;5;4;q;1;0.9280572999996366;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;GEBÄUDE;Gemacht;p;0;6;6;5;p;1;0.6593181999996887;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;0.6391207000015129;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;LAMPE;Gemacht;p;0;8;8;9;p;1;0.849083500001143;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;BLUME;Natur;q;0;9;9;2;q;1;0.6986128999997163;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;TIER;Natur;q;1;0;10;3;q;1;0.7820840999993379;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;0.7976990999995905;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;COMPUTER;Gemacht;p;1;2;12;8;p;1;0.6709546999991289;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.8635704000007536;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;LAMPE;Gemacht;p;1;4;14;9;p;1;0.6333010999987891;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;BLUME;Natur;q;1;5;15;2;q;1;0.6314468999989913;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;STEIN;Natur;q;1;6;16;4;q;1;0.6815107000002172;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;0.8470914999998058;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;WASSER;Natur;q;1;8;18;1;q;1;1.8974716999982775;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
1;BAUM;Natur;q;1;9;19;0;q;1;0.9353121000021929;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
;;;;;;;;;;;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;NEGATIV;negativ;q;0;0;0;2;q;1;1.0287542000005487;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHLECHT;negativ;q;0;1;1;1;q;1;0.7924558000013349;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;GUT;positiv;p;0;2;2;9;p;1;0.5809541999988141;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;AUSGEZEICHNET;positiv;p;0;3;3;5;p;1;0.6039361000002827;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;POSITIV;positiv;p;0;4;4;8;p;1;0.5312147000004188;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHÄDLICH;negativ;q;0;5;5;3;q;1;0.6638370000000577;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.6784950000001118;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;EINWANDFREI;positiv;p;0;7;7;6;p;1;0.7576178000017535;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.6978530999986106;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHLIMM;negativ;q;0;9;9;0;q;1;0.7645808999986912;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHÄDLICH;negativ;q;1;0;10;3;q;1;0.5968184000012116;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHLIMM;negativ;q;1;1;11;0;q;1;0.5311175999995612;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHLECHT;negativ;q;1;2;12;1;q;1;0.5148337000027823;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;EINWANDFREI;positiv;p;1;3;13;6;p;1;0.7757941999989271;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;GUT;positiv;p;1;4;14;9;p;1;0.5496582000014314;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;POSITIV;positiv;p;1;5;15;8;p;1;0.6814922000012302;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;AUSGEZEICHNET;positiv;p;1;6;16;5;p;1;0.5743129000002227;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;NEGATIV;negativ;q;1;7;17;2;q;1;0.7305336999997962;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;HERVORRAGEND;positiv;p;1;8;18;7;p;1;0.7254147000021476;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
2;SCHWACH;negativ;q;1;9;19;4;q;1;0.8467012000000977;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
;;;;;;;;;;;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;SCHLECHT;negativ;q;0;0;0;1;q;1;1.3985823999973945;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;COMPUTER;Gemacht;p;0;1;1;18;p;1;0.7802760999984457;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;KLEIDER;Gemacht;p;0;2;2;17;p;1;0.8635151999988011;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;WASSER;Natur;q;0;3;3;11;q;1;0.7579024000006029;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;STADT;Gemacht;p;0;4;4;16;p;1;1.2632524000000558;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;EINWANDFREI;positiv;p;0;5;5;6;p;1;1.4449529999983497;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;BLUME;Natur;q;0;6;6;12;q;1;0.7345673000017996;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;TIER;Natur;q;0;7;7;13;q;1;0.5985765999976138;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;POSITIV;positiv;p;0;8;8;8;p;1;0.7810091999999713;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;STEIN;Natur;q;0;9;9;14;q;1;0.8984848000000056;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;SCHÄDLICH;negativ;q;0;10;10;3;q;1;1.0969125000010536;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;AUSGEZEICHNET;positiv;p;0;11;11;5;p;1;3.3593708999978844;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;BAUM;Natur;q;0;12;12;10;q;1;0.8147495000011986;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;SCHLIMM;negativ;q;0;13;13;0;q;1;0.8312556999990193;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;GUT;positiv;p;0;14;14;9;p;1;1.2829939999974158;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;SCHWACH;negativ;q;0;15;15;4;q;1;1.748087799998757;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;GEBÄUDE;Gemacht;p;0;16;16;15;p;1;2.8313014000013936;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;LAMPE;Gemacht;p;0;17;17;19;p;1;0.697021500000119;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;NEGATIV;negativ;q;0;18;18;2;q;1;0.8319630000005418;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
3;HERVORRAGEND;positiv;p;0;19;19;7;p;1;1.0443957000024966;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
;;;;;;;;;;;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHWACH;negativ;q;0;0;0;4;q;1;1.7474862999988545;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;BLUME;Natur;q;0;1;1;12;q;1;0.6650747999992745;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;BAUM;Natur;q;0;2;2;10;q;1;0.5988594000009471;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.6265457999979844;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHLIMM;negativ;q;0;4;4;0;q;1;0.913316100002703;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;NEGATIV;negativ;q;0;5;5;2;q;1;1.4813936999998987;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;COMPUTER;Gemacht;p;0;6;6;18;p;1;0.7973004000014043;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;KLEIDER;Gemacht;p;0;7;7;17;p;1;1.081073400000605;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHLECHT;negativ;q;0;8;8;1;q;1;0.930471600000601;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;POSITIV;positiv;p;0;9;9;8;p;1;0.7790241999973659;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;LAMPE;Gemacht;p;0;10;10;19;p;1;1.3644775000029767;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;WASSER;Natur;q;0;11;11;11;q;1;0.7502215999993496;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;GUT;positiv;p;0;12;12;9;p;1;0.7672726999990118;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;AUSGEZEICHNET;positiv;p;0;13;13;5;p;1;0.9002197999980126;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;STADT;Gemacht;p;0;14;14;16;p;1;0.8649316000010003;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;GEBÄUDE;Gemacht;p;0;15;15;15;p;1;1.3776257999998052;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;STEIN;Natur;q;0;16;16;14;q;1;0.832127000001492;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHÄDLICH;negativ;q;0;17;17;3;q;1;1.1169526999983646;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;TIER;Natur;q;0;18;18;13;q;1;1.215021699998033;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;EINWANDFREI;positiv;p;0;19;19;6;p;1;0.8086726000001363;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHLIMM;negativ;q;1;0;20;0;q;1;0.6499106000010215;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;GUT;positiv;p;1;1;21;9;p;1;2.0667435999966983;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;STADT;Gemacht;p;1;2;22;16;p;1;2.035179299997253;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;AUSGEZEICHNET;positiv;p;1;3;23;5;p;1;0.8511233999997785;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;TIER;Natur;q;1;4;24;13;q;1;0.666165099999489;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHWACH;negativ;q;1;5;25;4;q;1;0.8300063999995473;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;WASSER;Natur;q;1;6;26;11;q;1;0.7134125000011409;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHLECHT;negativ;q;1;7;27;1;q;1;0.681892799999332;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;KLEIDER;Gemacht;p;1;8;28;17;p;1;0.7484831000001577;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;NEGATIV;negativ;q;1;9;29;2;q;1;1.130601900000329;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;HERVORRAGEND;positiv;p;1;10;30;7;p;1;0.687867799999367;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;STEIN;Natur;q;1;11;31;14;q;1;0.9514251000000513;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;LAMPE;Gemacht;p;1;12;32;19;p;1;3.102352300000348;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;EINWANDFREI;positiv;p;1;13;33;6;p;1;1.431605000001582;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;GEBÄUDE;Gemacht;p;1;14;34;15;p;1;0.7316866000001028;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;SCHÄDLICH;negativ;q;1;15;35;3;q;1;0.8812864999999874;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;BLUME;Natur;q;1;16;36;12;q;1;1.4653261000021303;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;BAUM;Natur;q;1;17;37;10;q;1;0.6951058999984525;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;POSITIV;positiv;p;1;18;38;8;p;1;0.7818660999982967;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
4;COMPUTER;Gemacht;p;1;19;39;18;p;1;1.2300448999994842;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
;;;;;;;;;;;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;STADT;Gemacht;q;0;0;0;6;q;1;0.8294611999990593;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;WASSER;Natur;p;0;1;1;1;p;1;0.6816650000000664;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;BLUME;Natur;p;0;2;2;2;p;1;0.8323654000014358;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;TIER;Natur;p;0;3;3;3;p;1;0.5156518999974651;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;BAUM;Natur;p;0;4;4;0;p;1;0.7991086000001815;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;LAMPE;Gemacht;q;0;5;5;9;q;1;0.7307347999994818;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;STEIN;Natur;p;0;6;6;4;p;1;0.8157647000007273;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;GEBÄUDE;Gemacht;q;0;7;7;5;q;1;0.613262200000463;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;COMPUTER;Gemacht;q;0;8;8;8;q;1;0.6953604999980598;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;KLEIDER;Gemacht;q;0;9;9;7;q;1;0.860672999999224;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;GEBÄUDE;Gemacht;q;1;0;10;5;q;1;1.2292078000027686;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;WASSER;Natur;p;1;1;11;1;p;1;0.6814121999996132;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;STADT;Gemacht;q;1;2;12;6;q;1;1.447620700000698;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;LAMPE;Gemacht;q;1;3;13;9;q;1;0.6485092999973858;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;KLEIDER;Gemacht;q;1;4;14;7;q;1;0.9626806999986002;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;STEIN;Natur;p;1;5;15;4;p;1;0.8333689999999478;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;BAUM;Natur;p;1;6;16;0;p;1;1.2185840000020107;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;BLUME;Natur;p;1;7;17;2;p;1;0.595895800001017;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;COMPUTER;Gemacht;q;1;8;18;8;q;1;0.5622870000006515;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
5;TIER;Natur;p;1;9;19;3;p;1;0.6150407000022824;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
;;;;;;;;;;;002;FSJS67;2019_Dec_04_1653;iat_vr;60.11110937474425;
