Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BAUM;Natur;q;0;0;0;0;q;1;1.7987057999998797;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;STEIN;Natur;q;0;1;1;4;q;1;1.133790299994871;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;STADT;Gemacht;p;0;2;2;6;p;1;0.8119516000006115;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;BLUME;Natur;q;0;3;3;2;q;1;0.7299339000019245;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;WASSER;Natur;q;0;4;4;1;q;1;1.025114999996731;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;LAMPE;Gemacht;p;0;5;5;9;p;1;0.7623313000003691;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;TIER;Natur;q;0;6;6;3;q;1;0.5987077000027057;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.8278021000005538;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;0.8080700999998953;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;KLEIDER;Gemacht;p;0;9;9;7;p;1;0.8108294999983627;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;WASSER;Natur;q;1;0;10;1;q;1;0.8965183000036632;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;KLEIDER;Gemacht;p;1;1;11;7;p;1;0.8470570999998017;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;1.9145930000013323;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;LAMPE;Gemacht;p;1;3;13;9;p;1;0.696767399997043;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;STEIN;Natur;q;1;4;14;4;q;1;0.697234400002344;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;BLUME;Natur;q;1;5;15;2;q;1;1.298684699999285;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;TIER;Natur;q;1;6;16;3;q;1;0.5954950000013923;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;COMPUTER;Gemacht;p;1;7;17;8;p;1;0.5807701000012457;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.7330103999993298;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
1;BAUM;Natur;q;1;9;19;0;q;1;0.8331852000046638;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
;;;;;;;;;;;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
2;NEGATIV;negativ;q;0;0;0;2;q;1;1.0629556999992928;001;FSJS96;2019_Nov_27_1805;iat_vr;60.076405173399635;
